uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"189c942d-bd11-44ef-9950-fba6a9ec4b82","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.2.e-fisher",2,57,"LEPCYA","Lepomis cyanellus","species",,,,25,0.3,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"c4e4d5d2-20fc-4cd2-a180-407ee5c0df30","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.1.e-fisher",1,12,"HYBHAN","Hybognathus hankinsoni","species",,,,47,0.7,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"18eba4e5-fb37-4fe9-842a-496c772acd11","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.2.e-fisher",2,75,"HYBHAN","Hybognathus hankinsoni","species",,,,46,0.9,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"f12e7640-2dfc-4d7d-b67e-05cdfa6b1cf4","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.2.e-fisher",2,85,"HYBHAN","Hybognathus hankinsoni","species",,,,48,0.5,,"N","Y",,"no sample",,,"hschartel@battelleecology.org","burn on dorsel fin"
"9d4165d1-c17b-4cbf-a49f-eaf667468f8e","D10","ARIK","ARIK.AOS.fish.point.01","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.01.3.e-fisher",3,36,"LEPCYA","Lepomis cyanellus","species",,,,50,1.7,,"N","N",,"no sample",,,"dmonahan@battelleecology.org",
"abb0f12c-ad46-4016-8d94-ead37a5a7178","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.1.e-fisher",1,34,"LEPCYA","Lepomis cyanellus","species",,,,52,0.7,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"a8655794-3082-4f3b-8ca6-3e7ca69b2391","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.2.e-fisher",2,90,"HYBHAN","Hybognathus hankinsoni","species",,,,38,0.3,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"b74bc240-8502-4a52-a9d9-43100a3d50d7","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.1.e-fisher",1,36,"HYBHAN","Hybognathus hankinsoni","species",,,,47,0.9,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"167c79fa-89b7-4dce-8093-b7b8a4c90462","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.2.e-fisher",2,79,"LEPCYA","Lepomis cyanellus","species",,,,30,0.3,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"ce024825-7faa-4141-bc77-0e4903e55f10","D10","ARIK","ARIK.AOS.fish.point.01","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.01.1.e-fisher",1,11,"HYBHAN","Hybognathus hankinsoni","species",,,,30,0.6,,"N","N",,"no sample",,,"dmonahan@battelleecology.org",
"ba5e0040-f04f-4d4e-b309-0314edd15779","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.2.e-fisher",2,80,"HYBHAN","Hybognathus hankinsoni","species",,,,50,0.6,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"10a6b827-d460-4546-bbc4-342f11e3857f","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.1.e-fisher",1,44,"HYBHAN","Hybognathus hankinsoni","species",,,,52,0.9,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"ab7d8520-a5b6-4244-811b-56220379b01b","D10","ARIK","ARIK.AOS.fish.point.01","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.01.2.e-fisher",2,17,"HYBHAN","Hybognathus hankinsoni","species",,,,22,0.3,,"N","N",,"no sample",,,"dmonahan@battelleecology.org",
"c19381ab-79f1-41c6-a652-8ebe6087e666","D10","ARIK","ARIK.AOS.fish.point.03","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.03.1.e-fisher",1,16,"HYBHAN","Hybognathus hankinsoni","species",,,,26,0.3,,"N","N",,"no sample",,,"dmonahan@battelleecology.org",
"8fee2634-f7e0-4da4-af1b-b3901ed69f9b","D10","ARIK","ARIK.AOS.fish.point.01","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.01.3.e-fisher",3,30,"HYBHAN","Hybognathus hankinsoni","species",,,,25,0.3,,"N","N",,"no sample",,,"dmonahan@battelleecology.org",
"6852637b-096b-48c3-a5dc-c4123e3259bd","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.1.e-fisher",1,53,"LEPCYA","Lepomis cyanellus","species",,,,26,0.3,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"3d554cdd-a30e-4241-8b89-22320b28126e","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.2.e-fisher",2,67,"LEPCYA","Lepomis cyanellus","species",,,,32,0.6,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"2eb1a3ab-8d09-4650-950b-a8cc1362a3e4","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.1.e-fisher",1,40,"HYBHAN","Hybognathus hankinsoni","species",,,,46,0.7,"Deformities","N","N",,"no sample",,,"hschartel@battelleecology.org","torn tail fin"
"549fb1ab-0e4d-4612-b0fc-6c68c48dc8e1","D10","ARIK","ARIK.AOS.fish.point.03","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.03.1.e-fisher",1,14,"HYBHAN","Hybognathus hankinsoni","species",,,,46,0.7,,"N","N",,"no sample",,,"dmonahan@battelleecology.org",
"01d1f9c3-4888-4691-b0cc-c79bdb646528","D10","ARIK","ARIK.AOS.fish.point.01","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.01.1.e-fisher",1,12,"HYBHAN","Hybognathus hankinsoni","species",,,,35,0.5,,"N","N",,"no sample",,,"dmonahan@battelleecology.org",
"3ba30ae2-1b71-41d2-832c-499dbff8128f","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.1.e-fisher",1,13,"LEPCYA","Lepomis cyanellus","species",,,,28,0.3,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
"12406242-87ad-4781-81cf-d271de7ac91c","D10","ARIK","ARIK.AOS.fish.point.06","2016-10-11T18:00Z","2016-10-11T18:00Z","ARIK.20161011.06.2.e-fisher",2,56,"HYBHAN","Hybognathus hankinsoni","species",,,,50,0.5,,"N","N",,"no sample",,,"hschartel@battelleecology.org",
