uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"577c079f-5d8f-46be-9797-7252cf3f54e7","D10","ARIK","ARIK.AOS.fish.point.01","2017-10-17T14:30Z","2017-10-17T15:00Z",1,"ARIK.20171017.01","ARIK.20171017.01.1.e-fisher",8.6,2.5,398.5,"electrofisher","run",,30,10,200,30,10,200,397,0,,,,,,,,,"Not compromised",,,,,,"Y","Hybognathus hankinsoni and Pimephalis promelas difficult to distinguish under 50mm. All individuals of this size class have been marked cf genus"
"08323844-977b-4473-a426-015c384ceb50","D10","ARIK","ARIK.AOS.fish.point.01","2017-10-17T16:34Z","2017-10-18T04:54Z",2,"ARIK.20171017.01","ARIK.20171017.01.2.e-fisher",,,,"electrofisher","run",,30,10,200,30,10,200,353,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c5a9957a-1f9b-45b0-aa3b-9bca2de1f3e6","D10","ARIK","ARIK.AOS.fish.point.01","2017-10-17T17:30Z","2017-10-17T17:52Z",3,"ARIK.20171017.01","ARIK.20171017.01.3.e-fisher",,,,"electrofisher","run",,30,10,200,30,10,200,307,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0d44d211-ea87-40a0-bf28-60e7265dafec","D10","ARIK","ARIK.AOS.fish.point.02","2017-10-17T18:34Z","2017-10-17T19:05Z",1,"ARIK.20171017.02","ARIK.20171017.02.1.e-fisher",8.8,6.0,469.0,"electrofisher","run",,30,10,300,30,10,250,1337,1,,,,,,,,,"Not compromised",,,,,,"Y",
"8435274f-2e23-442e-8fcc-7c75d586918c","D10","ARIK","ARIK.AOS.fish.point.05","2017-10-17T21:10Z","2017-10-17T21:38Z",1,"ARIK.20171017.05","ARIK.20171017.05.1.e-fisher",17.8,6.8,458.0,"electrofisher","run",,30,10,300,30,10,200,692,1,,,,,,,,,"Not compromised",,,,,,"Y",
"48a6b4ef-82de-423f-90cb-06bc77da0add","D10","ARIK","ARIK.AOS.fish.point.06","2017-10-18T14:32Z","2017-10-19T03:02Z",1,"ARIK.20171018.06","ARIK.20171018.06.1.e-fisher",8.6,4.3,441.3,"electrofisher","run",,30,10,200,30,10,200,777,0,,,,,,,,,"Not compromised",,,,,,"Y",
"8f2188f1-f8a7-40ed-9faa-e3b50ac2c50e","D10","ARIK","ARIK.AOS.fish.point.06","2017-10-18T16:17Z","2017-10-19T04:42Z",2,"ARIK.20171018.06","ARIK.20171018.06.2.e-fisher",8.0,4.0,441.0,"electrofisher","run",,30,10,150,30,10,150,928,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ca42c066-3d55-4284-9dab-650662d69a1d","D10","ARIK","ARIK.AOS.fish.point.06","2017-10-18T17:32Z","2017-10-19T05:50Z",3,"ARIK.20171018.06","ARIK.20171018.06.3.e-fisher",8.0,4.0,441.0,"electrofisher","run",,30,10,150,30,10,150,747,0,,,,,,,,,"Not compromised",,,,,,"Y",
"5ea5510a-0e06-4521-9a8b-ba22d038be20","D10","ARIK","ARIK.AOS.fish.point.10","2017-10-18T19:23Z","2017-10-18T19:43Z",1,"ARIK.20171018.10","ARIK.20171018.10.1.e-fisher",18.4,4.9,275.8,"electrofisher","run",,30,10,150,30,10,200,593,1,,,,,,,,,"Not compromised",,,,,,"Y",
"afb8b5e8-d3bd-47c9-9fff-a1283fddda94","D10","ARIK","ARIK.AOS.fish.point.09","2017-10-19T14:21Z","2017-10-19T14:56Z",1,"ARIK.20171019.09","ARIK.20171019.09.1.e-fisher",8.2,3.0,441.7,"electrofisher","run",,30,10,150,30,10,150,754,0,,,,,,,,,"Not compromised",,,,,,"Y",
"f2329290-9383-4486-b16e-e9f1287d9934","D10","ARIK","ARIK.AOS.fish.point.09","2017-10-19T16:46Z","2017-10-19T17:03Z",2,"ARIK.20171019.09","ARIK.20171019.09.2.e-fisher",8.2,3.0,441.7,"electrofisher","run",,30,10,150,30,10,150,764,0,,,,,,,,,"Not compromised",,,,,,"Y",
"491be6f7-bef6-42ba-94ee-1e213c9b9826","D10","ARIK","ARIK.AOS.fish.point.09","2017-10-19T18:45Z","2017-10-19T19:15Z",3,"ARIK.20171019.09","ARIK.20171019.09.3.e-fisher",8.2,3.0,441.0,"electrofisher","run",,30,10,150,30,10,150,752,0,,,,,,,,,"Not compromised",,,,,,"Y","START STOP INACCURATE"
