uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"a75579a5-9643-41e1-ba22-339bac2d6a1a","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T19:36Z","2018-05-15T20:53Z",1,"BIGC.20180515.01","BIGC.20180515.01.1.e-fisher",13.1,8.6,112.0,"electrofisher","run","riffle",10,5,250,30,20,250,1591,3,,,,,,,,,"Not compromised",,,,,,"Y","First pass EVER!!! Initial duty cycle N/A per permit specifications- start with straight DC"
"b4f6345e-f5db-4ab2-863e-4dc69d4cbf20","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T21:42Z","2018-05-15T22:52Z",2,"BIGC.20180515.01","BIGC.20180515.01.2.e-fisher",14.7,8.3,114.0,"electrofisher","run","riffle",30,20,250,30,20,300,2383,1,,,,,,,,,"Not compromised",,,,,,"Y",
"b69aa3a3-2d19-43d0-9be3-8e257b805efd","D17","BIGC","BIGC.AOS.fish.point.01","2018-05-15T23:51Z","2018-05-16T01:08Z",3,"BIGC.20180515.01","BIGC.20180515.01.3.e-fisher",14.4,8.0,113.3,"electrofisher","run","riffle",30,30,300,30,30,300,2791,0,,,,,,,,,"Not compromised",,,,,,"Y",
"e25f2f2f-e6da-4a01-8113-106b92220c58","D17","BIGC","BIGC.AOS.fish.point.02","2018-05-16T16:57Z","2018-05-16T19:00Z",1,"BIGC.20180516.02","BIGC.20180516.02.1.e-fisher",10.9,9.3,114.1,"electrofisher","run","riffle",30,30,300,30,30,250,3737,1,,,,,,,,,"Not compromised",,,,,,"Y","Large undercut banks"
"da72ab01-8feb-4761-bb51-b07bf7d71459","D17","BIGC","BIGC.AOS.fish.point.03","2018-05-16T20:51Z","2018-05-16T21:56Z",1,"BIGC.20180516.03","BIGC.20180516.03.1.e-fisher",11.3,9.4,113.3,"electrofisher","run","riffle",30,30,250,30,30,250,2751,,,,,,,,,,"Not compromised",,,,,,"Y",
"a833eba7-be75-44e6-9246-e78499ac5aa1","D17","BIGC","BIGC.AOS.fish.point.04","2018-05-17T18:01Z","2018-05-17T19:41Z",1,"BIGC.20180517.04","BIGC.20180517.04.1.e-fisher",10.4,9.8,113.3,"electrofisher","run","riffle",30,30,250,30,30,250,2928,,,,,,,,,,"Not compromised",,,,,,"Y","Lots of log jam pools"
"9c68a335-a935-4208-a042-a8ef1a9fce4e","D17","BIGC","BIGC.AOS.fish.point.04","2018-05-17T21:46Z","2018-05-17T23:22Z",2,"BIGC.20180517.04","BIGC.20180517.04.2.e-fisher",11.7,9.8,113.6,"electrofisher","run","riffle",30,30,250,30,30,250,3258,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0d3de09e-868f-4852-b43e-ef60b99ece54","D17","BIGC","BIGC.AOS.fish.point.04","2018-05-17T23:57Z","2018-05-18T01:02Z",3,"BIGC.20180517.04","BIGC.20180517.04.3.e-fisher",11.6,9.3,113.4,"electrofisher","run","riffle",30,30,250,30,30,250,1997,0,,,,,,,,,"Not compromised",,,,,,"Y","Wire mesh in pool along reach"
"a205bfa2-d0d4-45fc-ad9b-5a1ec49cb843","D17","BIGC","BIGC.AOS.fish.point.06","2018-05-18T14:26Z","2018-05-18T16:25Z",1,"BIGC.20180518.06","BIGC.20180518.06.1.e-fisher",10.5,9.0,114.1,"electrofisher","run","riffle",30,30,250,,,,3110,,,,,,,,,,"Not compromised",,,,,,"Y",
"98873348-9123-473c-b5fd-d575967ff5f1","D17","BIGC","BIGC.AOS.fish.point.07","2018-05-18T17:10Z","2018-05-18T18:17Z",1,"BIGC.20180518.07","BIGC.20180518.07.1.e-fisher",11.1,9.7,114.3,"electrofisher","run","riffle",30,30,250,30,30,250,2544,0,,,,,,,,,"Not compromised",,,,,,"Y",
"3dea795d-5016-4900-96d3-6149d1261b28","D17","BIGC","BIGC.AOS.fish.point.07","2018-05-18T19:53Z","2018-05-18T20:25Z",2,"BIGC.20180518.07","BIGC.20180518.07.2.e-fisher",12.6,9.2,113.9,"electrofisher","run","riffle",30,30,250,30,30,250,1567,0,,,,,,,,,"Not compromised",,,,,,"Y",
"34fb2948-c248-4016-8cc6-b15176107098","D17","BIGC","BIGC.AOS.fish.point.07","2018-05-18T21:02Z","2018-05-18T21:39Z",3,"BIGC.20180518.07","BIGC.20180518.07.3.e-fisher",13.0,9.5,113.8,"electrofisher","run","riffle",30,30,250,30,30,250,1268,0,,,,,,,,,"Not compromised",,,,,,"Y",
