uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"b0e90f2e-f8b6-4a59-9d9c-e51a107d77f6","D12","BLDE","BLDE.AOS.fish.point.02","2021-09-27T19:27Z","2021-09-27T19:52Z",3,"BLDE.20210927.02.3.e-fisher","SALFON","Salvelinus fontinalis",,14,"actual",,"0000-0003-0371-727X",
"8e227657-b927-44c3-8fb5-9f58b24f4fd4","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T15:05Z","2021-09-28T15:36Z",1,"BLDE.20210928.03.1.e-fisher","SALFON","Salvelinus fontinalis",,3,"actual",,"0000-0003-0371-727X",
"07348dfd-4952-4f6f-9c11-a93dce5cbf4a","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T16:29Z","2021-09-28T16:57Z",2,"BLDE.20210928.03.2.e-fisher","SALFON","Salvelinus fontinalis",,2,"actual",,"0000-0003-0371-727X",
"dcb07db2-7ba5-4905-ac29-dfb125bd18de","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T16:29Z","2021-09-28T16:57Z",2,"BLDE.20210928.03.2.e-fisher","SALFON","Salvelinus fontinalis",,11,"actual",,"0000-0003-0371-727X",
"a0e6b942-b07b-4b73-8c88-0e611b8a9ac7","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T16:29Z","2021-09-28T16:57Z",2,"BLDE.20210928.03.2.e-fisher","SALFON","Salvelinus fontinalis",,13,"actual",,"0000-0003-0371-727X",
"0940ff7b-756c-4167-aac4-d2ac801823d4","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T17:41Z","2021-09-28T18:09Z",3,"BLDE.20210928.03.3.e-fisher","SALFON","Salvelinus fontinalis",,3,"actual",,"0000-0003-0371-727X","Adults"
"70492337-5ae5-47ff-a1b8-6164923f7889","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T17:41Z","2021-09-28T18:09Z",3,"BLDE.20210928.03.3.e-fisher","SALFON","Salvelinus fontinalis",,9,"actual",,"0000-0003-0371-727X",
"8239b137-0a19-4ec8-bece-1c6c7dc9b343","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T17:41Z","2021-09-28T18:09Z",3,"BLDE.20210928.03.3.e-fisher","SALFON","Salvelinus fontinalis",,13,"actual",,"0000-0003-0371-727X",
"74a566d6-fcc4-4ec2-b622-513b12a8a4e3","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T17:07Z","2021-09-29T17:43Z",2,"BLDE.20210929.06.2.e-fisher","SALFON","Salvelinus fontinalis",,3,"actual",,"0000-0003-0371-727X",
"08f6cb6a-82e3-4f21-836f-925f15e1e24a","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T17:07Z","2021-09-29T17:43Z",2,"BLDE.20210929.06.2.e-fisher","SALFON","Salvelinus fontinalis",,10,"actual",,"0000-0003-0371-727X",
"50ffccec-8a83-467d-bfcc-24071e3fd193","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T17:07Z","2021-09-29T17:43Z",2,"BLDE.20210929.06.2.e-fisher","SALFON","Salvelinus fontinalis",,10,"actual",,"0000-0003-0371-727X",
"de7832a0-3af2-4bad-9c7d-96f1595cbeb1","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T18:15Z","2021-09-29T18:47Z",3,"BLDE.20210929.06.3.e-fisher","SALFON","Salvelinus fontinalis",,12,"actual",,"0000-0003-0371-727X",
"4e936ff1-5910-4454-be9e-0744cd9e1743","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T18:15Z","2021-09-29T18:47Z",3,"BLDE.20210929.06.3.e-fisher","SALFON","Salvelinus fontinalis",,7,"actual",,"0000-0003-0371-727X",
"86e8cdc8-5fb9-4870-a7f1-c9d36b72c581","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T18:15Z","2021-09-29T18:47Z",3,"BLDE.20210929.06.3.e-fisher","SALFON","Salvelinus fontinalis",,2,"actual",,"0000-0003-0371-727X",
"41a7ffbd-6357-4b27-afda-92c96c5cfa57","D12","BLDE","BLDE.AOS.fish.point.10","2021-09-29T20:06Z","2021-09-29T20:51Z",1,"BLDE.20210929.10.1.e-fisher","SALFON","Salvelinus fontinalis",,5,"actual",,"0000-0003-0371-727X",
"46a5214e-eb4e-4d4f-944e-99e32e7347ed","D12","BLDE","BLDE.AOS.fish.point.10","2021-09-29T20:06Z","2021-09-29T20:51Z",1,"BLDE.20210929.10.1.e-fisher","SALFON","Salvelinus fontinalis",,7,"actual",,"0000-0003-0371-727X",
