uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"a65647e2-932b-4260-96d0-11555bbaa292","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,4,"SALFON","Salvelinus fontinalis","species",,,,185,64.0,,,,"adult","no sample",,,"0000-0003-0371-727X",
"adf7ee0b-b465-4b4e-8531-ed4b9a853152","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,18,"SALFON","Salvelinus fontinalis","species",,,,146,29.6,,,,"juvenile","no sample",,,"0000-0003-0371-727X",
"2a4d403c-4bd2-4478-a45c-df4c37a5602b","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,1,"SALFON","Salvelinus fontinalis","species",,,,63,,,,,"young of year","no sample",,,"0000-0003-0371-727X",
"7445186d-34cc-44be-bff7-b8fbe8642b8e","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,30,"SALFON","Salvelinus fontinalis","species",,,,164,33.2,,,,"juvenile","no sample",,,"0000-0003-0371-727X",
"16c34ae8-1038-4400-88de-fb06c254154e","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,32,"SALFON","Salvelinus fontinalis","species",,,,164,41.2,,,,"juvenile","no sample",,,"0000-0003-0371-727X",
"fdcc9b6b-6347-4213-9d7b-3ae96a1c67a7","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,26,"SALFON","Salvelinus fontinalis","species",,,,61,2.8,,,,"young of year","no sample",,,"0000-0003-0371-727X",
"a235fd9c-0c8e-4a03-ae5a-e44b0daa69c1","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,5,"SALFON","Salvelinus fontinalis","species",,,,153,27.8,,,,"juvenile","no sample",,,"0000-0003-0371-727X",
"698cfa34-693e-4427-a269-29c7316825f6","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,17,"SALFON","Salvelinus fontinalis","species",,,,117,16.6,,,,"juvenile","no sample",,,"0000-0003-0371-727X",
"97cba47e-a398-45f1-a810-54629fbb6b3b","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,3,"SALFON","Salvelinus fontinalis","species",,,,70,3.8,,,,"young of year","no sample",,,"0000-0003-0371-727X",
"9bcaf002-d216-4ed8-9ef5-aa5cdbf69b3c","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z","BLDE.20210927.01.1.e-fisher",1,24,"SALFON","Salvelinus fontinalis","species",,,,118,10.2,,,,"juvenile","no sample",,,"0000-0003-0371-727X",
