uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"0e811fb9-0dde-4ba5-952c-9963e22c609c","D12","BLDE","BLDE.AOS.fish.point.01","2021-09-27T15:45Z","2021-09-27T16:35Z",1,"BLDE.20210927.01","BLDE.20210927.01.1.e-fisher",5.6,9.7,117.4,"electrofisher","riffle","run",30,15,250,30,15,250,883,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a8833491-355f-47b1-9f3d-5239002b2f18","D12","BLDE","BLDE.AOS.fish.point.02","2021-09-27T17:17Z","2021-09-27T17:57Z",1,"BLDE.20210927.02","BLDE.20210927.02.1.e-fisher",7.8,10.2,117.0,"electrofisher","riffle","run",30,15,250,30,15,250,777,0,,,,,,,,,"Not compromised",,,,,,"Y",
"695ab5ce-3c18-4a97-8531-ca8511eef018","D12","BLDE","BLDE.AOS.fish.point.02","2021-09-27T18:24Z","2021-09-27T18:55Z",2,"BLDE.20210927.02","BLDE.20210927.02.2.e-fisher",7.8,10.2,117.0,"electrofisher","riffle","run",30,15,250,30,15,250,665,0,,,,,,,,,"Not compromised",,,,,,"Y",
"963913ab-864c-41e8-be6f-3566637cd653","D12","BLDE","BLDE.AOS.fish.point.02","2021-09-27T19:27Z","2021-09-27T19:52Z",3,"BLDE.20210927.02","BLDE.20210927.02.3.e-fisher",7.8,10.2,117.0,"electrofisher","riffle","run",30,15,250,30,15,250,684,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9dcc25e8-6ae7-45ef-ae00-e9da67eded1d","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T15:05Z","2021-09-28T15:36Z",1,"BLDE.20210928.03","BLDE.20210928.03.1.e-fisher",5.7,10.4,120.0,"electrofisher","riffle","run",30,15,250,30,15,250,996,0,,,,,,,,,"Not compromised",,,,,,"Y",
"aae8cf72-88e4-4cc1-8025-11ce9791991c","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T16:29Z","2021-09-28T16:57Z",2,"BLDE.20210928.03","BLDE.20210928.03.2.e-fisher",5.7,10.4,120.0,"electrofisher","riffle","run",30,15,250,30,15,250,869,0,,,,,,,,,"Not compromised",,,,,,"Y",
"145537f9-45d9-4823-9035-317d644e012f","D12","BLDE","BLDE.AOS.fish.point.03","2021-09-28T17:41Z","2021-09-28T18:09Z",3,"BLDE.20210928.03","BLDE.20210928.03.3.e-fisher",5.7,10.4,120.0,"electrofisher","riffle","run",30,15,250,30,15,250,747,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ba58ea27-ebdc-4994-970b-d8af4f595de1","D12","BLDE","BLDE.AOS.fish.point.04","2021-09-28T18:17Z","2021-09-28T19:13Z",1,"BLDE.20210928.04","BLDE.20210928.04.1.e-fisher",7.8,10.1,117.3,"electrofisher","riffle","run",30,15,250,30,15,250,1155,0,,,,,,,,,"Not compromised",,,,,,"Y",
"8caf28e0-2211-489d-ab07-d2c65df42e5a","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T15:11Z","2021-09-29T16:06Z",1,"BLDE.20210929.06","BLDE.20210929.06.1.e-fisher",4.4,9.5,116.9,"electrofisher","riffle","run",30,15,250,30,15,250,1368,0,,,,,,,,,"Not compromised",,,,,,"Y",
"6f209019-8412-4250-9f62-41b4b3b948eb","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T17:07Z","2021-09-29T17:43Z",2,"BLDE.20210929.06","BLDE.20210929.06.2.e-fisher",4.4,9.5,116.9,"electrofisher","riffle","run",30,15,250,30,15,250,1086,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9baeb655-872e-442e-ad13-e008028b28e3","D12","BLDE","BLDE.AOS.fish.point.06","2021-09-29T18:15Z","2021-09-29T18:47Z",3,"BLDE.20210929.06","BLDE.20210929.06.3.e-fisher",4.4,9.5,116.9,"electrofisher","riffle","run",30,15,250,30,15,250,943,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d83b2241-d702-4cc2-a1ce-9fb846a6283a","D12","BLDE","BLDE.AOS.fish.point.10","2021-09-29T20:06Z","2021-09-29T20:51Z",1,"BLDE.20210929.10","BLDE.20210929.10.1.e-fisher",6.8,9.8,116.4,"electrofisher","riffle","run",30,15,250,30,15,250,1650,0,,,,,,,,,"Not compromised",,,,,,"Y",
