uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"960d7270-d73a-4e0c-9410-b7db68670b6b","D19","CARI","CARI.AOS.fish.point.01","2016-09-26T20:00Z","2016-09-26T20:00Z",1,"CARI.20160926.01","CARI.20160926.01.1.e-fisher",1.2,13.7,,"electrofisher",,,40,30,400,40,30,400,1104,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"3518d666-9d9d-4080-bfc0-cd73bfc8d4b3","D19","CARI","CARI.AOS.fish.point.01","2016-09-26T20:00Z","2016-09-26T20:00Z",2,"CARI.20160926.01","CARI.20160926.01.2.e-fisher",1.2,13.7,,"electrofisher",,,40,30,400,40,30,400,965,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"5ddcb999-8a91-4984-96af-6c71ee9580a7","D19","CARI","CARI.AOS.fish.point.01","2016-09-26T20:00Z","2016-09-26T20:00Z",3,"CARI.20160926.01","CARI.20160926.01.3.e-fisher",1.2,13.7,,"electrofisher",,,40,30,400,40,30,400,710,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"2397c82a-1166-40ae-a9ad-9027b1b2bca0","D19","CARI","CARI.AOS.fish.point.05","2016-09-27T20:00Z","2016-09-27T20:00Z",1,"CARI.20160927.05","CARI.20160927.05.1.e-fisher",1.2,13.2,43.9,"electrofisher",,,40,30,400,40,30,400,1730,0,,,,,,,,,"Not compromised",,,,,,"Y",
"33093d9b-597a-4126-b8ef-d3676dec32a6","D19","CARI","CARI.AOS.fish.point.02","2016-09-27T20:00Z","2016-09-27T20:00Z",1,"CARI.20160927.02","CARI.20160927.02.1.e-fisher",1.2,13.2,43.9,"electrofisher",,,40,30,400,40,30,400,497,0,,,,,,,,,"Not compromised",,,,,,"Y",
"219228c5-4946-4fcd-9015-ce398b25be8c","D19","CARI","CARI.AOS.fish.point.06","2016-09-28T20:00Z","2016-09-28T20:00Z",1,"CARI.20160928.06","CARI.20160928.06.1.e-fisher",1.4,14.3,45.5,"electrofisher",,,40,30,400,40,30,400,1078,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"0b2a70e5-3c79-4337-9660-587df81b5300","D19","CARI","CARI.AOS.fish.point.06","2016-09-28T20:00Z","2016-09-28T20:00Z",3,"CARI.20160928.06","CARI.20160928.06.3.e-fisher",1.4,14.3,45.5,"electrofisher",,,40,30,400,40,30,400,340,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"5631a1ad-6a09-4a88-9987-34177393bb4f","D19","CARI","CARI.AOS.fish.point.08","2016-09-28T20:00Z","2016-09-28T20:00Z",1,"CARI.20160928.08","CARI.20160928.08.1.e-fisher",1.4,14.3,45.5,"electrofisher",,,40,30,400,40,30,400,1030,0,,,,,,,,,"Not compromised",,,,,,"Y",
"37f46f03-efbf-47f2-87d3-0988d94b2743","D19","CARI","CARI.AOS.fish.point.06","2016-09-28T20:00Z","2016-09-28T20:00Z",2,"CARI.20160928.06","CARI.20160928.06.2.e-fisher",1.4,14.3,45.5,"electrofisher",,,40,30,400,40,30,400,433,0,,,,,,,,,"Not compromised",,,,,,"Y","Pass collection start and end time total time for all 3 passes"
"10cab159-8312-4602-841d-2d4fabc32ad4","D19","CARI","CARI.AOS.fish.point.10","2016-09-29T20:00Z","2016-09-29T20:00Z",3,"CARI.20160929.10","CARI.20160929.10.3.e-fisher",1.8,13.7,42.0,"electrofisher",,,40,30,400,40,30,400,605,0,,,,,,,,,"Not compromised",,,,,,"N","Pass collection start and end time total time for all 3 passes"
"9ec79404-58e9-4c0b-b107-9f61a2a4a362","D19","CARI","CARI.AOS.fish.point.10","2016-09-29T20:00Z","2016-09-29T20:00Z",1,"CARI.20160929.10","CARI.20160929.10.1.e-fisher",1.8,13.7,42.0,"electrofisher",,,40,30,400,40,30,400,994,0,,,,,,,,,"Not compromised",,,,,,"N","Pass collection start and end time total time for all 3 passes"
"258cd5c4-3e88-46ad-8e25-65caa0db50d8","D19","CARI","CARI.AOS.fish.point.10","2016-09-29T20:00Z","2016-09-29T20:00Z",2,"CARI.20160929.10","CARI.20160929.10.2.e-fisher",1.8,13.7,42.0,"electrofisher",,,40,30,400,40,30,400,570,0,,,,,,,,,"Not compromised",,,,,,"N","Pass collection start and end time total time for all 3 passes"
