uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"559295c2-50aa-4625-9409-45b9a0a9082e","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,47,"LEPMAC","Lepomis macrochirus","species",,,,69,2.7,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"d29e6097-d0d2-4725-bc1f-023e4f8969d5","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,67,"PERFLA","Perca flavescens","species",,,,69,2.4,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"d2ce190c-52ca-43f5-a2f5-e2ace2acbd2c","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,74,"PERFLA","Perca flavescens","species",,,,77,4.0,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"064e0261-3518-45c1-9cd8-7c80c157809e","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,1,"LEPMAC","Lepomis macrochirus","species",,,,55,1.3,,"Y",,"juvenile","voucher sample only","FSH.CRAM.03.20170518.1.0001",,"hbeeler@battelleecology.org",
"174f0916-4b41-4d02-b936-d1e509c0d82b","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,57,"LEPMAC","Lepomis macrochirus","species",,,,62,2.3,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"1fdb8e42-1187-46df-89b2-8117158c4d81","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,61,"PERFLA","Perca flavescens","species",,,,76,3.1,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"d7c016da-813f-4f8d-bafe-25b55c6809fc","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,65,"PERFLA","Perca flavescens","species",,,,70,2.6,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"a5b63d14-6109-40c3-a421-9f8d51389a9c","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,41,"LEPMAC","Lepomis macrochirus","species",,,,87,7.6,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"4579e709-3e10-40eb-b013-7de286f77338","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,33,"LEPMAC","Lepomis macrochirus","species",,,,47,0.3,,"Y",,"juvenile","voucher sample only","FSH.CRAM.03.20170518.1.0033",,"hbeeler@battelleecology.org",
"07ef5ca3-a664-45db-9a01-5577345f205e","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,45,"LEPMAC","Lepomis macrochirus","species",,,,68,3.7,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"e35a1df4-4685-47ba-a6ec-81a4917898d6","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,76,"PERFLA","Perca flavescens","species",,,,80,4.0,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"d5177fd2-1cb9-4e2f-94ac-a975883ed417","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,7,"PERFLA","Perca flavescens","species",,,,68,2.5,,"Y",,"juvenile","voucher sample only","FSH.CRAM.03.20170518.1.0007",,"hbeeler@battelleecology.org",
"62b9a8ac-513d-4ccd-89ad-a4282dbda6bb","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,40,"PERFLA","Perca flavescens","species",,,,72,3.1,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"95fd60fb-de74-4e96-bd25-6d417072b750","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,12,"LEPMAC","Lepomis macrochirus","species",,,,109,15.8,,,,"adult","no sample",,,"hbeeler@battelleecology.org",
"a883e017-d372-4c35-989e-cb07c9bbf469","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,68,"PERFLA","Perca flavescens","species",,,,160,23.2,,,,"adult","no sample",,,"hbeeler@battelleecology.org",
"ceae8f7e-cdc7-4be9-8327-6e533bb1866e","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,70,"PERFLA","Perca flavescens","species",,,,69,2.4,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"ed2c4274-6406-4439-b0bf-ec559f07cb58","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,43,"LEPMAC","Lepomis macrochirus","species",,,,73,4.1,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"38eec800-1404-465e-8d60-ca90907d416e","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,5,"LEPMAC","Lepomis macrochirus","species",,,,64,2.5,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
"aad9b787-4ad2-4ef2-ba74-f5f61b1fe168","D05","CRAM","CRAM.AOS.riparian.point.03","2017-05-18T21:00Z","2017-05-19T16:30Z","CRAM.20170518.03.1.fyke",1,3,"LEPMAC","Lepomis macrochirus","species",,,,67,3.5,,,,"juvenile","no sample",,,"hbeeler@battelleecology.org",
