uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"361bf920-3f31-4b54-8995-ec988e5be3a6","D05","CRAM","CRAM.AOS.riparian.point.04","2021-05-18T18:39Z","2021-05-18T18:42Z",5,"CRAM.20210518.04","CRAM.20210518.04.5.gill",18.2,10.1,11.5,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2021-05-18T17:20Z","2021-05-18T18:41Z",1.35,,4.8,"N",
"fa9d6367-f14c-4054-8591-227ad441312f","D05","CRAM","CRAM.AOS.riparian.point.10","2021-05-19T01:05Z","2021-05-19T17:35Z",4,"CRAM.20210518.10","CRAM.20210518.10.4.fyke",17.7,9.0,11.3,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2021-05-19T01:14Z","2021-05-19T15:59Z",14.75,4.0,,"Y",
"2592e877-41fc-4e82-8acb-9cfce8a5c471","D05","CRAM","CRAM.AOS.riparian.point.02","2021-05-19T01:26Z","2021-05-19T19:32Z",4,"CRAM.20210518.02","CRAM.20210518.02.4.fyke",18.0,9.2,11.2,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"<10% compromised","2021-05-19T01:33Z","2021-05-19T17:54Z",16.35,7.0,,"Y","Parts of lead line not tight on substrate but <10%"
"212bf18e-0308-47d3-83be-6ad30cb6e9fb","D05","CRAM","CRAM.AOS.riparian.point.04","2021-05-19T02:04Z","2021-05-19T02:16Z",1,"CRAM.20210518.04","CRAM.20210518.04.1.e-fisher",18.7,9.3,11.3,"electrofisher","littoral",,40,30,500,40,30,500,490,0,,,,,,,,,"Not compromised",,,,,,"Y",
"b50cec2f-5e40-4b1b-951f-049b999de7f1","D05","CRAM","CRAM.AOS.riparian.point.03","2021-05-19T03:58Z","2021-05-19T04:21Z",1,"CRAM.20210518.03","CRAM.20210518.03.1.e-fisher",18.6,8.7,11.4,"electrofisher","littoral",,40,30,500,40,30,500,740,0,,,,,,,,,"Not compromised",,,,,,"Y",
"651f2773-eb60-475e-a4f6-8dddcf6a7b05","D05","CRAM","CRAM.AOS.riparian.point.03","2021-05-19T05:08Z","2021-05-19T05:22Z",2,"CRAM.20210518.03","CRAM.20210519.03.2.e-fisher",,,,"electrofisher","littoral",,40,30,500,40,30,500,569,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c2b77224-7b25-4ea6-a70b-d45dab952b6a","D05","CRAM","CRAM.AOS.riparian.point.03","2021-05-19T05:55Z","2021-05-19T06:06Z",3,"CRAM.20210518.03","CRAM.20210519.03.3.e-fisher",,,,"electrofisher","littoral",,40,30,500,40,30,500,538,0,,,,,,,,,"Not compromised",,,,,,"Y",
"cf3794c0-2413-47f1-8989-c0ce97b24dcc","D05","CRAM","CRAM.AOS.riparian.point.04","2021-05-20T01:23Z","2021-05-20T16:06Z",4,"CRAM.20210518.04","CRAM.20210519.04.4.fyke",18.2,9.7,11.4,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2021-05-20T01:25Z","2021-05-20T15:50Z",14.42,6.4,,"Y",
"76175a88-0461-4db9-9621-b2778922ce38","D05","CRAM","CRAM.AOS.riparian.point.03","2021-05-20T01:38Z","2021-05-20T18:31Z",4,"CRAM.20210518.03","CRAM.20210519.03.4.fyke",18.4,9.6,11.4,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2021-05-20T01:39Z","2021-05-20T16:12Z",14.55,6.4,,"Y",
"683ed27c-1436-4d53-9086-f7a978f2b5fe","D05","CRAM","CRAM.AOS.riparian.point.10","2021-05-20T02:25Z","2021-05-20T02:41Z",1,"CRAM.20210518.10","CRAM.20210519.10.1.e-fisher",,,,"electrofisher","littoral",,40,30,500,40,30,500,689,0,,,,,,,,,"Not compromised",,,,,,"Y",
