uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"b819b99c-9cfa-4506-9377-11b6f746db97","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,5,"POERET","Poecilia reticulata","species",,,,19,0.3,,,,"young of year","no sample",,,"0000-0003-1220-2331",
"f972691f-0c10-4f46-9d86-3aa506b00eac","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,6,"AGOMON","Agonostomus monticola","species",,,,235,128.0,,,,"adult","no sample",,,"0000-0003-1220-2331",
"5e6f5250-8083-49e1-9906-cd8d3240d6e9","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,8,"AGOMON","Agonostomus monticola","species",,,,124,20.7,,,,"juvenile","no sample",,,"0000-0003-1220-2331",
"f4647d64-4865-46e6-b255-d2e98621b45e","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,7,"AGOMON","Agonostomus monticola","species",,,,118,18.0,,,,"juvenile","no sample",,,"0000-0003-1220-2331",
"d6f43952-fe15-4431-a9ec-274e2a0840a8","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,10,"SICSP1","Sicydium sp.","genus",,,,175,43.9,,,,"adult","no sample",,,"0000-0003-1220-2331",
"85b2eeef-ee95-4ca1-b3c5-e9a0729ac8f0","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,1,"AGOMON","Agonostomus monticola","species",,,,171,54.8,,,,"adult","no sample",,,"0000-0003-1220-2331",
"25db4006-b1fa-475e-8c69-bbb04f998003","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,11,"AWABAN","Awaous banana","species",,,,170,47.0,,,,"juvenile","dna sample only","FSH.CUPE.08.20221201.1.0011","FSH.CUPE.08.20221201.1.0011.DNA","0000-0003-1220-2331",
"0cefa941-8a67-4761-9cf2-0eaea5d804a5","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,4,"POERET","Poecilia reticulata","species",,,,35,0.5,,,,"gravid female","no sample",,,"0000-0003-1220-2331",
"05b7be0a-9a80-48d6-ad4b-9e1004e2a74d","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,2,"SICSP1","Sicydium sp.","genus",,,,176,46.5,,,,"adult","no sample",,,"0000-0003-1220-2331",
"88ba0c4a-73ce-4d8e-895a-cfabcc8cc3db","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,9,"AGOMON","Agonostomus monticola","species",,,,142,29.3,,,,"juvenile","no sample",,,"0000-0003-1220-2331",
"359869ba-c4ad-4a36-912e-5847f2f4e1c7","D04","CUPE","CUPE.AOS.fish.point.08","2022-12-01T13:08Z","2022-12-01T14:20Z","CUPE.20221201.08.1.e-fisher",1,3,"POERET","Poecilia reticulata","species",,,,32,0.3,,,,"gravid female","no sample",,,"0000-0003-1220-2331",
