uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"9fb420ff-cac7-49e3-9bfc-b1e19f6b5d0b","D04","GUIL","GUIL.AOS.fish.point.01","2018-12-03T12:38Z","2018-12-03T14:40Z",1,"GUIL.20181203.01","GUIL.20181203.01.1.e-fisher",19.2,,217.9,"electrofisher","riffle","run",30,10,350,30,10,350,665,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 1 Atya lanipes; 5 Xiphocaris elongata; 4 Atya innocous"
"d8d5b080-45f3-4e97-a23b-a7864d039c96","D04","GUIL","GUIL.AOS.fish.point.02","2018-12-04T13:22Z","2018-12-04T15:30Z",1,"GUIL.20181204.02","GUIL.20181204.02.1.e-fisher",19.4,,220.3,"electrofisher","pool","riffle",30,10,350,30,10,350,917,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 11 Xhiphocaris elongata; 3 Rhinella marina"
"515ade83-eb9a-43c0-b435-346bbeca20a1","D04","GUIL","GUIL.AOS.fish.point.02","2018-12-04T16:45Z","2018-12-04T17:40Z",2,"GUIL.20181204.02","GUIL.20181204.02.2.e-fisher",19.4,,220.3,"electrofisher","pool","riffle",30,10,350,30,10,350,796,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 4 Xhiphocaris elongata; 5 Rhinella marina; 2 Atya innocous"
"5a1406a6-e475-4425-b37b-c6ee82b3f5c5","D04","GUIL","GUIL.AOS.fish.point.02","2018-12-04T17:50Z","2018-12-04T18:30Z",3,"GUIL.20181204.02","GUIL.20181204.02.3.e-fisher",19.4,,220.3,"electrofisher","pool","riffle",30,10,350,30,10,350,434,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 4 Rhinella marina; 1 Atya innocous"
"3917729c-020a-4a0c-82a8-c53117daeef9","D04","GUIL","GUIL.AOS.fish.point.03","2018-12-05T12:45Z","2018-12-05T13:10Z",1,"GUIL.20181205.03","GUIL.20181205.03.1.e-fisher",19.2,8.4,218.3,"electrofisher","pool","riffle",30,10,350,30,10,350,818,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 2 Xiphocaris elongata; 6 Rhinella marina"
"acda3134-ac2d-4000-ab94-6542d221d2d9","D04","GUIL","GUIL.AOS.fish.point.05","2018-12-05T15:29Z","2018-12-05T16:30Z",1,"GUIL.20181205.05","GUIL.20181205.05.1.e-fisher",20.1,8.7,212.6,"electrofisher","riffle","pool",30,10,350,30,10,350,1000,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch colected: 5 Rhinella marina; 8 Xiphocaris elongata"
"ee69cd62-9000-43f5-a09b-471a09521273","D04","GUIL","GUIL.AOS.fish.point.05","2018-12-05T18:45Z","2018-12-05T20:25Z",2,"GUIL.20181205.05","GUIL.20181205.05.2.e-fisher",20.1,8.7,212.6,"electrofisher","riffle","pool",30,10,350,30,10,350,1109,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 3 Rhinella marina; 5 Xiphocaris elongata"
"7790285d-4ccc-4799-95bb-bcaab4052e9e","D04","GUIL","GUIL.AOS.fish.point.05","2018-12-05T18:55Z","2018-12-05T20:20Z",3,"GUIL.20181205.05","GUIL.20181205.05.3.e-fisher",20.1,8.7,212.6,"electrofisher","riffle","pool",30,10,350,30,10,350,957,0,,,,,,,,,"Not compromised",,,,,,"Y",
"b1bb27a4-158e-4c72-942f-6e7e45af6ba1","D04","GUIL","GUIL.AOS.fish.point.06","2018-12-06T13:11Z","2018-12-06T14:15Z",1,"GUIL.20181206.06","GUIL.20181206.06.1.e-fisher",18.9,8.3,213.9,"electrofisher","riffle","run",30,10,350,30,10,350,1227,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 12 Xiphocaris elongata; 3 Rhinella marina"
"8735e8d3-d65b-436a-b71a-52a18565d613","D04","GUIL","GUIL.AOS.fish.point.09","2018-12-07T12:23Z","2018-12-07T13:24Z",1,"GUIL.20181207.09","GUIL.20181207.09.1.e-fisher",19.1,8.4,212.9,"electrofisher","riffle","run",30,10,350,30,10,350,853,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 13 Rhinella marina"
"bfc17c53-f1f5-412c-a2e5-1a6171242917","D04","GUIL","GUIL.AOS.fish.point.09","2018-12-07T14:35Z","2018-12-07T15:03Z",2,"GUIL.20181207.09","GUIL.20181207.09.2.e-fisher",19.1,8.4,212.9,"electrofisher","riffle","run",30,10,350,30,10,350,800,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 1 Epilobacera sinautifrons; 6 Rhinella marina"
"64ac6adb-eeef-4c0c-bb3b-0e34abe60347","D04","GUIL","GUIL.AOS.fish.point.09","2018-12-07T15:39Z","2018-12-07T16:03Z",3,"GUIL.20181207.09","GUIL.20181207.09.3.e-fisher",19.1,8.4,212.9,"electrofisher","riffle","run",30,10,350,30,10,350,890,0,,,,,,,,,"Not compromised",,,,,,"Y","bycatch collected: 3 Epilobacera sinautifrons; 2 Rhinella marina"
