uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"0561d5a4-9010-4ced-8791-415d88805773","D04","GUIL","GUIL.AOS.fish.point.02","2019-02-11T14:00Z","2019-02-11T15:00Z",1,"GUIL.20190211.02.1.e-fisher","POERET","Poecilia reticulata",,569,"actual",,"mviggiano@battelleecology.org",
"c8f3e99f-0374-4ee4-a160-59361e2dd908","D04","GUIL","GUIL.AOS.fish.point.02","2019-02-11T14:00Z","2019-02-11T15:00Z",1,"GUIL.20190211.02.1.e-fisher","XIPHEL","Xiphophorus hellerii",,119,"actual",,"mviggiano@battelleecology.org",
"e65b1d8e-63d0-4c1c-83fd-8eb738ed467f","D04","GUIL","GUIL.AOS.fish.point.02","2019-02-11T17:09Z","2019-02-11T18:09Z",2,"GUIL.20190211.02.2.e-fisher","XIPHEL","Xiphophorus hellerii",,233,"actual",,"mviggiano@battelleecology.org",
"f2731ace-71ff-457d-a273-01c55cafc010","D04","GUIL","GUIL.AOS.fish.point.02","2019-02-11T17:09Z","2019-02-11T18:09Z",2,"GUIL.20190211.02.2.e-fisher","POERET","Poecilia reticulata",,496,"actual",,"mviggiano@battelleecology.org",
"34c8c91b-4548-4090-a2de-0480622a82d1","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T12:20Z","2019-02-12T13:40Z",1,"GUIL.20190212.05.1.e-fisher","POERET","Poecilia reticulata",,689,"actual",,"mviggiano@battelleecology.org",
"adc6e1f1-23f3-443e-988c-a36d806cf4bd","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T12:20Z","2019-02-12T13:40Z",1,"GUIL.20190212.05.1.e-fisher","XIPHEL","Xiphophorus hellerii",,170,"actual",,"mviggiano@battelleecology.org",
"2e1318d1-1d14-4bdc-8bda-4d9d9f31dbd1","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T15:10Z","2019-02-12T16:20Z",2,"GUIL.20190212.05.2.e-fisher","XIPHEL","Xiphophorus hellerii",,154,"actual",,"mviggiano@battelleecology.org",
"69bee52c-864a-4cd9-a84a-12702d77a59c","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T15:10Z","2019-02-12T16:20Z",2,"GUIL.20190212.05.2.e-fisher","POERET","Poecilia reticulata",,460,"actual",,"mviggiano@battelleecology.org",
"5a8725a3-6035-4b97-93f3-ff00dc5e8521","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T17:00Z","2019-02-12T18:00Z",3,"GUIL.20190212.05.3.e-fisher","POERET","Poecilia reticulata",,342,"actual",,"mviggiano@battelleecology.org",
"a5618385-8faf-4707-81f1-67d4857a5269","D04","GUIL","GUIL.AOS.fish.point.05","2019-02-12T17:00Z","2019-02-12T18:00Z",3,"GUIL.20190212.05.3.e-fisher","XIPHEL","Xiphophorus hellerii",,94,,,"mviggiano@battelleecology.org",
"a52f6a62-f211-4b76-a91c-e36603d56376","D04","GUIL","GUIL.AOS.fish.point.07","2019-02-13T13:54Z","2019-02-13T15:12Z",1,"GUIL.20190213.07.1.e-fisher","XIPHEL","Xiphophorus hellerii",,194,"actual",,"mviggiano@battelleecology.org",
"b873166e-5349-43f7-9dac-0d49be750eca","D04","GUIL","GUIL.AOS.fish.point.07","2019-02-13T13:54Z","2019-02-13T15:12Z",1,"GUIL.20190213.07.1.e-fisher","POERET","Poecilia reticulata",,507,"actual",,"mviggiano@battelleecology.org",
"8c1303fe-4735-4084-af4c-df04b7a6c67d","D04","GUIL","GUIL.AOS.fish.point.08","2019-02-13T17:15Z","2019-02-13T18:05Z",1,"GUIL.20190213.08.1.e-fisher","POERET","Poecilia reticulata",,218,"actual",,"mviggiano@battelleecology.org",
"1f93c48b-8314-4fd0-ac33-5124d7876bf7","D04","GUIL","GUIL.AOS.fish.point.08","2019-02-13T17:15Z","2019-02-13T18:05Z",1,"GUIL.20190213.08.1.e-fisher","XIPHEL","Xiphophorus hellerii",,67,"actual",,"mviggiano@battelleecology.org",
"b4aa5036-c692-4d22-93c9-1e2849208e72","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T12:00Z","2019-02-14T12:42Z",1,"GUIL.20190214.09.1.e-fisher","XIPHEL","Xiphophorus hellerii",,111,"actual",,"mviggiano@battelleecology.org",
"d4ef6764-4630-40cd-bfb0-9088a8b4914a","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T12:00Z","2019-02-14T12:42Z",1,"GUIL.20190214.09.1.e-fisher","POERET","Poecilia reticulata",,251,"actual",,"mviggiano@battelleecology.org",
"3976d2ed-afbc-4876-b003-5799034c99fd","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T13:45Z","2019-02-14T14:20Z",2,"GUIL.20190214.09.2.e-fisher","XIPHEL","Xiphophorus hellerii",,36,"actual",,"mviggiano@battelleecology.org",
"99eddc2c-2063-4b71-9784-56f9c322dee0","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T13:45Z","2019-02-14T14:20Z",2,"GUIL.20190214.09.2.e-fisher","POERET","Poecilia reticulata",,61,"actual",,"mviggiano@battelleecology.org",
"8f880fa1-c03f-4cf0-a8c6-e61823551756","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T14:50Z","2019-02-14T15:20Z",3,"GUIL.20190214.09.3.e-fisher","POERET","Poecilia reticulata",,38,"actual",,"mviggiano@battelleecology.org",
"d455191b-c719-403a-b7ee-e606b1f7b384","D04","GUIL","GUIL.AOS.fish.point.09","2019-02-14T14:50Z","2019-02-14T15:20Z",3,"GUIL.20190214.09.3.e-fisher","XIPHEL","Xiphophorus hellerii",,16,"actual",,"mviggiano@battelleecology.org",
