uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"ae9463bc-329f-470d-a552-4d80e48a9319","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,20,"RHIATR","Rhinichthys atratulus","species",,,,77,3.8,,,,"adult","no sample",,,"thillman@battelleecology.org",
"1fa7a54c-a547-448d-b7b8-55e555b2040c","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,13,"RHIATR","Rhinichthys atratulus","species",,,,46,0.8,,,,"juvenile","no sample",,,"thillman@battelleecology.org",
"51747e0a-1ef0-4c41-89d5-98aaf7912514","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,5,"SEMATR","Semotilus atromaculatus","species",,,,77,5.3,,,,"juvenile","no sample",,,"thillman@battelleecology.org",
"5e1b273a-692f-4476-ba8d-1a107cb78777","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,18,"RHIATR","Rhinichthys atratulus","species",,,,66,3.1,,,,"adult","no sample",,,"thillman@battelleecology.org",
"ffe1303d-6ea0-4f45-81e2-58bb2147382d","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,21,"RHIATR","Rhinichthys atratulus","species",,,,75,3.5,,,,"adult","no sample",,,"thillman@battelleecology.org",
"45ac6a7f-4cc0-46c4-b0b0-323b8e5a2397","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,6,"RHIATR","Rhinichthys atratulus","species",,,,51,1.4,,,,"juvenile","no sample",,,"thillman@battelleecology.org",
"029c4672-c2c2-411f-a0aa-308f07d9b183","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,11,"SALTRU","Salmo trutta","species",,,,131,20.1,,,,"young of year","no sample",,,"thillman@battelleecology.org",
"582ee614-bf5d-4a45-9b75-1fdbca6a50b9","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,19,"RHIATR","Rhinichthys atratulus","species",,,,74,4.2,,,,"adult","no sample",,,"thillman@battelleecology.org",
"4ffed3d1-2767-4639-b3bb-40815ee7fda3","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,16,"RHIATR","Rhinichthys atratulus","species",,,,74,3.4,,,,"adult","no sample",,,"thillman@battelleecology.org",
"bf261723-888d-41da-996a-4531280bf7a4","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,10,"RHIATR","Rhinichthys atratulus","species",,,,1,51.0,,,,"juvenile","no sample",,,"thillman@battelleecology.org",
"17ab480c-f3bc-4d7d-b8f5-3837dd3cde26","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,14,"RHIATR","Rhinichthys atratulus","species",,,,26,0.3,,,,"juvenile","no sample",,,"thillman@battelleecology.org",
"a9836247-c6de-497e-8a52-4d64271df280","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,8,"SALTRU","Salmo trutta","species",,,,151,29.4,,,,"young of year","no sample",,,"thillman@battelleecology.org",
"f2e19a2f-cb4f-43c4-8fe5-bfac16dea485","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,15,"SALTRU","Salmo trutta","species",,,,129,18.4,,,,"young of year","no sample",,,"thillman@battelleecology.org",
"c12e5681-ee8e-4b5f-8b88-76e9acedc129","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,2,"RHIATR","Rhinichthys atratulus","species",,,,85,7.5,,,,"adult","no sample",,,"thillman@battelleecology.org",
"1ab4c721-d0a0-4c03-b0d6-8bb842460022","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,17,"RHIATR","Rhinichthys atratulus","species",,,,33,0.3,,,,"juvenile","no sample",,,"thillman@battelleecology.org",
"1b508ea0-3c36-4345-a22a-639533f52416","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,23,"RHIATR","Rhinichthys atratulus","species",,,,44,0.9,,,,"juvenile","no sample",,,"thillman@battelleecology.org",
"5f9b9b80-e7a8-452c-857f-3ae71e5a21c3","D01","HOPB","HOPB.AOS.fish.point.06","2017-11-03T13:38Z","2017-11-10T15:30Z","HOPB.20171103.06.1.e-fisher",1,7,"RHIATR","Rhinichthys atratulus","species",,,,67,2.9,,,,"adult","no sample",,,"thillman@battelleecology.org",
