uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"08b938d1-3648-4e8f-85bf-170a584ec4a2","D01","HOPB","HOPB.AOS.fish.point.01","2019-05-06T17:21Z","2019-05-06T18:54Z",1,"HOPB.20190506.01","HOPB.20190506.01.1.e-fisher",12.5,9.8,80.2,"electrofisher","riffle","pool",30,20,300,,,,3409,,,,,,,,,,"Not compromised",,,,,,"Y",
"f7b2a3fd-27ac-4c2d-9aaf-df246b3401b4","D01","HOPB","HOPB.AOS.fish.point.03","2019-05-06T20:26Z","2019-05-06T22:00Z",1,"HOPB.20190506.03","HOPB.20190506.03.1.e-fisher",14.6,9.8,86.7,"electrofisher","riffle","pool",30,20,300,,,,2776,,,,,,,,,,"Not compromised",,,,,,"Y",
"ef9df45f-6425-4f02-9615-81c0c7873ecd","D01","HOPB","HOPB.AOS.fish.point.04","2019-05-07T13:54Z","2019-05-07T15:04Z",1,"HOPB.20190507.04","HOPB.20190507.04.1.e-fisher",10.1,11.5,90.1,"electrofisher","riffle","pool",30,20,300,,,,2357,,,,,,,,,,"<10% compromised",,,,,,"Y","Corner had small gap"
"5aaac7b8-931c-4313-af4c-ea91856396d1","D01","HOPB","HOPB.AOS.fish.point.04","2019-05-07T16:08Z","2019-05-07T17:24Z",2,"HOPB.20190507.04","HOPB.20190507.04.2.e-fisher",12.1,10.8,90.1,"electrofisher","riffle","pool",30,20,300,,,,1986,,,,,,,,,,"Not compromised",,,,,,"Y",
"5a0a5100-3787-4eaa-9a68-d4d16a62e298","D01","HOPB","HOPB.AOS.fish.point.04","2019-05-07T18:09Z","2019-05-07T19:22Z",3,"HOPB.20190507.04","HOPB.20190507.04.3.e-fisher",13.5,10.4,90.1,"electrofisher","riffle","pool",30,20,300,,,,2070,,,,,,,,,,"Not compromised",,,,,,"Y",
"1d9f27e6-6690-47cd-aa36-11482b1b82c6","D01","HOPB","HOPB.AOS.fish.point.06","2019-05-08T14:17Z","2019-05-08T14:51Z",1,"HOPB.20190508.06","HOPB.20190508.06.1.e-fisher",11.0,10.3,89.5,"electrofisher","riffle","pool",30,20,300,,,,1413,,,,,,,,,,"Not compromised",,,,,,"Y",
"b5000234-24db-4132-b753-2229a6d3720b","D01","HOPB","HOPB.AOS.fish.point.06","2019-05-08T15:20Z","2019-05-08T15:47Z",2,"HOPB.20190508.06","HOPB.20190508.06.2.e-fisher",11.9,10.6,89.6,"electrofisher","riffle","pool",30,20,300,,,,927,,,,,,,,,,"Not compromised",,,,,,"Y",
"ead9d58f-31a4-4abf-96f7-1a20352db337","D01","HOPB","HOPB.AOS.fish.point.06","2019-05-08T16:28Z","2019-05-08T17:00Z",3,"HOPB.20190508.06","HOPB.20190508.06.3.e-fisher",13.1,10.2,89.4,"electrofisher","riffle","pool",30,20,300,,,,945,,,,,,,,,,"<10% compromised",,,,,,"Y",
"69cb2bc2-649e-4b68-b2ca-4624634c2275","D01","HOPB","HOPB.AOS.fish.point.08","2019-05-08T18:15Z","2019-05-08T19:20Z",1,"HOPB.20190508.08","HOPB.20190508.08.1.e-fisher",14.7,9.4,89.1,"electrofisher","riffle","pool",30,20,300,,,,2356,,,,,,,,,,"Not compromised",,,,,,"Y",
"cca90f61-0089-4e5c-af55-d2dcb0079b5a","D01","HOPB","HOPB.AOS.fish.point.10","2019-05-09T15:09Z","2019-05-09T16:03Z",1,"HOPB.20190509.10","HOPB.20190509.10.1.e-fisher",10.1,10.8,92.0,"electrofisher","riffle","pool",30,20,300,,,,1852,,,,,,,,,,"Not compromised",,,,,,"Y",
"8a0a86dc-5f62-407b-8b28-9aaa6db76c80","D01","HOPB","HOPB.AOS.fish.point.10","2019-05-09T18:06Z","2019-05-09T19:16Z",2,"HOPB.20190509.10","HOPB.20190509.10.2.e-fisher",11.4,10.4,91.0,"electrofisher","riffle","pool",30,20,300,,,,1939,,,,,,,,,,"Not compromised",,,,,,"Y",
"913b61d7-ce64-4df9-9579-de77370fba00","D01","HOPB","HOPB.AOS.fish.point.10","2019-05-09T20:01Z","2019-05-09T20:52Z",3,"HOPB.20190509.10","HOPB.20190509.10.3.e-fisher",12.1,10.1,92.7,"electrofisher","riffle","pool",30,20,300,,,,1443,,,,,,,,,,"Not compromised",,,,,,"Y",
