uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"33902e4d-888d-4189-bb67-fffcf3b9a953","D06","KING","KING.AOS.fish.point.01","2017-04-11T13:15Z","2017-04-11T14:52Z",1,"KING.20170411.01","KING.20170411.01.1.e-fisher",10.1,11.9,559.0,"electrofisher",,,30,10,150,30,10,150,463,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a4270ccd-9d0e-4abb-9c00-268ba47e7e51","D06","KING","KING.AOS.fish.point.01","2017-04-11T14:52Z","2017-04-11T16:30Z",2,"KING.20170411.01","KING.20170411.01.2.e-fisher",10.1,11.9,559.0,"electrofisher",,,30,10,150,30,10,150,448,0,,,,,,,,,"Not compromised",,,,,,"Y",
"b64cd679-c05f-4aa7-b756-280c4ee19476","D06","KING","KING.AOS.fish.point.01","2017-04-11T17:45Z","2017-04-11T18:10Z",3,"KING.20170411.01","KING.20170411.01.3.e-fisher",10.1,11.9,559.0,"electrofisher",,,30,10,150,30,10,150,435,0,,,,,,,,,"Not compromised",,,,,,"Y",
"82c676c6-8960-42c4-a662-2c7a14d969b6","D06","KING","KING.AOS.fish.point.02","2017-04-11T19:00Z","2017-04-11T19:40Z",1,"KING.20170411.02","KING.20170411.02.1.e-fisher",10.1,11.9,559.0,"electrofisher",,,30,10,150,30,10,150,436,0,,,,,,,,,"Not compromised",,,,,,"Y",
"efdc6b8f-84b4-4a0d-a196-85190a9985ca","D06","KING","KING.AOS.fish.point.03","2017-04-12T14:30Z","2017-04-12T15:00Z",1,"KING.20170412.03","KING.20170412.03.1.e-fisher",11.6,11.6,554.0,"electrofisher",,,30,10,150,30,10,150,702,0,,,,,,,,,"Not compromised",,,,,,"Y",
"75753e6c-b06e-4075-971a-c5a33869c236","D06","KING","KING.AOS.fish.point.03","2017-04-12T16:00Z","2017-04-12T16:25Z",2,"KING.20170412.03","KING.20170412.03.2.e-fisher",11.6,11.6,554.0,"electrofisher",,,30,10,150,30,10,150,421,0,,,,,,,,,"Not compromised",,,,,,"Y",
"7f7f0cd7-3c36-4fc0-a608-765ac6e9db16","D06","KING","KING.AOS.fish.point.03","2017-04-12T16:25Z","2017-04-12T17:45Z",3,"KING.20170412.03","KING.20170412.03.3.e-fisher",11.6,11.6,554.0,"electrofisher",,,30,10,150,30,10,150,513,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ad9671f1-b056-4cf2-b37a-8c096a297c5b","D06","KING","KING.AOS.fish.point.04","2017-04-13T13:15Z","2017-04-13T15:20Z",1,"KING.20170413.04","KING.20170413.04.1.e-fisher",13.5,10.8,561.0,"electrofisher",,,30,10,200,30,10,200,512,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0de42e84-9329-47b5-8c3e-28f06cdaeb4f","D06","KING","KING.AOS.fish.point.04","2017-04-13T15:30Z","2017-04-13T16:47Z",2,"KING.20170413.04","KING.20170413.04.2.e-fisher",13.5,10.8,561.0,"electrofisher",,,30,10,200,30,10,200,569,0,,,,,,,,,"Not compromised",,,,,,"Y",
"cb5113be-4070-4e5e-8519-f745b653acc9","D06","KING","KING.AOS.fish.point.04","2017-04-13T17:00Z","2017-04-13T17:28Z",3,"KING.20170413.04","KING.20170413.04.3.e-fisher",13.5,10.8,561.0,"electrofisher",,,30,10,200,30,10,200,426,0,,,,,,,,,"Not compromised",,,,,,"Y",
"7a6ef668-d98d-4e3f-8167-917308911296","D06","KING","KING.AOS.fish.point.05","2017-04-13T18:40Z","2017-04-13T19:05Z",1,"KING.20170413.05","KING.20170413.05.1.e-fisher",16.1,11.2,564.0,"electrofisher",,,30,10,200,30,10,200,503,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a1a33a43-2ecb-4b7a-954b-43f6a3da9876","D06","KING","KING.AOS.fish.point.06","2017-04-14T15:00Z","2017-04-14T15:25Z",1,"KING.20170414.06","KING.20170414.06.1.e-fisher",14.6,10.5,565.0,"electrofisher",,,30,10,200,30,10,200,405,0,,,,,,,,,"Not compromised",,,,,,"Y",
