uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"42a6bb18-128c-4bce-b7ce-34b7cc0f5c3b","D06","KING","KING.AOS.fish.point.01","2018-04-11T14:30Z","2018-04-11T15:30Z",1,"KING.20180411.01.1.e-fisher","CHRERY","Chrosomus erythrogaster",,103,"actual",,"jkukulski@battelleecology.org",
"c64dfc87-4ff8-458a-8770-ede7ad1ad0b6","D06","KING","KING.AOS.fish.point.01","2018-04-11T20:29Z","2018-04-11T21:00Z",2,"KING.20180411.01.2.e-fisher","CHRERY","Chrosomus erythrogaster",,291,"actual",,"jkukulski@battelleecology.org",
"9313ef49-e3f8-44ce-b4b0-acab05400737","D06","KING","KING.AOS.fish.point.01","2018-04-11T20:29Z","2018-04-11T21:00Z",2,"KING.20180411.01.2.e-fisher","CAMANO","Campostoma anomalum","D06.KING.2018.MorphA",16,"actual",,"jkukulski@battelleecology.org",
"86c6e5f4-f68e-4b30-8b33-d69c6b5f38ac","D06","KING","KING.AOS.fish.point.01","2018-04-12T12:51Z","2018-04-12T13:36Z",3,"KING.20180412.01.3.e-fisher","CAMANO","Campostoma anomalum","D06.KING.2018.MorphA",29,"actual",,"jkukulski@battelleecology.org",
"a5a61b7c-586c-408b-b939-8b2f128ec8b5","D06","KING","KING.AOS.fish.point.01","2018-04-12T12:51Z","2018-04-12T13:36Z",3,"KING.20180412.01.3.e-fisher","CAMANO","Campostoma anomalum",,23,"actual",,"jkukulski@battelleecology.org",
"c783c450-0351-4642-9ab3-ebc75446cd77","D06","KING","KING.AOS.fish.point.01","2018-04-12T12:51Z","2018-04-12T13:36Z",3,"KING.20180412.01.3.e-fisher","CHRERY","Chrosomus erythrogaster",,472,"actual",,"jkukulski@battelleecology.org",
"cbe5af82-b420-4d9f-8a6b-6a86c68138eb","D06","KING","KING.AOS.fish.point.03","2018-04-12T15:35Z","2018-04-12T15:59Z",1,"KING.20180412.03.1.e-fisher","CHRERY","Chrosomus erythrogaster",,76,"actual",,"egawanda@battelleecology.org",
"083f7f07-c880-49af-a64e-d27bcfbe9cd9","D06","KING","KING.AOS.fish.point.03","2018-04-12T17:10Z","2018-04-12T17:25Z",2,"KING.20180412.03.2.e-fisher","CHRERY","Chrosomus erythrogaster",,64,"actual",,"egawanda@battelleecology.org",
"3094a5b9-3c6e-43e5-815e-52335d21627c","D06","KING","KING.AOS.fish.point.03","2018-04-12T17:10Z","2018-04-12T17:25Z",2,"KING.20180412.03.2.e-fisher","CAMANO","Campostoma anomalum","D06.KING.2018.MorphA",2,"actual",,"egawanda@battelleecology.org",
"d16ac69a-31a3-4a3d-a2d0-73f264727452","D06","KING","KING.AOS.fish.point.03","2018-04-12T17:10Z","2018-04-12T17:25Z",2,"KING.20180412.03.2.e-fisher","CAMANO","Campostoma anomalum",,16,"actual",,"egawanda@battelleecology.org",
"6f9ba140-7e3f-40d0-aa6d-f198e311828a","D06","KING","KING.AOS.fish.point.03","2018-04-12T18:21Z","2018-04-12T18:42Z",3,"KING.20180412.03.3.e-fisher","CAMANO","Campostoma anomalum","D06.KING.2018.MorphA",15,,,"egawanda@battelleecology.org",
"341891be-30c0-4aae-8479-1cb97dd471c4","D06","KING","KING.AOS.fish.point.03","2018-04-12T18:21Z","2018-04-12T18:42Z",3,"KING.20180412.03.3.e-fisher","CAMANO","Campostoma anomalum",,32,,,"egawanda@battelleecology.org",
"82965857-ab81-4be9-b043-f7d07de65800","D06","KING","KING.AOS.fish.point.03","2018-04-12T18:21Z","2018-04-12T18:42Z",3,"KING.20180412.03.3.e-fisher","CHRERY","Chrosomus erythrogaster",,48,,,"egawanda@battelleecology.org",
