uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"9ff0fa26-9b88-4b2f-ba59-ee69c9bba7f3","D07","LECO","LECO.AOS.fish.point.01","2018-06-05T16:37Z","2018-06-05T17:55Z",1,"LECO.20180605.01","LECO.20180605.01.1.e-fisher",16.5,9.1,18.5,"electrofisher","step pool","riffle",30,10,900,30,10,700,2719,1,,,,,,,,,"<10% compromised",,,,,,"Y",
"010370c3-e46a-4235-8d20-fb011fc5578e","D07","LECO","LECO.AOS.fish.point.01","2018-06-05T19:00Z","2018-06-05T20:04Z",2,"LECO.20180605.01","LECO.20180605.01.2.e-fisher",16.0,9.0,18.0,"electrofisher","step pool","riffle",30,10,700,30,10,700,2995,0,,,,,,,,,"<10% compromised",,,,,,"Y",
"58db5e10-4358-48c0-bc9f-b7f42de1517b","D07","LECO","LECO.AOS.fish.point.01","2018-06-05T20:40Z","2018-06-05T21:10Z",3,"LECO.20180605.01","LECO.20180605.01.3.e-fisher",16.0,9.0,18.0,"electrofisher","step pool","riffle",30,10,700,30,10,700,1057,0,,,,,,,,,"Not compromised",,,,,,"Y",
"192a1de7-1be9-4ccc-a312-43f0789b6043","D07","LECO","LECO.AOS.fish.point.03","2018-06-05T22:00Z","2018-06-05T22:45Z",1,"LECO.20180605.03","LECO.20180605.03.1.e-fisher",16.3,9.1,18.6,"electrofisher","step pool","riffle",30,10,700,30,10,700,1850,0,,,,,,,,,"Not compromised",,,,,,"Y",
"2059e713-b574-4ac7-bc10-c32f77210b93","D07","LECO","LECO.AOS.fish.point.04","2018-06-06T13:00Z","2018-06-07T02:40Z",1,"LECO.20180606.04","LECO.20180606.04.1.e-fisher",15.0,9.2,19.1,"electrofisher","step pool","riffle",30,10,700,30,10,700,3881,0,,,,,,,,,"Not compromised",,,,,,"Y",
"3873b3fb-fe0b-40c0-9d9f-cfce1db56c83","D07","LECO","LECO.AOS.fish.point.04","2018-06-06T15:25Z","2018-06-06T16:20Z",2,"LECO.20180606.04","LECO.20180606.04.2.e-fisher",15.0,9.0,19.0,"electrofisher","step pool","riffle",30,10,700,30,10,700,2740,0,,,,,,,,,"Not compromised",,,,,,"Y",
"51b262f8-7a8e-44e6-b925-9cf349cabc0a","D07","LECO","LECO.AOS.fish.point.04","2018-06-06T17:00Z","2018-06-06T17:40Z",3,"LECO.20180606.04","LECO.20180606.04.3.e-fisher",15.0,9.0,19.0,"electrofisher","step pool","riffle",30,10,700,30,10,700,1649,0,,,,,,,,,"Not compromised",,,,,,"Y",
"a04b6d6b-ab53-41ac-8e76-8feeefda4a13","D07","LECO","LECO.AOS.fish.point.08","2018-06-06T18:20Z","2018-06-06T19:50Z",1,"LECO.20180606.08","LECO.20180606.08.1.e-fisher",16.3,8.7,18.2,"electrofisher","step pool","riffle",30,10,700,30,10,700,2545,0,,,,,,,,,"Not compromised",,,,,,"Y",
"5a3ea5b5-8b3b-4d1d-b0dd-c8bdfbf86e34","D07","LECO","LECO.AOS.fish.point.09","2018-06-06T20:35Z","2018-06-06T22:00Z",1,"LECO.20180606.09","LECO.20180606.09.1.e-fisher",16.3,8.7,18.2,"electrofisher","step pool","riffle",30,10,700,30,10,700,2947,0,,,,,,,,,"Not compromised",,,,,,"Y",
"ed90a014-d05d-4734-9773-9a9aa5c5955e","D07","LECO","LECO.AOS.fish.point.10","2018-06-07T13:00Z","2018-06-07T14:20Z",1,"LECO.20180607.10","LECO.20180607.10.1.e-fisher",9.5,14.8,15.1,"electrofisher","step pool","riffle",30,10,700,30,10,700,3489,0,,,,,,,,,"Not compromised",,,,,,"Y",
"69f220c1-326d-44d8-8744-18f29c030e77","D07","LECO","LECO.AOS.fish.point.10","2018-06-07T14:50Z","2018-06-07T16:00Z",2,"LECO.20180607.10","LECO.20180607.10.2.e-fisher",9.0,14.0,15.0,"electrofisher","step pool","riffle",30,10,700,30,10,700,2778,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1a01a2be-cf29-4bd4-a6a6-d6c4068a70ac","D07","LECO","LECO.AOS.fish.point.10","2018-06-07T16:25Z","2018-06-07T17:20Z",3,"LECO.20180607.10","LECO.20180607.10.3.e-fisher",9.0,14.0,15.0,"electrofisher","step pool","riffle",30,10,700,30,10,700,2795,0,,,,,,,,,"Not compromised",,,,,,"Y",
