uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"bd110e2c-44fd-4dd2-8986-5501f7b5db9e","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,48,"COTGIR","Cottus girardi","species",,,,69,3.4,,,,,"no sample",,,"jcoloso@battelleecology.org",
"9bd9a1e3-298a-40ed-b470-0fe270911e85","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,38,"SEMATR","Semotilus atromaculatus","species",,,,104,10.3,,,,,"no sample",,,"jcoloso@battelleecology.org",
"d12bf2bf-faae-4d2b-8c79-54897be606d3","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,26,"RHIATR","Rhinichthys atratulus","species",,,,50,1.2,,,,,"no sample",,,"jcoloso@battelleecology.org",
"1c09fe21-7319-4977-b076-63ad59d9d9cc","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,37,"SEMATR","Semotilus atromaculatus","species",,,,133,22.3,,,,,"no sample",,,"jcoloso@battelleecology.org",
"7fac6d22-89bc-49d0-b710-2a584bf0f8d2","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,67,"COTGIR","Cottus girardi","species",,,,48,1.4,,,,,"no sample",,,"jcoloso@battelleecology.org",
"e380bcfb-44f0-45e9-a3b5-c3b75467c4c4","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,12,"COTGIR","Cottus girardi","species",,,,75,5.0,,,,,"no sample",,,"jcoloso@battelleecology.org",
"625d05a7-c51d-413b-b8c8-fac785be094c","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,99,"RHIATR","Rhinichthys atratulus","species",,,,61,2.7,,,,,"no sample",,,"jcoloso@battelleecology.org",
"e4c19a06-992e-432d-91d4-3892d16ec42a","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,111,"RHIATR","Rhinichthys atratulus","species",,,,40,0.5,,,,,"no sample",,,"jcoloso@battelleecology.org",
"4fefc3c8-c7b9-4a2f-9d1d-2fd3eb17aa77","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,89,"COTGIR","Cottus girardi","species",,,,77,6.1,,,,,"no sample",,,"jcoloso@battelleecology.org",
"00d8295d-4412-4fd9-a308-1054e485e7f9","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,41,"COTGIR","Cottus girardi","species",,,,44,1.0,,,,,"no sample",,,"jcoloso@battelleecology.org",
"43419221-96eb-4dde-bb43-972b292938ef","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,58,"COTGIR","Cottus girardi","species",,,,81,5.2,,,,,"no sample",,,"jcoloso@battelleecology.org","This fish ate another fish"
"ff492229-1b74-4c9f-a5d8-3a6dc8e0eefa","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,90,"RHIATR","Rhinichthys atratulus","species",,,,70,3.4,,,,,"no sample",,,"jcoloso@battelleecology.org",
"31f462b6-c72b-4664-afaa-1d413b349b91","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,91,"COTGIR","Cottus girardi","species",,,,77,5.5,,,,,"no sample",,,"jcoloso@battelleecology.org",
"23b656d0-06bd-4949-8dc2-2a63875c6cbf","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,45,"COTGIR","Cottus girardi","species",,,,40,0.6,,,,,"no sample",,,"jcoloso@battelleecology.org",
"f23cf9ba-e678-4d7e-8514-53dddfef18cb","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,13,"SEMATR","Semotilus atromaculatus","species",,,,123,16.7,,,,,"no sample",,,"jcoloso@battelleecology.org",
"fdf061a1-fdf9-47c3-a423-a6368bae3486","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,57,"RHIATR","Rhinichthys atratulus","species",,,,59,1.9,,,,,"no sample",,,"jcoloso@battelleecology.org",
"9adcec05-00b0-41fd-adae-0b35e3fb67a9","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,16,"CLIFUN","Clinostomus funduloides","species",,,,82,4.7,,,,,"no sample",,,"jcoloso@battelleecology.org",
"9ce77ac8-62d2-425f-a9ed-ca5a1b9eb4e9","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,39,"SEMATR","Semotilus atromaculatus","species",,,,110,12.9,,,,,"no sample",,,"jcoloso@battelleecology.org",
"ac3a97a6-1492-47b4-b2e7-3b9eee1da31a","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,87,"COTGIR","Cottus girardi","species",,,,60,2.5,,,,,"no sample",,,"jcoloso@battelleecology.org",
"3fef502d-2a57-4154-a0b0-d273bfff25a0","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,55,"COTGIR","Cottus girardi","species",,,,70,3.4,,,,,"no sample",,,"jcoloso@battelleecology.org",
"0519b5c8-db85-41e0-8f2d-0486f361e78a","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,50,"SEMATR","Semotilus atromaculatus","species",,,,127,19.6,,,,,"no sample",,,"jcoloso@battelleecology.org",
"2367b844-1fe3-4058-92d6-c9781a68cbc7","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,93,"COTGIR","Cottus girardi","species",,,,45,0.9,,,,,"no sample",,,"jcoloso@battelleecology.org",
"44cb96cc-9407-40aa-8c9a-961fc2adbcfc","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,109,"RHIATR","Rhinichthys atratulus","species",,,,50,1.4,,,,,"no sample",,,"jcoloso@battelleecology.org",
"115b5b1e-8227-4874-b923-202448545632","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,63,"COTGIR","Cottus girardi","species",,,,68,3.5,,,,,"no sample",,,"jcoloso@battelleecology.org",
"0714ee68-3bab-4c1d-84ee-caec414edacc","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,18,"COTGIR","Cottus girardi","species",,,,50,1.3,,,,,"no sample",,,"jcoloso@battelleecology.org",
"7fa366c8-1a70-4297-b197-c10e6cac296c","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,14,"RHIATR","Rhinichthys atratulus","species",,,,36,0.5,,,,,"no sample",,,"jcoloso@battelleecology.org",
"078d609c-6471-4e29-afcc-5d2ea3166180","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,107,"SEMATR","Semotilus atromaculatus","species",,,,84,5.3,,,,,"no sample",,,"jcoloso@battelleecology.org",
"70ac8b6d-6e91-41ae-9c70-4bb66e893117","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,10,"COTGIR","Cottus girardi","species",,,,62,2.8,,,,,"no sample",,,"jcoloso@battelleecology.org",
"851bb128-080b-4bd5-b8e6-fad5ada7b9a9","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,104,"RHIATR","Rhinichthys atratulus","species",,,,61,2.4,,,,,"no sample",,,"jcoloso@battelleecology.org",
"4dd5d587-3140-4b26-b5b6-a00810517288","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,32,"COTGIR","Cottus girardi","species",,,,72,5.1,,,,,"no sample",,,"jcoloso@battelleecology.org",
"493a9454-bdfd-4e9a-b92d-6d4dd2960ab2","D02","LEWI","LEWI.AOS.fish.point.01","2017-11-13T14:36Z","2017-11-13T15:34Z","LEWI.20171113.01.1.e-fisher",1,11,"SEMATR","Semotilus atromaculatus","species",,,,125,18.8,,,,,"no sample",,,"jcoloso@battelleecology.org",
