uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"634442ae-0b05-4f45-9a39-06981357645f","D02","LEWI","LEWI.AOS.fish.point.01","2021-11-08T13:45Z","2021-11-08T14:38Z",1,"LEWI.20211108.01.1.e-fisher","COTGIR","Cottus girardi",,77,"actual",,"0000-0003-3114-5862",
"9e626baf-4c01-49b8-a938-c5ba83938953","D02","LEWI","LEWI.AOS.fish.point.01","2021-11-08T15:30Z","2021-11-08T16:21Z",2,"LEWI.20211108.01.2.e-fisher","COTGIR","Cottus girardi",,72,"actual",,"0000-0003-3114-5862",
"bacc481c-f366-4913-bd83-773bfd9bcd27","D02","LEWI","LEWI.AOS.fish.point.01","2021-11-08T17:14Z","2021-11-08T17:56Z",3,"LEWI.20211108.01.3.e-fisher","COTGIR","Cottus girardi",,61,"actual",,"0000-0003-3114-5862",
"2a8a253f-1b50-44b8-b83d-804a407ea8db","D02","LEWI","LEWI.AOS.fish.point.04","2021-11-09T13:20Z","2021-11-09T14:13Z",1,"LEWI.20211109.04.1.e-fisher","COTGIR","Cottus girardi",,72,"actual",,"0000-0003-3114-5862",
"40b6ffae-482a-446c-bbb6-907f3ad5fcb0","D02","LEWI","LEWI.AOS.fish.point.04","2021-11-09T15:14Z","2021-11-09T15:57Z",2,"LEWI.20211109.04.2.e-fisher","COTGIR","Cottus girardi",,64,"actual",,"0000-0003-3114-5862",
"dc8762ab-e45a-4dcc-8ae5-d8640ba47c45","D02","LEWI","LEWI.AOS.fish.point.04","2021-11-09T16:40Z","2021-11-09T17:26Z",3,"LEWI.20211109.04.3.e-fisher","COTGIR","Cottus girardi",,52,"actual",,"0000-0003-3114-5862",
"c596bf01-3a5f-46c1-a835-6687175b9f50","D02","LEWI","LEWI.AOS.fish.point.06","2021-11-09T18:10Z","2021-11-09T19:05Z",1,"LEWI.20211109.06.1.e-fisher","COTGIR","Cottus girardi",,38,"actual",,"0000-0003-3114-5862",
"a808ae9f-1676-44f0-a583-d6f8824f5e4f","D02","LEWI","LEWI.AOS.fish.point.08","2021-11-10T13:40Z","2021-11-10T14:12Z",1,"LEWI.20211110.08.1.e-fisher","COTGIR","Cottus girardi",,22,"actual",,"0000-0003-3114-5862",
"476ba766-d480-410b-87c0-b27b863f02e0","D02","LEWI","LEWI.AOS.fish.point.09","2021-11-10T15:19Z","2021-11-10T16:26Z",1,"LEWI.20211110.09.1.e-fisher","COTGIR","Cottus girardi",,34,"actual",,"0000-0003-3114-5862",
"732cb3e3-5e99-4d1a-a154-376e0e1f92db","D02","LEWI","LEWI.AOS.fish.point.09","2021-11-10T17:27Z","2021-11-10T17:58Z",2,"LEWI.20211110.09.2.e-fisher","COTGIR","Cottus girardi",,36,"actual",,"0000-0003-3114-5862",
"e3306806-ee95-4266-870d-68ebb117d33d","D02","LEWI","LEWI.AOS.fish.point.09","2021-11-10T17:27Z","2021-11-10T17:58Z",2,"LEWI.20211110.09.2.e-fisher","RHIATR","Rhinichthys atratulus",,4,"actual",,"0000-0003-3114-5862",
"68da6b95-1c9e-4ce4-af3c-503e41ffe263","D02","LEWI","LEWI.AOS.fish.point.09","2021-11-10T18:34Z","2021-11-10T19:05Z",3,"LEWI.20211110.09.3.e-fisher","RHIATR","Rhinichthys atratulus",,11,"actual",,"0000-0003-3114-5862",
"915a3360-27e1-49fe-9830-f1332bed4eeb","D02","LEWI","LEWI.AOS.fish.point.09","2021-11-10T18:34Z","2021-11-10T19:05Z",3,"LEWI.20211110.09.3.e-fisher","COTGIR","Cottus girardi",,24,"actual",,"0000-0003-3114-5862",
"a35dad38-8628-44ed-9f2a-36e12bf23d07","D02","LEWI","LEWI.AOS.fish.point.10","2021-11-11T13:24Z","2021-11-11T14:10Z",1,"LEWI.20211111.10.1.e-fisher","COTGIR","Cottus girardi",,44,"actual",,"0000-0003-3114-5862",
