uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"5cd4d71d-808c-4d2f-8411-8cd5ff5362d5","D02","LEWI","LEWI.AOS.fish.point.01","2022-04-11T13:04Z","2022-04-11T13:46Z",1,"LEWI.20220411.01","LEWI.20220411.01.1.e-fisher",,,,"electrofisher","run","riffle",30,10,150,30,10,150,842,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1bf2af9e-f35b-4a1f-9f56-1b8096449d04","D02","LEWI","LEWI.AOS.fish.point.01","2022-04-11T14:37Z","2022-04-11T15:27Z",2,"LEWI.20220411.01","LEWI.20220411.01.2.e-fisher",,,,"electrofisher","run","riffle",30,10,150,30,10,150,924,0,,,,,,,,,"<10% compromised",,,,,,"Y",
"aff6548d-660c-4ee5-89a1-2af58175be35","D02","LEWI","LEWI.AOS.fish.point.01","2022-04-11T15:56Z","2022-04-11T16:34Z",3,"LEWI.20220411.01","LEWI.20220411.01.3.e-fisher",,,,"electrofisher","run","riffle",30,10,150,30,10,150,673,0,,,,,,,,,"Not compromised",,,,,,"Y",
"5962ebe3-470a-43d7-bec7-a3950e43a836","D02","LEWI","LEWI.AOS.fish.point.03","2022-04-11T18:17Z","2022-04-11T18:36Z",1,"LEWI.20220411.03","LEWI.20220411.03.1.e-fisher",,,,"electrofisher","run","riffle",30,10,150,30,10,150,716,0,,,,,,,,,"<10% compromised",,,,,,"Y",
"c0cca0aa-048f-4376-bb20-80006931d6db","D02","LEWI","LEWI.AOS.fish.point.04","2022-04-12T12:29Z","2022-04-12T13:33Z",1,"LEWI.20220412.04","LEWI.20220412.04.1.e-fisher",11.9,10.3,616.0,"electrofisher","run","riffle",30,10,150,30,10,150,905,0,,,,,,,,,"<10% compromised",,,,,,"Y",
"670b662e-bba2-4dde-8848-02e46b02a6ec","D02","LEWI","LEWI.AOS.fish.point.04","2022-04-12T14:06Z","2022-04-12T14:55Z",2,"LEWI.20220412.04","LEWI.20220412.04.2.e-fisher",13.7,10.4,623.0,"electrofisher","run","riffle",30,10,150,30,10,150,911,0,,,,,,,,,"Not compromised",,,,,,"Y",
"3bb3a452-736c-4c58-8b9e-98cad1e94c9c","D02","LEWI","LEWI.AOS.fish.point.04","2022-04-12T15:28Z","2022-04-12T15:58Z",3,"LEWI.20220412.04","LEWI.20220412.04.3.e-fisher",14.1,11.3,610.0,"electrofisher","run","riffle",30,10,150,30,10,150,705,0,,,,,,,,,"Not compromised",,,,,,"Y",
"29f8e81d-96b5-43de-a773-9659eff1482a","D02","LEWI","LEWI.AOS.fish.point.05","2022-04-12T16:45Z","2022-04-12T17:37Z",1,"LEWI.20220412.05","LEWI.20220412.05.1.e-fisher",15.8,11.0,602.0,"electrofisher","run","riffle",30,10,150,30,10,150,734,0,,,,,,,,,"Not compromised",,,,,,"Y",
"64293a3e-c408-4901-b793-91f2250c8492","D02","LEWI","LEWI.AOS.fish.point.07","2022-04-13T12:28Z","2022-04-13T13:17Z",1,"LEWI.20220413.07","LEWI.20220413.07.1.e-fisher",12.2,10.2,615.0,"electrofisher","run","riffle",30,10,150,30,10,150,795,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d00a9614-6e55-40da-a92f-aa172f03043e","D02","LEWI","LEWI.AOS.fish.point.09","2022-04-13T14:18Z","2022-04-13T15:02Z",1,"LEWI.20220413.09","LEWI.20220413.09.1.e-fisher",13.4,12.4,624.0,"electrofisher","run","riffle",30,10,150,30,10,150,684,0,,,,,,,,,"Not compromised",,,,,,"Y",
"79a99d79-96a7-4127-8094-22f66f774891","D02","LEWI","LEWI.AOS.fish.point.09","2022-04-13T15:35Z","2022-04-13T16:04Z",2,"LEWI.20220413.09","LEWI.20220413.09.2.e-fisher",15.3,13.6,630.0,"electrofisher","run","riffle",30,10,150,30,10,150,719,0,,,,,,,,,"Not compromised",,,,,,"Y",
"aebed9dc-fe65-4701-aa15-487e127219d4","D02","LEWI","LEWI.AOS.fish.point.09","2022-04-13T16:41Z","2022-04-13T17:13Z",3,"LEWI.20220413.09","LEWI.20220413.09.3.e-fisher",17.4,11.3,596.0,"electrofisher","run","riffle",30,10,150,30,10,150,687,0,,,,,,,,,"Not compromised",,,,,,"Y",
