uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"352f5231-84d7-4760-84b4-4c7364aff7f6","D05","LIRO","LIRO.AOS.riparian.point.09","2021-05-26T01:50Z","2021-05-26T17:00Z","LIRO.20210525.09.4.fyke",4,1,"AMBRUP","Ambloplites rupestris","species",,,,43,1.7,,,,"juvenile","dna sample only","FSH.LIRO.09.20210525.4.0001","FSH.LIRO.09.20210525.4.0001.DNA","0000-0003-1075-1249",
"5b4b8f2f-4655-4b5d-aaf9-918d04fb76a4","D05","LIRO","LIRO.AOS.riparian.point.09","2021-05-26T01:50Z","2021-05-26T17:00Z","LIRO.20210525.09.4.fyke",4,3,"MICSAL","Micropterus salmoides","species",,,,125,20.3,,,,"juvenile","dna sample only","FSH.LIRO.09.20210525.4.0003","FSH.LIRO.09.20210525.4.0003.DNA","0000-0003-1075-1249",
"dab41f72-d896-47b2-84cc-9022b746439d","D05","LIRO","LIRO.AOS.riparian.point.09","2021-05-26T01:50Z","2021-05-26T17:00Z","LIRO.20210525.09.4.fyke",4,2,"MICSAL","Micropterus salmoides","species",,,,144,31.8,,,,"juvenile","dna sample only","FSH.LIRO.09.20210525.4.0002","FSH.LIRO.09.20210525.4.0002.DNA","0000-0003-1075-1249",
"11c7a9bf-758a-40f8-911a-a3a53cef35b1","D05","LIRO","LIRO.AOS.riparian.point.08","2021-05-26T02:07Z","2021-05-26T18:04Z","LIRO.20210525.08.4.fyke",4,1,"MICSAL","Micropterus salmoides","species",,,,146,32.0,,,,"juvenile","dna sample only","FSH.LIRO.08.20210525.4.0001","FSH.LIRO.08.20210525.4.0001.DNA","0000-0003-1075-1249",
"944e9c62-d0a2-41e9-9ee8-823120c14efc","D05","LIRO","LIRO.AOS.riparian.point.08","2021-05-26T02:07Z","2021-05-26T18:04Z","LIRO.20210525.08.4.fyke",4,4,"MICSAL","Micropterus salmoides","species",,,,274,244.5,,,,"adult","dna sample only","FSH.LIRO.08.20210525.4.0004","FSH.LIRO.08.20210525.4.0004.DNA","0000-0003-1075-1249",
"6ac97310-2e1d-4b68-8650-59779d10b5c6","D05","LIRO","LIRO.AOS.riparian.point.08","2021-05-26T02:07Z","2021-05-26T18:04Z","LIRO.20210525.08.4.fyke",4,5,"PERFLA","Perca flavescens","species",,,,345,438.0,,,,"adult","dna sample only","FSH.LIRO.08.20210525.4.0005","FSH.LIRO.08.20210525.4.0005.DNA","0000-0003-1075-1249",
"08f5e3d4-c602-4082-862d-68cae74d6dc7","D05","LIRO","LIRO.AOS.riparian.point.08","2021-05-26T02:07Z","2021-05-26T18:04Z","LIRO.20210525.08.4.fyke",4,2,"AMBRUP","Ambloplites rupestris","species",,,,162,84.5,,,,"adult","dna sample only","FSH.LIRO.08.20210525.4.0002","FSH.LIRO.08.20210525.4.0002.DNA","0000-0003-1075-1249",
"96336896-c207-4168-b4aa-04a5cdd66ada","D05","LIRO","LIRO.AOS.riparian.point.08","2021-05-26T02:07Z","2021-05-26T18:04Z","LIRO.20210525.08.4.fyke",4,3,"MICSAL","Micropterus salmoides","species",,,,211,121.1,,,,"juvenile","dna sample only","FSH.LIRO.08.20210525.4.0003","FSH.LIRO.08.20210525.4.0003.DNA","0000-0003-1075-1249",
"e732273c-609f-4980-aceb-e5b9a16e41f3","D05","LIRO","LIRO.AOS.riparian.point.02","2021-05-27T01:48Z","2021-05-27T16:53Z","LIRO.20210526.02.4.fyke",4,5,"PERFLA","Perca flavescens","species",,,,231,150.1,,,,"adult","dna sample only","FSH.LIRO.02.20210526.4.0005","FSH.LIRO.02.20210526.4.0005.DNA","0000-0003-1075-1249",
"c5af3fa9-942e-436f-9f73-04f167d771a7","D05","LIRO","LIRO.AOS.riparian.point.02","2021-05-27T01:48Z","2021-05-27T16:53Z","LIRO.20210526.02.4.fyke",4,1,"AMBRUP","Ambloplites rupestris","species",,,,170,78.9,,,,"adult","no sample",,,"0000-0003-1075-1249",
"de197208-dd8a-406b-bb52-b599d60057a7","D05","LIRO","LIRO.AOS.riparian.point.02","2021-05-27T01:48Z","2021-05-27T16:53Z","LIRO.20210526.02.4.fyke",4,2,"PERFLA","Perca flavescens","species",,,,211,102.6,,,,"gravid female","dna sample only","FSH.LIRO.02.20210526.4.0002","FSH.LIRO.02.20210526.4.0002.DNA","0000-0003-1075-1249",
"8345f96b-a9ef-42ca-9061-f88ccee28684","D05","LIRO","LIRO.AOS.riparian.point.02","2021-05-27T01:48Z","2021-05-27T16:53Z","LIRO.20210526.02.4.fyke",4,7,"PERFLA","Perca flavescens","species",,,,202,93.0,,,,"adult","no sample",,,"0000-0003-1075-1249",
"e220516a-8216-4b53-92aa-4c23027d6d7a","D05","LIRO","LIRO.AOS.riparian.point.02","2021-05-27T01:48Z","2021-05-27T16:53Z","LIRO.20210526.02.4.fyke",4,8,"MICSAL","Micropterus salmoides","species",,,,151,36.6,,,,"juvenile","no sample",,,"0000-0003-1075-1249",
"ad2c0724-03d2-49cd-b013-84c910875e9e","D05","LIRO","LIRO.AOS.riparian.point.02","2021-05-27T01:48Z","2021-05-27T16:53Z","LIRO.20210526.02.4.fyke",4,6,"PERFLA","Perca flavescens","species",,,,233,131.4,,,,"adult","no sample",,,"0000-0003-1075-1249",
"e15f3144-c6a8-407a-9d0d-7f716d301161","D05","LIRO","LIRO.AOS.riparian.point.02","2021-05-27T01:48Z","2021-05-27T16:53Z","LIRO.20210526.02.4.fyke",4,3,"PERFLA","Perca flavescens","species",,,,279,259.2,,,,"adult","dna sample only","FSH.LIRO.02.20210526.4.0003","FSH.LIRO.02.20210526.4.0003.DNA","0000-0003-1075-1249",
"21b98135-5bf8-4e5e-8785-56f7cc4f64f8","D05","LIRO","LIRO.AOS.riparian.point.02","2021-05-27T01:48Z","2021-05-27T16:53Z","LIRO.20210526.02.4.fyke",4,4,"PERFLA","Perca flavescens","species",,,,245,180.2,,,,"adult","dna sample only","FSH.LIRO.02.20210526.4.0004","FSH.LIRO.02.20210526.4.0004.DNA","0000-0003-1075-1249",
"cd7027c7-de22-4237-a80a-01da5b91223a","D05","LIRO","LIRO.AOS.riparian.point.03","2021-05-27T02:08Z","2021-05-27T17:20Z","LIRO.20210526.03.4.fyke",4,1,"MICSAL","Micropterus salmoides","species",,,,264,253.9,,,,"adult","no sample",,,"0000-0003-1075-1249",
"cd55abe7-2166-4b87-b827-a7a4ee3134ed","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T03:12Z","2021-05-27T03:29Z","LIRO.20210526.07.1.e-fisher",1,1,"UMBLIM","Umbra limi","species",,,,59,1.9,,,,"adult","dna sample only","FSH.LIRO.07.20210526.1.0001","FSH.LIRO.07.20210526.1.0001.DNA","0000-0003-1075-1249",
"9bd3ff71-b64e-4e4d-9f6b-eda7ca3debd4","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T03:12Z","2021-05-27T03:29Z","LIRO.20210526.07.1.e-fisher",1,2,"UMBLIM","Umbra limi","species",,,,53,1.4,,,,"adult","dna sample only","FSH.LIRO.07.20210526.1.0002","FSH.LIRO.07.20210526.1.0002.DNA","0000-0003-1075-1249",
"dbfafd24-e89d-4429-91ff-87d01009d713","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T04:02Z","2021-05-27T04:21Z","LIRO.20210526.07.2.e-fisher",2,6,"UMBLIM","Umbra limi","species",,,,57,2.1,,,,"adult","dna sample only","FSH.LIRO.07.20210526.2.0006","FSH.LIRO.07.20210526.2.0006.DNA","0000-0003-1075-1249",
"fe4f6b57-11ff-4922-b2c4-52f9517f5f16","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T04:02Z","2021-05-27T04:21Z","LIRO.20210526.07.2.e-fisher",2,7,"UMBLIM","Umbra limi","species",,,,45,1.4,,,,"adult","dna sample only","FSH.LIRO.07.20210526.2.0007","FSH.LIRO.07.20210526.2.0007.DNA","0000-0003-1075-1249",
"326867aa-b6fa-4b43-9f17-c524380ffcde","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T04:02Z","2021-05-27T04:21Z","LIRO.20210526.07.2.e-fisher",2,5,"UMBLIM","Umbra limi","species",,,,52,2.1,,,,"adult","dna sample only","FSH.LIRO.07.20210526.2.0005","FSH.LIRO.07.20210526.2.0005.DNA","0000-0003-1075-1249",
"085c4fc0-aa7d-48e0-989d-c6408c51cea3","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T04:02Z","2021-05-27T04:21Z","LIRO.20210526.07.2.e-fisher",2,1,"AMBRUP","Ambloplites rupestris","species",,,,45,1.5,,,,"juvenile","dna sample only","FSH.LIRO.07.20210526.2.0001","FSH.LIRO.07.20210526.2.0001.DNA","0000-0003-1075-1249",
"9ea61b6c-23d0-4981-92f8-145f802e0bd4","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T04:02Z","2021-05-27T04:21Z","LIRO.20210526.07.2.e-fisher",2,8,"UMBLIM","Umbra limi","species",,,,47,1.1,,,,"adult","no sample",,,"0000-0003-1075-1249",
"5b286481-c9a5-4616-aeae-d079639dfea5","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T04:02Z","2021-05-27T04:21Z","LIRO.20210526.07.2.e-fisher",2,4,"AMBRUP","Ambloplites rupestris","species",,,,45,1.9,,,,"juvenile","no sample",,,"0000-0003-1075-1249",
"d69679f9-b744-4fcb-a2f9-b2e5a5180d08","D05","LIRO","LIRO.AOS.riparian.point.07","2021-05-27T04:02Z","2021-05-27T04:21Z","LIRO.20210526.07.2.e-fisher",2,2,"AMBRUP","Ambloplites rupestris","species",,,,42,1.0,,,,"juvenile","dna sample only","FSH.LIRO.07.20210526.2.0002","FSH.LIRO.07.20210526.2.0002.DNA","0000-0003-1075-1249",
