uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"c2ecf48b-b0d6-4360-ace9-7a85d0ce7b93","D05","LIRO","LIRO.AOS.riparian.point.10","2021-09-20T20:41Z","2021-09-22T03:40Z",4,"LIRO.20210920.10","LIRO.20210920.10.4.fyke",19.3,7.2,9.2,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2021-09-20T20:49Z","2021-09-21T15:01Z",18.20,5.0,,"Y",
"e2699005-1791-46aa-a99f-21a3415d2150","D05","LIRO","LIRO.AOS.riparian.point.02","2021-09-20T20:54Z","2021-09-21T16:27Z",4,"LIRO.20210920.02","LIRO.20210920.02.4.fyke",18.7,7.4,9.4,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2021-09-20T21:01Z","2021-09-21T16:05Z",19.07,7.6,,"Y",
"37c48083-8d22-44f3-b75f-f2a3248a9c84","D05","LIRO","LIRO.AOS.riparian.point.10","2021-09-21T15:41Z","2021-09-21T16:52Z",5,"LIRO.20210920.10","LIRO.20210921.10.5.gill",19.2,7.6,9.5,"gill net","pelagic",,,,,,,,,,,,,,,,,,"<10% compromised","2021-09-21T15:47Z","2021-09-21T16:48Z",1.02,,6.3,"N","half of net in 7m+ water depth"
"a3c97a63-b91e-4ad4-90f8-b24f58df3de0","D05","LIRO","LIRO.AOS.riparian.point.02","2021-09-21T16:00Z","2021-09-21T17:06Z",5,"LIRO.20210920.02","LIRO.20210921.02.5.gill",19.1,7.4,9.4,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2021-09-21T16:00Z","2021-09-21T17:01Z",1.02,,1.9,"N",
"7dd43ff6-997c-4e28-8050-3bcf96cfbe01","D05","LIRO","LIRO.AOS.riparian.point.04","2021-09-22T00:04Z","2021-09-22T16:37Z",4,"LIRO.20210921.04","LIRO.20210921.04.4.fyke",18.9,8.0,9.4,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2021-09-22T00:08Z","2021-09-22T15:53Z",15.75,6.0,,"Y",
"b116cac8-685e-4dfc-bb0c-dbb3beed3367","D05","LIRO","LIRO.AOS.riparian.point.07","2021-09-22T00:22Z","2021-09-22T17:22Z",4,"LIRO.20210921.07","LIRO.20210921.07.4.fyke",19.0,7.3,9.3,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2021-09-22T00:29Z","2021-09-22T16:56Z",16.45,4.8,,"Y",
"49bee16b-798d-4271-90ab-99d0b8f7c538","D05","LIRO","LIRO.AOS.riparian.point.01","2021-09-22T00:34Z","2021-09-22T00:53Z",1,"LIRO.20210921.01","LIRO.20210921.01.1.e-fisher",19.0,7.5,9.3,"electrofisher","littoral",,40,60,700,40,60,700,478,0,,,,,,,,,"NA",,,,,,"N",
"bde0dda6-a6e7-4019-bffa-c9c0bbacbb4e","D05","LIRO","LIRO.AOS.riparian.point.09","2021-09-22T01:13Z","2021-09-22T01:27Z",1,"LIRO.20210921.09","LIRO.20210921.09.1.e-fisher",18.9,7.5,9.3,"electrofisher","littoral",,40,60,700,40,60,700,342,0,,,,,,,,,"Not compromised",,,,,,"Y",
"92562aa5-8911-48d7-8cba-cfaee81964cc","D05","LIRO","LIRO.AOS.riparian.point.09","2021-09-22T02:05Z","2021-09-22T02:20Z",2,"LIRO.20210921.09","LIRO.20210921.09.2.e-fisher",,,,"electrofisher","littoral",,,,,,,,480,,,,,,,,,,"Not compromised",,,,,,"Y",
"7eff3b17-7d49-4772-a821-71ffd95d4193","D05","LIRO","LIRO.AOS.riparian.point.09","2021-09-22T02:58Z","2021-09-22T03:15Z",3,"LIRO.20210921.09","LIRO.20210921.09.3.e-fisher",,,,"electrofisher","littoral",,40,60,700,40,60,700,312,0,,,,,,,,,"Not compromised",,,,,,"Y",
