uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"e1422d66-c5b6-4fc5-a343-01e0700ca533","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,51,"SALSP2","Salmonidae sp.","family",,,,116,11.2,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
"22c0efce-fdcf-4d50-b8bd-32bce37e9028","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,14,"SALSP2","Salmonidae sp.","family",,,,122,15.1,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
"f79adb6d-8075-4145-81d5-783992a7b508","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,11,"SALSP2","Salmonidae sp.","family",,,,107,8.5,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
"9945f657-e7d5-4452-a6cd-8a5aa8fcf500","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,13,"SALSP2","Salmonidae sp.","family",,,,70,2.9,,,,"young of year","no sample",,,"dstetson@neoninc.org",
"dccaae7b-a91d-43ae-a6fc-cb062737a58f","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,50,"SALSP2","Salmonidae sp.","family",,,,107,9.3,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
"576de1f9-b279-4609-aaa8-f88d193b3359","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,25,"SALSP2","Salmonidae sp.","family",,,,111,11.5,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
"14ea4fde-8832-490c-ad11-2d9a7ed30bce","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,30,"SALSP2","Salmonidae sp.","family",,,,122,17.8,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
"45d157de-549c-450d-b9e0-31be6fffd8ee","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,49,"SALSP2","Salmonidae sp.","family",,,,155,26.5,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
"e8fad15e-5dd2-4483-bd4b-a812e1e6f62b","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,8,"SALSP2","Salmonidae sp.","family",,,,78,3.9,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
"d240bb3a-af41-487b-b99b-0fd02cf24c4b","D16","MART","MART.AOS.fish.point.01","2018-10-15T16:59Z","2018-10-15T17:50Z","MART.20181015.01.1.e-fisher",1,43,"SALSP2","Salmonidae sp.","family",,,,66,2.5,,,,"juvenile","no sample",,,"dstetson@neoninc.org",
