uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"6a29fec5-fe06-4f89-9249-feb8726053dc","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,10,"estimated",,"0000-0001-7163-2310",
"c0fb7bd0-6766-4d64-b6c5-eb57a0f12d12","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,7,"estimated",,"0000-0001-7163-2310",
"7b270ad0-a6b6-4c6b-8df9-3f9c4dc9c1c1","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,6,"actual",,"0000-0001-7163-2310",
"b6ba9637-b88e-4f19-9888-911cce05866b","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,6,"actual",,"0000-0001-7163-2310",
"9fcaa589-dd3b-43a4-8d0a-5d4a4b84e993","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,5,"estimated",,"0000-0001-7163-2310",
"69d73479-96a4-44b8-8e0a-83a633e03476","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","ETHSPE","Etheostoma spectabile",,1,"actual",,"0000-0001-7163-2310",
"0a225a04-6f63-404f-9dac-05335e719662","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,5,"actual",,"0000-0001-7163-2310",
"21bf8dd2-2c40-4cfe-904a-05bf94dfb017","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","ETHSPE","Etheostoma spectabile",,3,"actual",,"0000-0001-7163-2310",
"5d5d8b6e-b9c9-490e-9dbf-a3b49872bdee","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,2,"actual",,"0000-0001-7163-2310",
"6046e734-34e8-47ab-b08f-814e786df0c3","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","ETHSPE","Etheostoma spectabile",,4,"actual",,"0000-0001-7163-2310",
"3efed34d-4e95-4a2b-9d4a-a5a758bb078f","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,4,"actual",,"0000-0001-7163-2310",
"2899b7fa-b0af-4e74-a6a2-b5c0bba95ce3","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,4,"actual",,"0000-0001-7163-2310",
"478ac637-6f3d-467e-8c85-00e2bc74fff4","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","ETHSPE","Etheostoma spectabile",,1,"actual",,"0000-0001-7163-2310",
"819804d3-83f9-47ad-8469-d5efae46afa7","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","ETHSPE","Etheostoma spectabile",,5,"actual",,"0000-0001-7163-2310",
"afdf5662-f2d2-4581-b254-f964a924c958","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,10,"estimated",,"0000-0001-7163-2310",
"ea801232-e56a-45a6-9111-1b79b97253ce","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","ETHSPE","Etheostoma spectabile",,7,"estimated",,"0000-0001-7163-2310",
"1b55859a-24a4-4e6e-b465-f7714b2fac59","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","ETHSPE","Etheostoma spectabile",,7,"actual",,"0000-0001-7163-2310",
"9f3e9b35-eb80-4090-8a76-16a483aa3f45","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,2,"actual",,"0000-0001-7163-2310",
"f02e11fe-ca87-457c-8d49-8cab6809e02a","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,8,"actual",,"0000-0001-7163-2310",
"dc09ee3f-6331-4a6f-b6bd-e591911e6ee1","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,1,"estimated",,"0000-0001-7163-2310",
"80dd2a5b-c46e-4bc7-9afc-dcfb099914e7","D06","MCDI","MCDI.AOS.fish.point.02","2021-04-28T14:45Z","2021-04-28T16:30Z",1,"MCDI.20210428.02.1.e-fisher","CAMANO","Campostoma anomalum",,10,"estimated",,"0000-0001-7163-2310",
