uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"e735b3b0-c6c4-493f-9e0d-5025da07f491","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,26,"CAMANO","Campostoma anomalum","species",,,,64,2.6,,,,,"no sample",,,"0000-0001-7163-2310",
"959196ca-b301-4503-9d62-d7b0f5a2a47d","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,10,"ETHSPE","Etheostoma spectabile","species",,,,39,0.5,,,,,"no sample",,,"0000-0001-7163-2310",
"44bf23ce-cca8-4b25-af63-f0c7ab738cbd","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,87,"LEPMAC","Lepomis macrochirus","species",,,,92,12.3,,,,"juvenile","dna sample only","FSH.MCDI.02.20221025.1.0087","FSH.MCDI.02.20221025.1.0087.DNA","0000-0001-7163-2310",
"b7bddac6-2285-4e52-99c5-d09977b87271","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,58,"LEPCYA","Lepomis cyanellus","species",,,,65,5.1,,,,,"no sample",,,"0000-0001-7163-2310",
"24eb2eb2-fffb-4333-bd24-3e94445cb466","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,65,"ETHSPE","Etheostoma spectabile","species",,,,40,0.7,,,,,"no sample",,,"0000-0001-7163-2310",
"8271eb9e-1cf6-42c4-b9bc-f71cfc5aab02","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,91,"LEPMAC","Lepomis macrochirus","species",,,,76,6.7,,,,"juvenile","dna sample only","FSH.MCDI.02.20221025.1.0091","FSH.MCDI.02.20221025.1.0091.DNA","0000-0001-7163-2310",
"271553c5-9452-426c-a210-6b46c6ef8c4b","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,14,"ETHSPE","Etheostoma spectabile","species",,,,36,0.3,,,,,"no sample",,,"0000-0001-7163-2310",
"2699e6e8-10b5-41a8-b1b0-ec0532af3c5a","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,20,"ETHSPE","Etheostoma spectabile","species",,,,43,0.8,,,,,"no sample",,,"0000-0001-7163-2310",
"ca1232f5-5426-4a04-bdb0-904e006aff12","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,3,"ETHSPE","Etheostoma spectabile","species",,,,39,0.6,,,,,"no sample",,,"0000-0001-7163-2310",
"8fca9906-db48-4f0d-8554-f6c42a1ace31","D06","MCDI","MCDI.AOS.fish.point.02","2022-10-25T14:39Z","2022-10-25T16:19Z","MCDI.20221025.02.1.e-fisher",1,83,"LEPCYA","Lepomis cyanellus","species",,,,155,62.6,,,,"adult","dna sample only","FSH.MCDI.02.20221025.1.0083","FSH.MCDI.02.20221025.1.0083.DNA","0000-0001-7163-2310",
