uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"d47e60dc-a917-4a5e-bd0c-12469eaf5731","D16","MCRA","MCRA.AOS.fish.point.06","2017-10-02T17:15Z","2017-10-03T06:50Z",1,"MCRA.20171002.06","MCRA.20171002.06.1.e-fisher",8.1,10.4,25.2,"electrofisher","step pool",,30,10,400,30,10,400,993,0,,,,,,,,,"Not compromised",,,,,,"Y",
"b89239a6-5c2f-47d5-8e61-a93f958e106d","D16","MCRA","MCRA.AOS.fish.point.06","2017-10-02T19:53Z","2017-10-02T20:45Z",2,"MCRA.20171002.06","MCRA.20171002.06.2.e-fisher",8.0,10.0,25.0,"electrofisher","step pool",,30,10,400,30,10,400,861,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d994b4fc-b7fd-4cbd-9206-6cdf5ab4bc95","D16","MCRA","MCRA.AOS.fish.point.06","2017-10-02T21:30Z","2017-10-02T22:12Z",3,"MCRA.20171002.06","MCRA.20171002.06.3.e-fisher",8.0,10.0,25.0,"electrofisher","step pool",,30,10,400,30,10,400,911,0,,,,,,,,,"Not compromised",,,,,,"Y",
"fc6c7367-fc93-401b-8955-94aa27b0b071","D16","MCRA","MCRA.AOS.fish.point.07","2017-10-02T22:35Z","2017-10-03T00:38Z",1,"MCRA.20171002.07","MCRA.20171002.07.1.e-fisher",8.3,10.3,25.0,"electrofisher","step pool",,30,10,400,30,10,400,2527,,,,,,,,,,"Not compromised",,,,,,"Y","Downed logs. Braided channel."
"ce2ec5df-37f2-4c19-9294-d48dfee21b34","D16","MCRA","MCRA.AOS.fish.point.01","2017-10-03T15:50Z","2017-10-03T17:35Z",1,"MCRA.20171003.01","MCRA.20171003.01.1.e-fisher",7.5,9.8,27.9,"electrofisher","step pool",,30,10,400,30,10,400,1885,0,,,,,,,,,"Not compromised",,,,,,"Y",
"43549e2a-b919-41aa-897b-facae190d067","D16","MCRA","MCRA.AOS.fish.point.04","2017-10-03T19:20Z","2017-10-03T20:44Z",1,"MCRA.20171003.04","MCRA.20171003.04.1.e-fisher",7.5,10.1,28.6,"electrofisher","step pool",,30,10,400,30,10,400,1435,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d91d4df0-fb95-4594-aa3f-094f28cc3868","D16","MCRA","MCRA.AOS.fish.point.04","2017-10-03T21:33Z","2017-10-03T22:41Z",2,"MCRA.20171003.04","MCRA.20171003.04.2.e-fisher",7.0,10.0,28.0,"electrofisher","step pool",,30,10,400,30,10,400,1615,0,,,,,,,,,"Not compromised",,,,,,"Y",
"880d7e8d-a0a0-48fd-9a76-cae900b5a248","D16","MCRA","MCRA.AOS.fish.point.04","2017-10-03T23:07Z","2017-10-04T00:08Z",3,"MCRA.20171003.04","MCRA.20171003.04.3.e-fisher",7.0,10.0,28.0,"electrofisher","step pool",,30,10,400,30,10,400,1040,0,,,,,,,,,"Not compromised",,,,,,"Y",
"105f4c2c-51e9-400a-ae15-8b6936a3c089","D16","MCRA","MCRA.AOS.fish.point.08","2017-10-04T15:50Z","2017-10-04T17:04Z",1,"MCRA.20171004.08","MCRA.20171004.08.1.e-fisher",7.4,9.9,25.7,"electrofisher","step pool",,30,10,400,30,10,400,1308,0,,,,,,,,,"Not compromised",,,,,,"Y",
"534e7f74-0fe3-4f3c-a884-804c2e56bea9","D16","MCRA","MCRA.AOS.fish.point.08","2017-10-04T17:57Z","2017-10-04T19:04Z",2,"MCRA.20171004.08","MCRA.20171004.08.2.e-fisher",7.0,9.0,25.0,"electrofisher","step pool",,30,10,400,30,10,400,1308,0,,,,,,,,,"Not compromised",,,,,,"Y",
"5e8f2ce5-97f6-4a68-b37e-15fa51adbb28","D16","MCRA","MCRA.AOS.fish.point.08","2017-10-04T20:41Z","2017-10-04T20:41Z",3,"MCRA.20171004.08","MCRA.20171004.08.3.e-fisher",7.0,9.0,25.0,"electrofisher","step pool",,30,10,400,30,10,400,905,0,,,,,,,,,"Not compromised",,,,,,"Y",
"2af846a6-3ac7-4877-9e1b-ad49fd435906","D16","MCRA","MCRA.AOS.fish.point.09","2017-10-04T21:47Z","2017-10-04T23:29Z",1,"MCRA.20171004.09","MCRA.20171004.09.1.e-fisher",7.7,9.2,25.1,"electrofisher","step pool",,30,10,400,30,10,400,1613,0,,,,,,,,,"Not compromised",,,,,,"Y",
