uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"ddf22c65-2fe2-44ab-ad91-9edab704d317","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,24,"ONCCLA9","Oncorhynchus clarki","species",,,,86,4.9,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"b9815ec8-fc0b-460a-8208-b116ed49972b","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,22,"ONCCLA9","Oncorhynchus clarki","species",,,,133,20.6,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"588803a5-1eca-4369-be1f-0e36d9c0c805","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,1,"ONCCLA9","Oncorhynchus clarki","species",,,,110,11.0,,"Y",,"juvenile","no sample",,,"sdoak@battelleecology.org",
"83322ff0-a335-40f1-9c10-f14df7fa0881","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,12,"ONCCLA9","Oncorhynchus clarki","species",,,,94,7.1,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"a5799452-6803-4702-8dc8-fab17f3f2a03","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,5,"ONCCLA9","Oncorhynchus clarki","species",,,,46,0.6,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"4312fad6-b8e7-43f1-b68c-5d6824a72fce","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,9,"ONCCLA9","Oncorhynchus clarki","species",,,,43,1.0,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"48702365-62f1-407a-96b2-d9879b28fb26","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,13,"ONCCLA9","Oncorhynchus clarki","species",,,,76,4.5,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"fa9d527b-ccee-431c-b61b-b9e0933ec22c","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,10,"ONCCLA9","Oncorhynchus clarki","species",,,,88,6.0,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"27fb80fb-0cdf-41a2-9ce8-85545d4e09f4","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,11,"ONCCLA9","Oncorhynchus clarki","species",,,,92,8.7,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"23becf7c-2cf1-43d7-8062-ca297993df0f","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,23,"ONCCLA9","Oncorhynchus clarki","species",,,,105,10.8,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"932c3b92-9038-4e9a-9b1e-26377b48674c","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,8,"ONCCLA9","Oncorhynchus clarki","species",,,,144,27.5,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"1b91090c-4518-4c78-908b-18ec7ba559ca","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,17,"ONCCLA9","Oncorhynchus clarki","species",,,,41,0.6,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"38da7838-6f29-4b39-9108-a35aff7dbf2f","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,2,"ONCCLA9","Oncorhynchus clarki","species",,,,38,0.3,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"fe29fa6c-9f61-4861-ab67-552b283ab279","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,15,"ONCCLA9","Oncorhynchus clarki","species",,,,124,15.8,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"8fc23a50-38c9-4b7b-9032-36001f4db507","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,18,"ONCCLA9","Oncorhynchus clarki","species",,,,109,12.0,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"7efe37dc-74a4-4223-b14c-275416d697ad","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,3,"ONCCLA9","Oncorhynchus clarki","species",,,,48,1.6,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"744605f2-b828-47d4-82d6-587a899c33e5","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,6,"ONCCLA9","Oncorhynchus clarki","species",,,,145,25.0,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"eff77c5e-3d23-47d7-bc85-4fe914a1401d","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,19,"ONCCLA9","Oncorhynchus clarki","species",,,,153,30.4,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"7a8b135e-dd1d-42b9-a4fb-5f92f2b3ae19","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,4,"ONCCLA9","Oncorhynchus clarki","species",,,,41,1.0,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"e033673b-58ed-46a9-bf86-43b5866ce088","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,16,"ONCCLA9","Oncorhynchus clarki","species",,,,126,16.5,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"ca58ccf6-d68e-47dc-8ccf-04f806d368b9","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,7,"ONCCLA9","Oncorhynchus clarki","species",,,,110,11.8,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"c361b87c-eb9a-41c9-82e4-3eed74cb5f51","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,14,"ONCCLA9","Oncorhynchus clarki","species",,,,96,7.4,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"702963d1-4af9-40a4-9eb4-4e0ada64c4ae","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,21,"ONCCLA9","Oncorhynchus clarki","species",,,,158,34.0,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"4cf69d06-d616-4d68-bd8e-bc6336250e5a","D16","MCRA","MCRA.AOS.fish.point.04","2018-10-01T09:21Z","2018-10-01T10:17Z","MCRA.20181001.04.2.e-fisher",2,20,"ONCCLA9","Oncorhynchus clarki","species",,,,161,43.4,"Lesions/parasites",,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"3eb8b896-90a8-4e25-9f14-1091e6b10e77","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,20,"ONCCLA9","Oncorhynchus clarki","species",,,,81,4.9,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"4489fe59-52a3-473e-8a2b-0de330983105","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,41,"ONCCLA9","Oncorhynchus clarki","species",,,,108,11.3,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"a786b63c-99f4-40b0-a278-713aad98933e","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,22,"ONCCLA9","Oncorhynchus clarki","species",,,,48,1.9,,,,,"no sample",,,"sdoak@battelleecology.org",
"bc2714b1-767d-4137-b636-64ea3547b9e7","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,39,"ONCCLA9","Oncorhynchus clarki","species",,,,117,12.5,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"9fff558e-dbad-42af-9cf7-e89f18e4418d","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,6,"ONCCLA9","Oncorhynchus clarki","species",,,,52,1.6,,,,,"no sample",,,"sdoak@battelleecology.org",
"3b35ff47-e07b-46b1-836c-8b403798bbaa","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,25,"ONCCLA9","Oncorhynchus clarki","species",,,,146,25.4,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"caddb297-ead6-41b0-a25e-22544c47aca5","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,23,"ONCCLA9","Oncorhynchus clarki","species",,,,53,1.4,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"2ce789b8-dc1b-410b-84a0-c2048555f0d0","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,14,"ONCCLA9","Oncorhynchus clarki","species",,,,82,5.0,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"6b467f68-3605-4121-833e-1683b826f269","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,11,"ONCCLA9","Oncorhynchus clarki","species",,,,50,6.1,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"a5c445de-d55c-4a5e-9231-bd1b70a13eec","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,32,"ONCCLA9","Oncorhynchus clarki","species",,,,123,16.0,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"f79ee9a3-2ac5-45a7-a12c-58e3ccd19de8","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,16,"ONCCLA9","Oncorhynchus clarki","species",,,,92,7.0,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
"ec2dd2e5-73fd-4b49-9031-b08cb0eec545","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,1,"ONCCLA9","Oncorhynchus clarki","species",,,,9,15.9,,,,"young of year","no sample",,,"sdoak@battelleecology.org",
"69ac7827-efcf-4a5d-96f4-d7fee3c4962c","D16","MCRA","MCRA.AOS.fish.point.02","2018-10-01T16:21Z","2018-10-01T17:40Z","MCRA.20181001.02.1.e-fisher",1,44,"ONCCLA9","Oncorhynchus clarki","species",,,,148,27.4,,,,"juvenile","no sample",,,"sdoak@battelleecology.org",
