uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"5c267a51-7b11-4e15-b3d2-bde5e3a97ebd","D02","POSE","POSE.AOS.fish.point.04","2016-11-15T17:44Z","2016-11-15T18:47Z",1,"POSE.20161115.04","POSE.20161115.04.1.e-fisher",10.2,11.4,86.6,"electrofisher","riffle","pool",30,10,150,30,10,150,468,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0b822f93-608d-4ee8-9550-4024b2dd04bd","D02","POSE","POSE.AOS.fish.point.02","2016-11-16T13:16Z","2016-11-16T14:22Z",1,"POSE.20161116.02","POSE.20161116.02.1.e-fisher",6.6,10.7,87.6,"electrofisher","riffle","pool",30,10,150,30,10,150,1284,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c558af65-825e-46ec-ba1d-85bff192fda6","D02","POSE","POSE.AOS.fish.point.02","2016-11-16T15:29Z","2016-11-16T16:03Z",2,"POSE.20161116.02","POSE.20161116.02.2.e-fisher",6.6,10.7,87.6,"electrofisher","riffle","pool",30,10,150,30,10,150,1112,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9c3f564d-fead-409d-8a47-8f88762265c9","D02","POSE","POSE.AOS.fish.point.02","2016-11-16T16:51Z","2016-11-16T17:36Z",3,"POSE.20161116.02","POSE.20161116.02.3.e-fisher",6.6,10.7,87.6,"electrofisher","riffle","pool",30,10,150,30,10,150,1005,0,,,,,,,,,"Not compromised",,,,,,"Y",
"eb785bc7-e522-4632-a5fe-b5f4f2e40042","D02","POSE","POSE.AOS.fish.point.06","2016-11-16T18:54Z","2016-11-16T19:53Z",1,"POSE.20161116.06","POSE.20161116.06.1.e-fisher",6.6,10.7,87.6,"electrofisher","riffle","pool",30,10,150,30,10,150,1493,0,,,,,,,,,"Not compromised",,,,,,"Y",
"5b3212e5-1dd5-4cc3-8832-4983c274c196","D02","POSE","POSE.AOS.fish.point.07","2016-11-17T13:20Z","2016-11-17T13:58Z",1,"POSE.20161117.07","POSE.20161117.07.1.e-fisher",6.2,10.7,78.7,"electrofisher","riffle","pool",30,10,150,30,10,150,1062,0,,,,,,,,,"Not compromised",,,,,,"Y",
"be8a9627-de76-4bad-ac56-dd8e89200d62","D02","POSE","POSE.AOS.fish.point.07","2016-11-17T14:51Z","2016-11-17T15:24Z",2,"POSE.20161117.07","POSE.20161117.07.2.e-fisher",6.2,10.7,78.7,"electrofisher","riffle","pool",30,10,150,30,10,150,1040,0,,,,,,,,,"Not compromised",,,,,,"Y",
"7079e020-e632-41d0-96fb-106c4047aaa0","D02","POSE","POSE.AOS.fish.point.07","2016-11-17T15:50Z","2016-11-17T16:37Z",3,"POSE.20161117.07","POSE.20161117.07.3.e-fisher",6.2,10.7,78.7,"electrofisher","riffle","pool",30,10,150,30,10,150,1517,0,,,,,,,,,"Not compromised",,,,,,"Y",
"2cf0a04f-7528-416c-ab88-13deaaee5e38","D02","POSE","POSE.AOS.fish.point.10","2016-11-17T18:14Z","2016-11-17T18:50Z",1,"POSE.20161117.10","POSE.20161117.10.1.e-fisher",6.2,10.7,78.7,"electrofisher","riffle",,30,10,150,30,10,150,839,0,,,,,,,,,"Not compromised",,,,,,"Y",
"59de122d-f828-47f9-985e-0639826dde3d","D02","POSE","POSE.AOS.fish.point.09","2016-11-18T13:23Z","2016-11-18T14:37Z",1,"POSE.20161118.09","POSE.20161118.09.1.e-fisher",6.2,11.1,79.8,"electrofisher","riffle","pool",30,10,150,30,10,150,1829,0,,,,,,,,,"Not compromised",,,,,,"Y",
"5ba921c9-c49a-47e1-9546-b841e3e11742","D02","POSE","POSE.AOS.fish.point.09","2016-11-18T15:50Z","2016-11-18T16:40Z",2,"POSE.20161118.09","POSE.20161118.09.2.e-fisher",6.2,11.1,79.8,"electrofisher","riffle","pool",30,10,150,30,10,150,1614,0,,,,,,,,,"Not compromised",,,,,,"Y",
"be71ad6b-4341-48c9-b84d-976de875142a","D02","POSE","POSE.AOS.fish.point.09","2016-11-18T17:39Z","2016-11-18T18:06Z",3,"POSE.20161118.09","POSE.20161118.09.3.e-fisher",6.2,11.1,79.8,"electrofisher","riffle","pool",30,10,150,30,10,150,889,0,,,,,,,,,"Not compromised",,,,,,"Y",
