uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"c8f0465c-6a71-47aa-a248-db0519fee0c8","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,78,"COTCAE","Cottus caeruleomentum","species",,,,71,4.9,,,,,"no sample",,,"0000-0003-3114-5862",
"ddafcf7a-00e2-4169-b1cc-eadc84102add","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,22,"RHIATR","Rhinichthys atratulus","species",,,,54,2.5,,,,,"no sample",,,"0000-0003-3114-5862",
"08adcd70-9cf7-4ace-9af7-3ca8a8517c59","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,73,"COTCAE","Cottus caeruleomentum","species",,,,50,1.9,,,,,"no sample",,,"0000-0003-3114-5862",
"30e256f3-b935-428f-ac2d-8f4c506f647e","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,33,"RHIATR","Rhinichthys atratulus","species",,,,53,1.6,,,,,"no sample",,,"0000-0003-3114-5862",
"809719e2-908b-435f-9e55-cf21d9ffa356","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,35,"COTCAE","Cottus caeruleomentum","species",,,,45,1.0,,,,,"no sample",,,"0000-0003-3114-5862",
"ff53cf41-bb3a-4ea9-b183-19909130fa7c","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,48,"COTCAE","Cottus caeruleomentum","species",,,,81,6.8,,,,,"no sample",,,"0000-0003-3114-5862",
"9b47907f-6cd3-41d9-a14c-494a4958a372","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,86,"ETHFLA","Etheostoma flabellare","species",,,,25,0.3,,,,,"no sample",,,"0000-0003-3114-5862",
"508a5f39-11ff-46d4-bd97-68c421c7564f","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,36,"RHIATR","Rhinichthys atratulus","species",,,,44,0.6,,,,,"no sample",,,"0000-0003-3114-5862",
"e8ecaa3c-2950-4cb7-b697-bf4eb9db9752","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,23,"RHIATR","Rhinichthys atratulus","species",,,,56,2.0,,,,,"no sample",,,"0000-0003-3114-5862",
"bf694284-b484-4d1b-9b1e-42eb4a9683f3","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,89,"COTCAE","Cottus caeruleomentum","species",,,,34,0.6,,,,,"no sample",,,"0000-0003-3114-5862",
"51442c0b-c058-4fb5-b257-598e50ed2782","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,84,"COTCAE","Cottus caeruleomentum","species",,,,55,2.0,,,,,"no sample",,,"0000-0003-3114-5862",
"a5a82ce0-94a7-43e3-aee6-f38d175415ef","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,25,"COTCAE","Cottus caeruleomentum","species",,,,66,3.4,,,,,"no sample",,,"0000-0003-3114-5862",
"e34b965b-4387-4289-916e-99a229ce112f","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,3,"RHIATR","Rhinichthys atratulus","species",,,,66,3.0,,,,,"dna sample only","FSH.POSE.01.20210405.1.0003","FSH.POSE.01.20210405.1.0003.DNA","0000-0003-3114-5862",
"7c998b04-ae7c-49ba-b4fc-215fdf2f8d28","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,81,"COTCAE","Cottus caeruleomentum","species",,,,54,2.3,,,,,"no sample",,,"0000-0003-3114-5862",
"12d4717f-1294-4ee4-8179-b0acb1efc8e9","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,4,"COTCAE","Cottus caeruleomentum","species",,,,69,4.2,,,,,"dna sample only","FSH.POSE.01.20210405.1.0004","FSH.POSE.01.20210405.1.0004.DNA","0000-0003-3114-5862",
"5ba93cbb-4aa3-4474-9b54-ec162d12cefa","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,68,"COTCAE","Cottus caeruleomentum","species",,,,54,2.6,,,,,"no sample",,,"0000-0003-3114-5862",
"3186673a-440e-45c6-9513-f2fefea24b3e","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,82,"ETHFLA","Etheostoma flabellare","species",,,,30,0.3,,,,,"no sample",,,"0000-0003-3114-5862",
"5762f55b-901d-4264-b4f3-ed0106671049","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,5,"COTCAE","Cottus caeruleomentum","species",,,,62,4.0,,,,,"dna sample only","FSH.POSE.01.20210405.1.0005","FSH.POSE.01.20210405.1.0005.DNA","0000-0003-3114-5862",
"dd0d20a7-7e37-45ca-976e-07c20e7281e8","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,15,"ETHFLA","Etheostoma flabellare","species",,,,29,0.3,,,,,"no sample",,,"0000-0003-3114-5862",
"568dc926-2508-4183-949a-e2d69d754f38","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,77,"COTCAE","Cottus caeruleomentum","species",,,,59,2.6,,,,,"no sample",,,"0000-0003-3114-5862",
"6c974410-07bf-4b84-ac7e-5c803594a0c0","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,21,"RHIATR","Rhinichthys atratulus","species",,,,31,0.3,,,,,"no sample",,,"0000-0003-3114-5862",
"3a98cd89-6ed7-43dc-ba37-1332899e71c6","D02","POSE","POSE.AOS.fish.point.01","2021-04-05T11:54Z","2021-04-05T13:01Z","POSE.20210405.01.1.e-fisher",1,55,"RHIATR","Rhinichthys atratulus","species",,,,25,0.3,,,,,"no sample",,,"0000-0003-3114-5862",
