uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"85acd6b3-7b52-4f37-ab28-3d1222651e8f","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,32,"GAMAFF","Gambusia affinis","species",,,,16,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"65b20c67-94f6-43a8-98c3-90cb1d3a7c8d","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,91,"FUNNOT","Fundulus notatus","species",,,,51,1.0,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"1f4324a4-a54a-4100-ab0b-ab237de13b5e","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,1,"FUNNOT","Fundulus notatus","species",,,,43,1.0,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"10f2fc33-9ef6-4975-85ff-f5ffe4a3f016","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,61,"GAMAFF","Gambusia affinis","species",,,,24,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"5a56981c-07da-45db-91e0-8956fb703d85","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,23,"GAMAFF","Gambusia affinis","species",,,,20,0.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"05bc9102-ac6d-42ff-a782-7b8f0389236d","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,11,"CAMANO","Campostoma anomalum","species",,,,68,3.2,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"11b655bd-aa27-4b48-aaf1-47b8cb946ece","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,57,"GAMAFF","Gambusia affinis","species",,,,11,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"01b3383b-74d5-411a-838b-7f2e792390d5","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,5,"FUNNOT","Fundulus notatus","species",,,,46,0.7,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"bd86ca7d-1e06-42ad-add8-4d65551a7055","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,7,"GAMAFF","Gambusia affinis","species",,,,23,0.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"33b1fb45-86c8-4ffc-b74b-b8dbc9d81dee","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,43,"FUNNOT","Fundulus notatus","species",,,,44,0.5,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"75d06722-58df-4394-ae29-3c66997cdfb8","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,10,"CAMANO","Campostoma anomalum","species",,,,75,4.4,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"8873b4bc-0d80-4a54-b2e3-0cd4983b7069","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,86,"FUNNOT","Fundulus notatus","species",,,,30,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"276614a6-987a-49b5-b38c-9ce8d2d108a2","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,22,"GAMAFF","Gambusia affinis","species",,,,19,0.3,,,,,"no sample",,,"Lhostert@battelleecology.org",
"aca79d99-e9a8-4c69-a2e4-460cb61aba86","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,6,"GAMAFF","Gambusia affinis","species",,,,23,0.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"f100e606-ec2c-4c7a-86a5-5d9680196525","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,2,"FUNNOT","Fundulus notatus","species",,,,47,0.8,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"246b3948-5666-4451-af13-4be190b708ab","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,60,"GAMAFF","Gambusia affinis","species",,,,20,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"4a168dc4-695d-4843-a091-99b75bfcbd71","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,71,"GAMAFF","Gambusia affinis","species",,,,21,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"31df1d09-7c3b-43a9-9c10-639711351a8e","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,81,"FUNNOT","Fundulus notatus","species",,,,57,1.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"a41fb1d4-a574-4a93-82c3-e6cf94d5d5b1","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,12,"GAMAFF","Gambusia affinis","species",,,,21,0.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"7f9b1614-8d4e-40b7-868d-c0feda68559e","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,83,"FUNNOT","Fundulus notatus","species",,,,35,0.5,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"e02b46ae-b770-465a-9488-80d8534c28f2","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,28,"FUNNOT","Fundulus notatus","species",,,,57,1.0,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"6fe291e4-786b-43b8-896f-2d4648ea2606","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,9,"FUNNOT","Fundulus notatus","species",,,,67,2.4,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"a9891788-11e5-4cf5-97c8-eb6b4e2be057","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,47,"FUNNOT","Fundulus notatus","species",,,,52,1.0,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"dde4af66-cdfd-444a-a018-0ff0b1e99f03","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,82,"FUNNOT","Fundulus notatus","species",,,,24,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"2b782ae9-265d-44d0-84a6-de9f8f6ea9d6","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,8,"GAMAFF","Gambusia affinis","species",,,,19,0.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"af2d58a1-5940-45e3-a862-0115c6cd2c21","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,73,"GAMAFF","Gambusia affinis","species",,,,23,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"3baade77-9f04-41a6-afea-e59acd061aac","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,79,"GAMAFF","Gambusia affinis","species",,,,19,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"79dbc796-b661-4758-8008-ea29a7e5d915","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,27,"FUNNOT","Fundulus notatus","species",,,,47,1.0,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"298e3f7b-9374-43f2-bc71-6044e4cd5eaf","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,46,"FUNNOT","Fundulus notatus","species",,,,41,0.5,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"1e34beca-0763-4bc3-97bf-443647d40dec","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,84,"FUNNOT","Fundulus notatus","species",,,,46,0.8,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"6152b60a-1f80-4dfb-8eeb-8bb5a8c2009a","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,35,"FUNNOT","Fundulus notatus","species",,,,30,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"9a9bac08-2be5-4beb-96cc-c9be60146fc3","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,80,"GAMAFF","Gambusia affinis","species",,,,20,0.3,,,,,"no sample",,,"Lhostert@battelleecology.org",
"df9139ea-2d0c-45c0-bd55-4e08ae1ad317","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,55,"LEPMAC","Lepomis macrochirus","species",,,,84,8.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"e76e1f0d-604f-4bd8-a2a2-d33e3827f35f","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,19,"GAMAFF","Gambusia affinis","species",,,,37,0.7,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"8976b250-72b3-4abf-a25a-12eeead1e932","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,92,"FUNNOT","Fundulus notatus","species",,,,53,1.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"1b840bec-6d3c-4ab2-9c09-aa94e884b8d0","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,36,"GAMAFF","Gambusia affinis","species",,,,42,0.5,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"7a454233-058d-4f0b-9e7b-33073ba31963","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,65,"GAMAFF","Gambusia affinis","species",,,,18,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"518a36cf-7d56-4bf5-9753-bcd78e15c1c0","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,66,"GAMAFF","Gambusia affinis","species",,,,16,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"84cedc6c-7da5-4a11-8b92-7326cf4f227b","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,24,"GAMAFF","Gambusia affinis","species",,,,,,,,,,"no sample",,,"Lhostert@battelleecology.org",
"d22b9801-cd81-442c-a76b-b4bbddccc220","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,58,"GAMAFF","Gambusia affinis","species",,,,22,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"67e0bcf3-23f5-42a4-81e4-5d290be0e589","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,16,"GAMAFF","Gambusia affinis","species",,,,35,0.5,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"221dab2b-aa3b-40d2-98ff-8dc4c1d31d0b","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,20,"GAMAFF","Gambusia affinis","species",,,,36,0.5,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"aa9f6625-b62b-45b5-b1e6-3fd90f5f3824","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,78,"GAMAFF","Gambusia affinis","species",,,,23,0.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"0f9a0d61-eda5-46cb-93af-d861e6434986","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,67,"LEPCYA","Lepomis cyanellus","species",,,,130,35.2,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"370c3973-6320-4cee-b960-bdc9fd43f4b9","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,38,"FUNNOT","Fundulus notatus","species",,,,43,0.6,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"c0d83871-4f57-4e62-a702-18e5bf386862","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,64,"GAMAFF","Gambusia affinis","species",,,,22,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"e70b12aa-874e-4434-aa08-ac5f080cadc6","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,13,"GAMAFF","Gambusia affinis","species",,,,13,0.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"d732fef4-c8f0-4560-8ade-5ad6e9a73993","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,41,"AMENAT","Ameiurus natalis","species",,,,73,5.3,,,,"juvenile","no sample",,,"Lhostert@battelleecology.org",
"7bcc702a-47f9-4260-a832-4f362dad0909","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,50,"GAMAFF","Gambusia affinis","species",,,,30,0.3,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
"3839f676-b3e8-43ed-bf1d-2f52827aef69","D11","PRIN","PRIN.AOS.fish.point.02","2017-11-13T17:45Z","2017-11-13T18:26Z","PRIN.20171113.02.1.e-fisher",1,63,"CAMANO","Campostoma anomalum","species",,,,81,5.6,,,,"adult","no sample",,,"Lhostert@battelleecology.org",
