uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"d1a305ac-36e6-481d-a6a7-590d3c92169f","D11","PRIN","PRIN.AOS.fish.point.02","2021-11-15T18:18Z","2021-11-15T20:50Z",1,"PRIN.20211115.02","PRIN.20211115.02.1.e-fisher",11.0,10.5,749.0,"electrofisher","run","pool",30,10,100,30,10,100,1950,0,,,,,,,,,"Not compromised",,,,,,"Y",
"045ae60d-0b38-411d-9662-dccbeea3ab6e","D11","PRIN","PRIN.AOS.fish.point.03","2021-11-16T15:46Z","2021-11-16T18:47Z",1,"PRIN.20211116.03","PRIN.20211116.03.1.e-fisher",11.8,9.1,776.0,"electrofisher","run","riffle",30,10,100,30,10,100,1785,0,,,,,,,,,"Not compromised",,,,,,"Y",
"e66a1630-4144-4044-b31b-87e4061fb07a","D11","PRIN","PRIN.AOS.fish.point.06","2021-11-16T16:02Z","2021-11-16T18:37Z",1,"PRIN.20211116.06","PRIN.20211116.06.1.e-fisher",17.3,12.9,649.0,"electrofisher","run","riffle",30,10,100,30,10,100,1615,0,,,,,,,,,"<10% compromised",,,,,,"Y",
"24938448-3905-4092-8786-8db7e3de0186","D11","PRIN","PRIN.AOS.fish.point.03","2021-11-16T19:08Z","2021-11-16T20:26Z",2,"PRIN.20211116.03","PRIN.20211116.03.2.e-fisher",14.3,10.3,799.0,"electrofisher","run","riffle",30,10,100,30,10,100,1673,0,,,,,,,,,"Not compromised",,,,,,"Y",
"3cd75611-4cf5-4df4-8794-e67cab333925","D11","PRIN","PRIN.AOS.fish.point.03","2021-11-16T20:37Z","2021-11-16T21:40Z",3,"PRIN.20211116.03","PRIN.20211116.03.3.e-fisher",14.7,7.2,791.0,"electrofisher","run","riffle",30,10,100,30,10,100,1570,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9a25f875-e64b-4f31-8c70-0d61e9284364","D11","PRIN","PRIN.AOS.fish.point.07","2021-11-17T13:25Z","2021-11-17T16:00Z",1,"PRIN.20211117.07","PRIN.20211117.07.1.e-fisher",14.6,6.9,755.0,"electrofisher","run","pool",30,10,100,30,10,100,1941,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9b783be6-8e44-45d4-b62a-f7cc4fa6cd67","D11","PRIN","PRIN.AOS.fish.point.07","2021-11-17T16:09Z","2021-11-17T17:45Z",2,"PRIN.20211117.07","PRIN.20211117.07.2.e-fisher",15.0,7.4,758.0,"electrofisher","run","pool",30,10,100,30,10,100,1827,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d3765e63-9e78-4bc6-aad2-0f663a06e4db","D11","PRIN","PRIN.AOS.fish.point.07","2021-11-17T17:56Z","2021-11-17T19:29Z",3,"PRIN.20211117.07","PRIN.20211117.07.3.e-fisher",17.0,9.2,739.0,"electrofisher","run","pool",30,10,100,30,10,100,1548,0,,,,,,,,,"Not compromised",,,,,,"Y",
"9c237631-b51f-4d5a-a9c0-b700c482e907","D11","PRIN","PRIN.AOS.fish.point.08","2021-11-18T16:31Z","2021-11-18T19:26Z",1,"PRIN.20211118.08","PRIN.20211118.08.1.e-fisher",10.9,8.0,718.0,"electrofisher","run","riffle",30,10,100,30,10,100,1079,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1467763d-815e-488e-9ccf-2f93d46cc8d2","D11","PRIN","PRIN.AOS.fish.point.10","2021-11-19T16:26Z","2021-11-19T18:31Z",1,"PRIN.20211119.10","PRIN.20211119.10.1.e-fisher",9.8,11.6,716.0,"electrofisher","run","riffle",30,10,100,30,10,100,1394,0,,,,,,,,,"Not compromised",,,,,,"Y",
"e21acbb6-9f76-4cf7-b7c8-7fae5e1dc34b","D11","PRIN","PRIN.AOS.fish.point.10","2021-11-19T18:45Z","2021-11-19T19:49Z",2,"PRIN.20211119.10","PRIN.20211119.10.2.e-fisher",10.5,10.4,709.0,"electrofisher","run","riffle",30,10,100,30,10,100,1428,0,,,,,,,,,"Not compromised",,,,,,"Y",
"8e209853-010e-40d1-8978-6c1d68ca4387","D11","PRIN","PRIN.AOS.fish.point.10","2021-11-19T20:02Z","2021-11-19T21:05Z",3,"PRIN.20211119.10","PRIN.20211119.10.3.e-fisher",10.5,9.2,698.0,"electrofisher","run","riffle",30,10,100,30,10,100,1085,0,,,,,,,,,"Not compromised",,,,,,"Y",
