uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"7171366f-26cc-4013-833d-6d5b6705363e","D09","PRLA","PRLA.AOS.riparian.point.01","2017-05-09T02:45Z","2017-05-09T03:03Z",1,"PRLA.20170508.01","PRLA.20170508.01.1.e-fisher",14.0,8.7,971.0,"electrofisher",,,30,20,200,30,20,200,117,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1d320e61-ee6f-4786-b2f4-a0e74ba3160e","D09","PRLA","PRLA.AOS.riparian.point.01","2017-05-09T03:35Z","2017-05-09T03:44Z",2,"PRLA.20170508.01","PRLA.20170508.01.2.e-fisher",14.0,8.7,971.0,"electrofisher",,,30,20,200,30,20,200,112,0,,,,,,,,,"Not compromised",,,,,,"Y",
"7e434f87-e448-41b1-8b1f-c5f0d0f9befe","D09","PRLA","PRLA.AOS.riparian.point.01","2017-05-09T04:15Z","2017-05-09T04:22Z",3,"PRLA.20170508.01","PRLA.20170508.01.3.e-fisher",14.0,8.7,971.0,"electrofisher",,,30,20,200,30,20,200,108,0,,,,,,,,,"Not compromised",,,,,,"Y",
"60a613ec-7309-49bf-afa4-35dd9d7b248a","D09","PRLA","PRLA.AOS.riparian.point.03","2017-05-09T04:48Z","2017-05-09T04:57Z",1,"PRLA.20170508.03","PRLA.20170508.03.1.e-fisher",13.7,9.0,966.0,"electrofisher",,,30,20,200,30,20,200,138,0,,,,,,,,,"Not compromised",,,,,,"Y",
"17005b88-bba8-4ea8-8dcd-e0a4e621af9a","D09","PRLA","PRLA.AOS.riparian.point.09","2017-05-09T13:50Z","2017-05-09T15:38Z",1,"PRLA.20170509.09","PRLA.20170509.09.1.fyke",14.5,10.3,970.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-09T00:40Z","2017-05-09T13:50Z",13.17,6.9,,"Y",
"54f54b18-3c9e-4b9a-af60-dd88c6db9f06","D09","PRLA","PRLA.AOS.riparian.point.08","2017-05-09T16:12Z","2017-05-09T18:00Z",1,"PRLA.20170509.08","PRLA.20170509.08.1.gill",13.9,8.6,976.0,"gill net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-09T16:12Z","2017-05-09T18:00Z",1.80,,3.2,"N",
"f5420196-cdaa-4260-8225-9b8a5fa037ef","D09","PRLA","PRLA.AOS.riparian.point.09","2017-05-09T16:27Z","2017-05-09T18:07Z",1,"PRLA.20170509.09","PRLA.20170509.09.1.gill",14.0,8.2,974.0,"gill net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-09T16:27Z","2017-05-09T18:07Z",1.67,,3.2,"N",
"23389b44-6a8d-4d42-8f74-0eef2bd1a887","D09","PRLA","PRLA.AOS.riparian.point.08","2017-05-09T16:43Z","2017-05-09T18:43Z",1,"PRLA.20170509.08","PRLA.20170509.08.1.fyke",14.2,9.8,970.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-09T01:00Z","2017-05-09T16:00Z",15.00,7.4,,"Y","High mortality rate in net (5-10%). Possibly due to duck in net."
"2e5f076a-5094-4f19-9cb3-13b55778b95a","D09","PRLA","PRLA.AOS.riparian.point.05","2017-05-10T02:39Z","2017-05-10T02:53Z",1,"PRLA.20170509.05","PRLA.20170509.05.1.e-fisher",15.9,9.5,990.0,"electrofisher",,,30,20,200,30,20,200,121,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c59d140b-e5dd-4356-8b77-63de4d653cc8","D09","PRLA","PRLA.AOS.riparian.point.05","2017-05-10T03:40Z","2017-05-10T03:53Z",2,"PRLA.20170509.05","PRLA.20170509.05.2.e-fisher",15.9,9.5,990.0,"electrofisher",,,30,20,200,30,20,200,145,0,,,,,,,,,"Not compromised",,,,,,"Y","stopped weighing due to wind gusting over 20mph"
"b8c15558-a9e3-4678-adb4-ce073b84e225","D09","PRLA","PRLA.AOS.riparian.point.05","2017-05-10T04:24Z","2017-05-10T04:36Z",3,"PRLA.20170509.05","PRLA.20170509.05.3.e-fisher",15.9,9.5,990.0,"electrofisher",,,30,20,200,30,20,200,160,0,,,,,,,,,"Not compromised",,,,,,"Y","stopped weighing due to wind gusts up to 20mph"
"a45becd6-974d-4311-a8b3-7b1b7b8dac25","D09","PRLA","PRLA.AOS.riparian.point.04","2017-05-10T05:00Z","2017-05-10T05:12Z",1,"PRLA.20170510.04","PRLA.20170510.04.1.e-fisher",14.8,8.8,990.0,"electrofisher",,,30,20,200,30,20,200,128,0,,,,,,,,,"Not compromised",,,,,,"Y","stopped weighing due to wind"
"9fece130-a60a-4583-a357-1631237eaac0","D09","PRLA","PRLA.AOS.riparian.point.01","2017-05-10T13:31Z","2017-05-10T15:16Z",1,"PRLA.20170508.01","PRLA.20170510.01.1.fyke",14.4,8.1,968.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-10T01:10Z","2017-05-10T13:31Z",12.35,4.9,,"Y",
"7b0ec20f-0eff-48a3-a8b0-e7d00b019775","D09","PRLA","PRLA.AOS.riparian.point.03","2017-05-10T15:40Z","2017-05-10T17:10Z",1,"PRLA.20170508.03","PRLA.20170510.03.1.fyke",14.6,8.5,975.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-10T01:45Z","2017-05-10T15:40Z",13.92,7.3,,"Y",
"7b58f164-f13b-4631-a404-f5c1eadd0926","D09","PRLA","PRLA.AOS.riparian.point.03","2017-05-11T01:45Z","2017-05-11T01:50Z",1,"PRLA.20170508.03","PRLA.20170510.03.1.gill",15.0,7.6,979.0,"gill net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-11T00:40Z","2017-05-11T01:45Z",1.08,,3.0,"N",
"a0bb4c41-d1a1-4bb6-a65f-995a1f7e8d5d","D09","PRLA","PRLA.AOS.riparian.point.01","2017-05-11T01:55Z","2017-05-11T02:00Z",1,"PRLA.20170508.01","PRLA.20170510.01.1.gill",15.2,7.8,980.0,"gill net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-11T00:30Z","2017-05-11T01:55Z",1.42,,3.1,"N",
"26077b69-8364-4548-bd9b-4c442dda7261","D09","PRLA","PRLA.AOS.riparian.point.09","2017-05-11T02:45Z","2017-05-11T03:00Z",1,"PRLA.20170509.09","PRLA.20170510.09.1.e-fisher",14.8,8.4,974.0,"electrofisher",,,30,20,200,30,20,200,167,0,,,,,,,,,"Not compromised",,,,,,"Y","windswept shore; wind about 10mph"
"1a174b19-9583-4866-bc47-efae955d9747","D09","PRLA","PRLA.AOS.riparian.point.09","2017-05-11T03:50Z","2017-05-11T04:05Z",2,"PRLA.20170509.09","PRLA.20170510.09.2.e-fisher",14.8,8.4,974.0,"electrofisher",,,30,20,200,30,20,200,160,0,,,,,,,,,"Not compromised",,,,,,"Y","wind 5-10mph"
"d537460f-9c5f-4c38-ac0b-9fd6e439e70e","D09","PRLA","PRLA.AOS.riparian.point.09","2017-05-11T04:40Z","2017-05-11T04:53Z",3,"PRLA.20170509.09","PRLA.20170510.09.3.e-fisher",14.8,8.4,974.0,"electrofisher",,,30,20,200,30,20,200,155,0,,,,,,,,,"Not compromised",,,,,,"Y","wind 5-10mph"
"d36b4356-3281-4011-a6ab-0be3873ddc1a","D09","PRLA","PRLA.AOS.riparian.point.08","2017-05-11T05:32Z","2017-05-11T05:40Z",1,"PRLA.20170509.08","PRLA.20170511.08.1.e-fisher",14.0,6.3,981.0,"electrofisher",,,30,20,200,30,20,200,124,0,,,,,,,,,"Not compromised",,,,,,"Y","windsheltered shore"
"208f7200-f9a6-48a5-91b6-20bcdedc19c9","D09","PRLA","PRLA.AOS.riparian.point.05","2017-05-11T14:20Z","2017-05-11T16:10Z",1,"PRLA.20170509.05","PRLA.20170511.05.1.fyke",15.4,8.6,986.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-11T01:00Z","2017-05-11T14:20Z",13.33,7.6,,"Y",
"9a6507ea-d316-4acd-84ba-188b0a12fed6","D09","PRLA","PRLA.AOS.riparian.point.04","2017-05-11T16:20Z","2017-05-11T19:00Z",1,"PRLA.20170510.04","PRLA.20170511.04.1.fyke",16.1,8.4,994.0,"mini-fyke net",,,,,,,,,,,,,,,,,,,"Not compromised","2017-05-11T01:10Z","2017-05-11T16:20Z",15.17,7.5,,"Y",
