uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"192bdc81-0155-4d68-8434-3acc1622e95d","D09","PRLA","PRLA.AOS.riparian.point.09","2017-09-25T23:28Z","2017-09-26T18:05Z",1,"PRLA.20170925.09.1.fyke","PIMPRO","Pimephales promelas",,5527,"estimated",,"jeldridge@neoninc.org","Several fish appeared injured."
"9c86d1b9-2279-4df4-b761-520e61221ee8","D09","PRLA","PRLA.AOS.riparian.point.09","2017-09-25T23:28Z","2017-09-26T18:05Z",1,"PRLA.20170925.09.1.fyke","CULINC","Culaea inconstans",,2,"actual",,"jeldridge@neoninc.org","Accidentally released before processing."
"72bd723e-e067-4c25-92b6-44ef5793ee66","D09","PRLA","PRLA.AOS.riparian.point.08","2017-09-25T23:49Z","2017-09-26T15:58Z",1,"PRLA.20170925.08.1.fyke","PIMPRO","Pimephales promelas",,6265,"estimated",,"jeldridge@neoninc.org","Approximately 12 fish were injured. Possibly due to turtle."
"e57df539-95a5-4db4-b041-cdc263e2a68c","D09","PRLA","PRLA.AOS.riparian.point.08","2017-09-25T23:49Z","2017-09-26T15:58Z",1,"PRLA.20170925.08.1.fyke","CULINC","Culaea inconstans",,3,"actual",,"jeldridge@neoninc.org","Lost before processing."
"26290fab-dd9f-4f71-b71f-34d7e544896f","D09","PRLA","PRLA.AOS.riparian.point.01","2017-09-26T01:10Z","2017-09-26T01:27Z",1,"PRLA.20170925.01.1.e-fisher","PIMPRO","Pimephales promelas",,668,"actual",,"jeldridge@neoninc.org",
"3242e65a-bc2d-40c6-9693-68802655a149","D09","PRLA","PRLA.AOS.riparian.point.01","2017-09-26T02:13Z","2017-09-26T02:30Z",2,"PRLA.20170925.01.2.e-fisher","PIMPRO","Pimephales promelas",,111,"actual",,"jeldridge@neoninc.org",
"7e1b5fb2-ba00-4f80-8519-02a1083122e0","D09","PRLA","PRLA.AOS.riparian.point.01","2017-09-26T03:02Z","2017-09-26T03:19Z",3,"PRLA.20170925.01.3.e-fisher","PIMPRO","Pimephales promelas",,70,"actual",,"jeldridge@neoninc.org",
"e8bed88c-5e62-4a9f-ae23-a56bfc81c7e3","D09","PRLA","PRLA.AOS.riparian.point.03","2017-09-26T03:45Z","2017-09-26T04:09Z",1,"PRLA.20170925.03.1.e-fisher","PIMPRO","Pimephales promelas",,64,"actual",,"jeldridge@neoninc.org",
"d049b061-d059-47b6-970a-af5d12cdf919","D09","PRLA","PRLA.AOS.riparian.point.01","2017-09-27T00:15Z","2017-09-27T16:28Z",1,"PRLA.20170925.01.1.fyke","PIMPRO","Pimephales promelas",,1364,"estimated",,"jeldridge@neoninc.org",
"0aaebdb8-246e-4db4-8099-65c45da2b722","D09","PRLA","PRLA.AOS.riparian.point.03","2017-09-27T00:33Z","2017-09-27T18:25Z",1,"PRLA.20170925.03.1.fyke","CULINC","Culaea inconstans",,2,"actual",,"jeldridge@neoninc.org",
"9e8b9921-9ba5-4069-b962-56fc2ecad9d8","D09","PRLA","PRLA.AOS.riparian.point.03","2017-09-27T00:33Z","2017-09-27T18:25Z",1,"PRLA.20170925.03.1.fyke","PIMPRO","Pimephales promelas",,2595,"estimated",,"jeldridge@neoninc.org",
"20fb5182-b133-47ab-be20-785152dc5657","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T01:21Z","2017-09-27T01:43Z",1,"PRLA.20170926.05.1.e-fisher","PIMPRO","Pimephales promelas",,73,"actual",,"jeldridge@neoninc.org",
"fcf1dadc-d217-4729-8e26-3b3aa977da38","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T02:23Z","2017-09-27T02:42Z",2,"PRLA.20170926.05.2.e-fisher","PIMPRO","Pimephales promelas",,94,"actual",,"jeldridge@neoninc.org",
"92fc7006-c0fe-4def-a053-7717ae5bde5b","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T03:31Z","2017-09-27T03:53Z",3,"PRLA.20170926.05.3.e-fisher","PIMPRO","Pimephales promelas",,84,"actual",,"jeldridge@neoninc.org",
"ef45b176-c72a-4caf-a68c-8c29335aa77a","D09","PRLA","PRLA.AOS.riparian.point.04","2017-09-27T04:33Z","2017-09-27T04:52Z",1,"PRLA.20170926.04.1.e-fisher","PIMPRO","Pimephales promelas",,20,"actual",,"jeldridge@neoninc.org",
"8038c6c8-14b9-47d1-8a74-8067fb83980c","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T23:52Z","2017-09-28T16:10Z",1,"PRLA.20170926.05.1.fyke","CULINC","Culaea inconstans",,1,"actual","cf. species","jeldridge@neoninc.org","Slipped out of hands before processing. Not 100% sure on ID."
"950993af-adf0-4295-8af9-a6cf581020d8","D09","PRLA","PRLA.AOS.riparian.point.05","2017-09-27T23:52Z","2017-09-28T16:10Z",1,"PRLA.20170926.05.1.fyke","PIMPRO","Pimephales promelas",,1620,"estimated",,"jeldridge@neoninc.org","One fish with tumor. Photos 913-917."
"91d6b80a-fa89-4dcd-9cef-4c6bd8e4e35d","D09","PRLA","PRLA.AOS.riparian.point.04","2017-09-28T00:08Z","2017-09-28T14:45Z",1,"PRLA.20170926.04.1.fyke","PIMPRO","Pimephales promelas",,172,"actual",,"jeldridge@neoninc.org","Mortalities are approximate."
"18281016-6fab-413c-802e-2a06620a7732","D09","PRLA","PRLA.AOS.riparian.point.09","2017-09-28T01:10Z","2017-09-28T01:35Z",1,"PRLA.20170925.09.1.e-fisher","PIMPRO","Pimephales promelas",,1422,"actual",,"jeldridge@neoninc.org",
"4227a7bf-52fb-42b6-8d00-738892f6368f","D09","PRLA","PRLA.AOS.riparian.point.09","2017-09-28T02:30Z","2017-09-28T02:44Z",2,"PRLA.20170927.09.2.e-fisher","PIMPRO","Pimephales promelas",,414,"actual",,"jeldridge@neoninc.org",
"9cc6e522-0d1c-4a6c-887f-81b63880fb78","D09","PRLA","PRLA.AOS.riparian.point.09","2017-09-28T03:21Z","2017-09-28T03:34Z",3,"PRLA.20170925.09.3.e-fisher","PIMPRO","Pimephales promelas",,264,"actual",,"jeldridge@neoninc.org",
