uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"2a0ec823-f5fe-401c-a89b-b7701f50ea66","D09","PRLA","PRLA.AOS.riparian.point.08","2019-05-13T23:59Z","2019-05-14T14:00Z","PRLA.20190513.08.4.fyke",4,2,"PIMPRO","Pimephales promelas","species",,,,52,3.4,"Lesions/parasites",,,,"no sample",,,"0000-0002-4670-7736",
"b1b3e845-c0a5-4c0e-9e5a-cf99f52b6afe","D09","PRLA","PRLA.AOS.riparian.point.08","2019-05-13T23:59Z","2019-05-14T14:00Z","PRLA.20190513.08.4.fyke",4,3,"PIMPRO","Pimephales promelas","species",,,,58,1.6,"Lesions/parasites",,,,"no sample",,,"0000-0002-4670-7736",
"ce40489d-ee18-4e17-97ad-89ada0946531","D09","PRLA","PRLA.AOS.riparian.point.08","2019-05-13T23:59Z","2019-05-14T14:00Z","PRLA.20190513.08.4.fyke",4,1,"PIMPRO","Pimephales promelas","species",,,,49,1.1,,,,,"no sample",,,"0000-0002-4670-7736",
"d88b7455-da76-4eee-8a92-6613eca0d5a1","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,17,"PIMPRO","Pimephales promelas","species",,,,50,0.9,,,,,"no sample",,,"0000-0002-4670-7736",
"bf688119-6436-4897-99c8-a2dabe3ca4b9","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,8,"PIMPRO","Pimephales promelas","species",,,,54,1.3,,,,,"dna sample only","FSH.PRLA.09.20190513.4.0008","FSH.PRLA.09.20190513.4.0008.DNA","0000-0002-4670-7736",
"0ac7ebef-60ad-4509-8e74-7530ee151b97","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,12,"PIMPRO","Pimephales promelas","species",,,,45,0.9,,,,,"no sample",,,"0000-0002-4670-7736",
"c13a9f47-faa1-45db-a772-ff8c049138b6","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,5,"PIMPRO","Pimephales promelas","species",,,,45,0.7,,,,,"no sample",,,"0000-0002-4670-7736",
"3fe1110e-ef07-4632-85be-edd3e5845ea3","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,7,"PIMPRO","Pimephales promelas","species",,,,49,1.0,,,,,"no sample",,,"0000-0002-4670-7736",
"de27aeab-a7f2-4f54-9605-3c7b54950b18","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,3,"PIMPRO","Pimephales promelas","species",,,,50,1.0,,,,,"no sample",,,"0000-0002-4670-7736",
"e757a599-a7e0-4aa0-88b2-36985445313d","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,15,"PIMPRO","Pimephales promelas","species",,,,58,1.6,,,,,"no sample",,,"0000-0002-4670-7736",
"17e5a052-c47a-4959-84f2-0bcb470b6e5c","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,9,"PIMPRO","Pimephales promelas","species",,,,55,1.6,,,,,"dna sample only","FSH.PRLA.09.20190513.4.0009","FSH.PRLA.09.20190513.4.0009.DNA","0000-0002-4670-7736",
"baedd119-8bb6-4c3d-b91f-b02259bdd2c2","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,16,"PIMPRO","Pimephales promelas","species",,,,58,1.8,"Lesions/parasites",,,,"no sample",,,"0000-0002-4670-7736",
"69e7342a-a314-40a2-bc94-c235d939962b","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,14,"PIMPRO","Pimephales promelas","species",,,,49,0.9,,,,,"no sample",,,"0000-0002-4670-7736",
"7c46aaf7-b43f-4e8a-a3bd-58d89bb9546f","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,13,"PIMPRO","Pimephales promelas","species",,,,48,0.8,,,,,"no sample",,,"0000-0002-4670-7736",
"30325d40-a263-42fb-ab9d-2186242402be","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,4,"PIMPRO","Pimephales promelas","species",,,,52,1.1,,,,,"no sample",,,"0000-0002-4670-7736",
"e2382aae-459c-4255-8cfb-356989616df1","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,1,"PIMPRO","Pimephales promelas","species",,,,49,1.3,,,,,"no sample",,,"0000-0002-4670-7736",
"9c357f57-5fff-420c-a5cc-848787a95267","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,11,"PIMPRO","Pimephales promelas","species",,,,60,1.7,,,,,"dna sample only","FSH.PRLA.09.20190513.4.0011","FSH.PRLA.09.20190513.4.0011.DNA","0000-0002-4670-7736",
"a3253f85-33f5-495d-8e1a-bdfa299bd2dc","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,2,"PIMPRO","Pimephales promelas","species",,,,52,1.7,"Lesions/parasites",,,,"no sample",,,"0000-0002-4670-7736",
"d317b2d5-6e71-44b9-8cec-155e13c2c6a8","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,6,"PIMPRO","Pimephales promelas","species",,,,51,1.0,,,,,"no sample",,,"0000-0002-4670-7736",
"5b814f80-f110-4c55-9292-16c2f72e7cb5","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,18,"PIMPRO","Pimephales promelas","species",,,,58,2.2,,,,,"no sample",,,"0000-0002-4670-7736",
"e4c39171-cdbf-470f-941b-b4450b10ec58","D09","PRLA","PRLA.AOS.riparian.point.09","2019-05-14T00:46Z","2019-05-14T14:30Z","PRLA.20190513.09.4.fyke",4,10,"PIMPRO","Pimephales promelas","species",,,,68,3.0,"Lesions/parasites",,,,"dna sample only","FSH.PRLA.09.20190513.4.0010","FSH.PRLA.09.20190513.4.0010.DNA","0000-0002-4670-7736",
"a463a5ef-372b-4cfd-91f6-cefa07b04353","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,18,"PIMPRO","Pimephales promelas","species",,,,50,1.6,,,,,"no sample",,,"0000-0002-4670-7736",
"7736ae6c-3b3e-4f02-9b13-8f3cdc25aa18","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,8,"PIMPRO","Pimephales promelas","species",,,,51,1.3,"Lesions/parasites",,,,"no sample",,,"0000-0002-4670-7736",
"a816b057-ddbe-4ebe-b2d5-b365986b48be","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,7,"PIMPRO","Pimephales promelas","species",,,,48,1.8,,,,,"no sample",,,"0000-0002-4670-7736",
"846ff9c7-daae-4e6b-a419-12cf4ca1234c","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,14,"PIMPRO","Pimephales promelas","species",,,,59,1.5,,,,,"no sample",,,"0000-0002-4670-7736",
"31d6b519-7b51-4dac-9e96-f0a4cbbb959a","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,12,"PIMPRO","Pimephales promelas","species",,,,52,1.3,,,,,"no sample",,,"0000-0002-4670-7736",
"09253130-11f0-4b6f-a174-0b1ba4a31d12","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,1,"PIMPRO","Pimephales promelas","species",,,,51,2.1,,,,,"no sample",,,"0000-0002-4670-7736",
"ec8edd53-9c87-45bc-8ba6-19a7a4519721","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,3,"PIMPRO","Pimephales promelas","species",,,,62,1.7,,,,,"no sample",,,"0000-0002-4670-7736",
"5a4e4158-7e10-4f62-b43e-7325b73b1642","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,15,"PIMPRO","Pimephales promelas","species",,,,60,1.9,,,,,"no sample",,,"0000-0002-4670-7736",
"99220740-b528-4f5c-9733-c2bdaf1ce2ec","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,10,"PIMPRO","Pimephales promelas","species",,,,56,2.4,,,,,"no sample",,,"0000-0002-4670-7736",
"a3762d24-a2f9-4dcd-8867-84e5f48f741d","D09","PRLA","PRLA.AOS.riparian.point.01","2019-05-15T00:05Z","2019-05-15T13:56Z","PRLA.20190514.01.4.fyke",4,4,"PIMPRO","Pimephales promelas","species",,,,53,1.4,,,,,"no sample",,,"0000-0002-4670-7736",
