uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"8724f20e-cf46-4733-9010-35238de32ae5","D09","PRPO","PRPO.AOS.riparian.point.01","2019-05-20T22:36Z","2019-05-20T23:41Z",5,"PRPO.20190520.01","PRPO.20190520.01.5.gill",10.9,12.2,3724.0,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2019-05-20T22:38Z","2019-05-20T23:39Z",1.02,,2.0,"N","Gentle breeze"
"398fc819-9d0a-44cf-911e-854f8199aa58","D09","PRPO","PRPO.AOS.riparian.point.10","2019-05-20T22:40Z","2019-05-20T23:46Z",5,"PRPO.20190520.10","PRPO.20190520.10.5.gill",10.9,11.8,3705.0,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2019-05-20T22:43Z","2019-05-20T23:44Z",1.02,,2.0,"N","Gentle breeze"
"7b6f4665-06f4-4950-bd00-ca2a6a718a5e","D09","PRPO","PRPO.AOS.riparian.point.02","2019-05-20T23:49Z","2019-05-21T01:02Z",5,"PRPO.20190520.02","PRPO.20190520.02.5.gill",11.3,12.0,3703.0,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2019-05-20T23:51Z","2019-05-21T01:01Z",1.17,,2.0,"N",
"49a2c03b-b14a-438d-a066-98d72436f456","D09","PRPO","PRPO.AOS.riparian.point.05","2019-05-20T23:54Z","2019-05-21T01:09Z",5,"PRPO.20190520.05","PRPO.20190520.05.5.gill",11.5,11.8,3700.0,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2019-05-20T23:58Z","2019-05-21T01:06Z",1.13,,1.8,"N",
"e553e1dd-4dbf-48f1-963a-7a441bb8ac9f","D09","PRPO","PRPO.AOS.riparian.point.10","2019-05-21T00:10Z","2019-05-21T19:57Z",4,"PRPO.20190520.10","PRPO.20190520.10.4.fyke",11.2,11.7,3700.0,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2019-05-21T00:15Z","2019-05-21T13:20Z",13.08,4.9,,"Y","Gravel and cobble substrate"
"8780640e-113d-49c2-b217-91b0a3ca4ca6","D09","PRPO","PRPO.AOS.riparian.point.01","2019-05-21T00:26Z","2019-05-21T17:00Z",4,"PRPO.20190520.01","PRPO.20190520.01.4.fyke",10.9,12.2,3701.0,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2019-05-21T00:32Z","2019-05-21T13:55Z",13.38,7.3,,"Y",
"62ac2eb9-217e-4198-8498-045b33245abb","D09","PRPO","PRPO.AOS.riparian.point.06","2019-05-21T01:13Z","2019-05-21T02:18Z",5,"PRPO.20190520.06","PRPO.20190520.06.5.gill",11.6,11.7,3697.0,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2019-05-21T01:15Z","2019-05-21T02:15Z",1.00,,2.0,"N",
"9a621145-1696-4da8-ab9a-7a440c465ca2","D09","PRPO","PRPO.AOS.riparian.point.07","2019-05-21T01:18Z","2019-05-21T02:24Z",5,"PRPO.20190520.07","PRPO.20190520.07.5.gill",11.8,11.3,3695.0,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2019-05-21T01:22Z","2019-05-21T02:22Z",1.00,,1.9,"N",
"974049b3-aa02-4440-a28b-3a07557f0b81","D09","PRPO","PRPO.AOS.riparian.point.05","2019-05-21T02:56Z","2019-05-21T03:14Z",1,"PRPO.20190520.05","PRPO.20190520.05.1.e-fisher",10.9,11.2,3693.0,"electrofisher","littoral",,50,30,150,50,30,150,165,0,,,,,,,,,"Not compromised",,,,,,"Y","Deeper with moederate cattail cover near shore"
"6b1fbfa0-28ac-437c-a78a-12913f0cb685","D09","PRPO","PRPO.AOS.riparian.point.05","2019-05-21T03:47Z","2019-05-21T03:54Z",2,"PRPO.20190520.05","PRPO.20190520.05.2.e-fisher",10.7,10.9,3689.0,"electrofisher","littoral",,50,30,150,50,30,150,138,0,,,,,,,,,"Not compromised",,,,,,"Y",
