uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"f67aa3ba-9b63-4b4e-95ea-f99c894bb0a9","D15","REDB","REDB.AOS.fish.point.02","2022-10-24T17:44Z","2022-10-24T18:31Z","REDB.20221024.02.1.e-fisher",1,3,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,252,141.2,,,,,"no sample",,,"0000-0002-1768-4424",
"c4e0cb5d-a260-4b7b-80d0-156284cf3d8d","D15","REDB","REDB.AOS.fish.point.02","2022-10-24T17:44Z","2022-10-24T18:31Z","REDB.20221024.02.1.e-fisher",1,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,25,1.1,,,,"juvenile","no sample",,,"0000-0002-1768-4424",
"9c9e7fbc-bc2e-4f44-8618-4a86f804a150","D15","REDB","REDB.AOS.fish.point.02","2022-10-24T17:44Z","2022-10-24T18:31Z","REDB.20221024.02.1.e-fisher",1,2,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,142,27.6,,,,,"no sample",,,"0000-0002-1768-4424",
"5e053d5b-4871-4a71-a249-552b86f9f4dd","D15","REDB","REDB.AOS.fish.point.02","2022-10-24T20:23Z","2022-10-24T20:48Z","REDB.20221024.02.3.e-fisher",3,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,6,1.4,,,,,"no sample",,,"0000-0002-1768-4424",
"80249a50-e193-4eda-9bc5-6219a4730a27","D15","REDB","REDB.AOS.fish.point.02","2022-10-24T20:23Z","2022-10-24T20:48Z","REDB.20221024.02.3.e-fisher",3,2,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,62,2.1,,,,,"no sample",,,"0000-0002-1768-4424",
"de55023f-19bb-4e99-a41b-c3c3b9492341","D15","REDB","REDB.AOS.fish.point.03","2022-10-25T17:00Z","2022-10-25T17:57Z","REDB.20221025.03.1.e-fisher",1,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,252,127.2,,,,,"no sample",,,"0000-0002-1768-4424",
"f5c8711b-08dd-49e5-b395-577a2648217e","D15","REDB","REDB.AOS.fish.point.03","2022-10-25T17:00Z","2022-10-25T17:57Z","REDB.20221025.03.1.e-fisher",1,5,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,64,2.7,,,,,"no sample",,,"0000-0002-1768-4424",
"926d944c-042f-4b5f-a846-5edf87c84ab6","D15","REDB","REDB.AOS.fish.point.03","2022-10-25T17:00Z","2022-10-25T17:57Z","REDB.20221025.03.1.e-fisher",1,2,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,224,115.7,,,,,"no sample",,,"0000-0002-1768-4424",
"8876cd14-73f6-4d25-ab1f-882d416876fe","D15","REDB","REDB.AOS.fish.point.03","2022-10-25T17:00Z","2022-10-25T17:57Z","REDB.20221025.03.1.e-fisher",1,3,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,187,47.3,,,,,"no sample",,,"0000-0002-1768-4424",
"a7d0a09c-be6a-47df-8c02-7ff2c3840b66","D15","REDB","REDB.AOS.fish.point.03","2022-10-25T17:00Z","2022-10-25T17:57Z","REDB.20221025.03.1.e-fisher",1,4,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,245,123.4,,,,,"no sample",,,"0000-0002-1768-4424",
"196e828a-6837-423e-aef7-26c565ea69e2","D15","REDB","REDB.AOS.fish.point.04","2022-10-25T19:53Z","2022-10-25T20:47Z","REDB.20221025.04.1.e-fisher",1,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,141,27.0,,,"Y",,"dna sample only","FSH.REDB.04.20221025.1.0001","FSH.REDB.04.20221025.1.0001.DNA","0000-0002-1768-4424","Potential burn"
"61e8bd20-7f11-4a39-a989-061ae36bba8a","D15","REDB","REDB.AOS.fish.point.05","2022-10-26T15:38Z","2022-10-26T16:04Z","REDB.20221026.05.1.e-fisher",1,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,172,45.4,,,,,"dna sample only","FSH.REDB.05.20221026.1.0001","FSH.REDB.05.20221026.1.0001.DNA","0000-0002-1768-4424",
"4f3975a1-8f6d-4da8-9400-9e44fe7494bd","D15","REDB","REDB.AOS.fish.point.05","2022-10-26T17:00Z","2022-10-26T17:36Z","REDB.20221026.05.2.e-fisher",2,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,60,2.7,"Eroded fins",,,,"dna sample only","FSH.REDB.05.20221026.2.0001","FSH.REDB.05.20221026.2.0001.DNA","0000-0002-1768-4424",
"aba26f33-6e11-467a-b2bf-2aee3d094fc3","D15","REDB","REDB.AOS.fish.point.07","2022-10-27T15:31Z","2022-10-27T15:58Z","REDB.20221027.07.1.e-fisher",1,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,232,104.7,,,,,"dna sample only","FSH.REDB.07.20221027.1.0001","FSH.REDB.07.20221027.1.0001.DNA","0000-0002-1768-4424",
"4c824373-17c5-4eb5-8144-415a3e48b044","D15","REDB","REDB.AOS.fish.point.07","2022-10-27T15:31Z","2022-10-27T15:58Z","REDB.20221027.07.1.e-fisher",1,2,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,205,73.1,,,,,"dna sample only","FSH.REDB.07.20221027.1.0002","FSH.REDB.07.20221027.1.0002.DNA","0000-0002-1768-4424",
"74baccd5-12c5-4cc6-8186-ccdd93744dcf","D15","REDB","REDB.AOS.fish.point.07","2022-10-27T15:31Z","2022-10-27T15:58Z","REDB.20221027.07.1.e-fisher",1,3,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,190,52.0,,,,,"no sample",,,"0000-0002-1768-4424",
"98706531-f6e4-40b3-93d2-07f0c894b1d1","D15","REDB","REDB.AOS.fish.point.07","2022-10-27T18:01Z","2022-10-27T18:32Z","REDB.20221027.07.3.e-fisher",3,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,127,17.8,,,,,"no sample",,,"0000-0002-1768-4424",
"4d4fe793-b9a1-4647-8879-3ed1720fe140","D15","REDB","REDB.AOS.fish.point.10","2022-10-27T21:00Z","2022-10-27T21:18Z","REDB.20221027.10.1.e-fisher",1,3,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,156,29.6,,,,,"no sample",,,"0000-0002-1768-4424",
"5633b7f7-b968-4cbe-b2b7-2020e9463877","D15","REDB","REDB.AOS.fish.point.10","2022-10-27T21:00Z","2022-10-27T21:18Z","REDB.20221027.10.1.e-fisher",1,1,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,120,14.8,,"Y",,,"voucher sample only","FSH.REDB.10.20221027.1.0001",,"0000-0002-1768-4424",
"de928566-82d9-4f95-a432-e1df617049ad","D15","REDB","REDB.AOS.fish.point.10","2022-10-27T21:00Z","2022-10-27T21:18Z","REDB.20221027.10.1.e-fisher",1,4,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,120,14.0,,,,,"no sample",,,"0000-0002-1768-4424",
"a10760a6-899e-42a6-9924-582bb9a0d04e","D15","REDB","REDB.AOS.fish.point.10","2022-10-27T21:00Z","2022-10-27T21:18Z","REDB.20221027.10.1.e-fisher",1,2,"ONCCLA6","Oncorhynchus clarkii utah","subspecies",,,,162,32.9,"Eroded fins",,,,"no sample",,,"0000-0002-1768-4424",
