uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"675e4e55-6d35-4d9d-b32d-d289e2296c96","D15","REDB","REDB.AOS.fish.point.02","2022-10-24T17:44Z","2022-10-24T18:31Z",1,"REDB.20221024.02","REDB.20221024.02.1.e-fisher",2.8,10.6,714.9,"electrofisher","step pool",,30,10,200,30,10,200,640,2,,,,,,,,,"Not compromised",,,,,,"Y",
"afeec3bf-a045-49ae-b132-25e3696aa2f6","D15","REDB","REDB.AOS.fish.point.02","2022-10-24T19:22Z","2022-10-24T19:50Z",2,"REDB.20221024.02","REDB.20221024.02.2.e-fisher",,,,"electrofisher","step pool",,30,10,200,30,10,200,522,,,,,,,,,,"Not compromised",,,,,,"N",
"77b373a3-5a96-453f-987b-cc3044c0fd33","D15","REDB","REDB.AOS.fish.point.02","2022-10-24T20:23Z","2022-10-24T20:48Z",3,"REDB.20221024.02","REDB.20221024.02.3.e-fisher",,,,"electrofisher","step pool",,30,10,200,30,10,200,319,0,,,,,,,,,"Not compromised",,,,,,"Y",
"35525474-464c-4beb-b0e9-9e9a169f3d92","D15","REDB","REDB.AOS.fish.point.03","2022-10-25T17:00Z","2022-10-25T17:57Z",1,"REDB.20221025.03","REDB.20221025.03.1.e-fisher",3.8,9.9,719.0,"electrofisher","step pool",,30,10,200,20,5,100,541,3,,,,,,,,,"Not compromised",,,,,,"Y",
"02d1c766-5fa0-4a22-a45e-4a9f019d519e","D15","REDB","REDB.AOS.fish.point.04","2022-10-25T19:53Z","2022-10-25T20:47Z",1,"REDB.20221025.04","REDB.20221025.04.1.e-fisher",4.5,9.4,716.0,"electrofisher","step pool",,20,5,100,20,5,50,760,1,,,,,,,,,"Not compromised",,,,,,"Y",
"0ecc35f2-f6b6-42f1-894d-5b21a6454fc5","D15","REDB","REDB.AOS.fish.point.05","2022-10-26T15:38Z","2022-10-26T16:04Z",1,"REDB.20221026.05","REDB.20221026.05.1.e-fisher",3.9,9.7,728.0,"electrofisher","step pool",,20,5,50,20,5,50,564,,,,,,,,,,"Not compromised",,,,,,"Y",
"683d5304-78ca-47b7-b773-c46e6893a6cb","D15","REDB","REDB.AOS.fish.point.05","2022-10-26T17:00Z","2022-10-26T17:36Z",2,"REDB.20221026.05","REDB.20221026.05.2.e-fisher",3.9,9.7,728.0,"electrofisher","step pool",,20,10,50,20,10,50,496,,,,,,,,,,"Not compromised",,,,,,"Y",
"bf568849-358d-4f30-bf0e-d45098af5621","D15","REDB","REDB.AOS.fish.point.05","2022-10-26T18:24Z","2022-10-26T18:42Z",3,"REDB.20221026.05","REDB.20221026.05.3.e-fisher",3.9,9.7,728.0,"electrofisher","step pool",,20,10,50,20,10,50,577,,,,,,,,,,"Not compromised",,,,,,"N",
"c6cd50e1-7550-472e-aa96-e6bd382ba148","D15","REDB","REDB.AOS.fish.point.07","2022-10-27T15:31Z","2022-10-27T15:58Z",1,"REDB.20221027.07","REDB.20221027.07.1.e-fisher",2.9,9.8,725.0,"electrofisher","run","riffle",25,10,50,25,10,50,560,0,,,,,,,,,"Not compromised",,,,,,"Y",
"7ea0b7d0-dc23-4978-b6c7-28e801541a03","D15","REDB","REDB.AOS.fish.point.07","2022-10-27T17:05Z","2022-10-27T17:31Z",2,"REDB.20221027.07","REDB.20221027.07.2.e-fisher",,,,"electrofisher","run","riffle",25,10,50,25,10,50,611,0,,,,,,,,,"Not compromised",,,,,,"N",
"24aaa18b-fa4d-4238-891d-424012943b98","D15","REDB","REDB.AOS.fish.point.07","2022-10-27T18:01Z","2022-10-27T18:32Z",3,"REDB.20221027.07","REDB.20221027.07.3.e-fisher",,,,"electrofisher","run","riffle",30,10,100,30,10,100,583,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0ee7535e-a270-4c44-8370-720606d5fa16","D15","REDB","REDB.AOS.fish.point.10","2022-10-27T21:00Z","2022-10-27T21:18Z",1,"REDB.20221027.10","REDB.20221027.10.1.e-fisher",3.7,10.4,719.0,"electrofisher","step pool","run",30,10,100,30,10,100,320,0,,,,,,,,,"Not compromised",,,,,,"Y",
