uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"856ee88a-28c4-4005-a10c-280e4c041f60","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,48,"AGOCHR","Agosia chrysogaster","species",,,,21,0.3,,,,,"no sample",,,"0000-0002-8929-7933",
"68aec682-3415-47a2-aeaf-97b31f8b6c26","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,14,"AGOCHR","Agosia chrysogaster","species",,,,25,0.3,,,,,"no sample",,,"0000-0002-8929-7933",
"e9341950-61e9-4d82-9bb7-b1f4a74389bc","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,16,"AGOCHR","Agosia chrysogaster","species",,,,24,0.3,,,,,"no sample",,,"0000-0002-8929-7933",
"d955704d-649d-4036-b902-76e9222b30f3","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,3,"AGOCHR","Agosia chrysogaster","species",,,,16,0.3,,,,,"no sample",,,"0000-0002-8929-7933",
"99a3194d-17de-4e0a-a8c1-8f204fc0b92e","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,46,"AGOCHR","Agosia chrysogaster","species",,,,40,0.8,,,,,"no sample",,,"0000-0002-8929-7933",
"9c50fe5b-f486-4b10-8d86-2cd3cd429fab","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,33,"AGOCHR","Agosia chrysogaster","species",,,,60,2.2,,,,,"no sample",,,"0000-0002-8929-7933",
"a513ad59-606f-417f-bd3f-caf820c341b4","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,26,"AGOCHR","Agosia chrysogaster","species",,,,71,4.4,,,,,"no sample",,,"0000-0002-8929-7933",
"46b39cda-022c-498e-8279-cdac3dcbaa62","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,10,"AGOCHR","Agosia chrysogaster","species",,,,22,0.3,,,,,"no sample",,,"0000-0002-8929-7933",
"d5e29a1b-d98f-4293-8480-275fc6d5b021","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,18,"AGOCHR","Agosia chrysogaster","species",,,,25,0.3,,,,,"no sample",,,"0000-0002-8929-7933",
"01e11aad-2beb-43fd-9691-2fc5f866fa00","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,38,"AGOCHR","Agosia chrysogaster","species",,,,59,2.3,,,,,"no sample",,,"0000-0002-8929-7933",
"6d093ed1-181a-4267-8176-ab29531db060","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,31,"AGOCHR","Agosia chrysogaster","species",,,,65,3.4,,,,,"no sample",,,"0000-0002-8929-7933",
"7466d6df-6eb1-4a5d-8209-912d59113c16","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,25,"AGOCHR","Agosia chrysogaster","species",,,,70,4.4,,,,,"no sample",,,"0000-0002-8929-7933",
"19fc1678-9030-4239-8266-44170a318444","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,29,"AGOCHR","Agosia chrysogaster","species",,,,55,1.9,,,,,"no sample",,,"0000-0002-8929-7933",
"0d166854-b545-48e6-9a55-e1601daa5ae5","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,13,"AGOCHR","Agosia chrysogaster","species",,,,47,1.7,,,,,"no sample",,,"0000-0002-8929-7933",
"bba30446-2d99-4788-a58d-fb2ae4818a65","D14","SYCA","SYCA.AOS.fish.point.01","2022-01-31T20:28Z","2022-01-31T22:45Z","SYCA.20220131.01.1.e-fisher",1,9,"AGOCHR","Agosia chrysogaster","species",,,,60,2.7,,,,,"no sample",,,"0000-0002-8929-7933",
