uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"1e027d60-90d1-4a13-b730-5f6360537f4f","D17","TECR","TECR.AOS.fish.point.01","2019-10-14T18:24Z","2019-10-15T06:55Z",3,"TECR.20191014.01","TECR.20191014.01.3.e-fisher",3.7,10.7,30.1,"electrofisher","riffle","pool",30,40,200,30,40,200,2254,0,,,,,,,,,"Not compromised",,,,,,"Y","Downstream of barrier (EF shock time1172 ) (EF schock time1082)"
"f330a01c-808f-47f9-bccc-b32e9813d3d7","D17","TECR","TECR.AOS.fish.point.01","2019-10-14T20:05Z","2019-10-14T21:30Z",1,"TECR.20191014.01","TECR.20191014.01.1.e-fisher",5.2,10.4,30.0,"electrofisher","riffle","pool",30,40,200,30,40,200,2999,0,,,,,,,,,"Not compromised",,,,,,"Y","Downstream of fish barrier (ef time 640), Upstream of barrier (ef time 2539)"
"f44ae679-df9d-4bdc-8bab-312248d2f9e3","D17","TECR","TECR.AOS.fish.point.01","2019-10-14T21:46Z","2019-10-14T22:28Z",2,"TECR.20191014.01","TECR.20191014.01.2.e-fisher",5.2,10.4,30.0,"electrofisher","riffle","pool",30,40,200,30,40,200,2826,0,,,,,,,,,"Not compromised",,,,,,"Y","S2 pool not sampled- EF time for upstream section of reach = 1755 sec, EF time for downstream of barrier 1071"
"01033268-d8fd-4ac5-a6de-f3ab628733b9","D17","TECR","TECR.AOS.fish.point.03","2019-10-15T16:01Z","2019-10-15T18:46Z",1,"TECR.20191015.03","TECR.20191015.03.1.e-fisher",4.1,10.0,30.5,"electrofisher","riffle","pool",30,40,200,30,40,200,5201,0,,,,,,,,,"Not compromised",,,,,,"Y","Skipped 2-3m of dense dogwood"
"f577dd5e-480c-40d9-8873-d9c26a7c1489","D17","TECR","TECR.AOS.fish.point.05","2019-10-15T19:47Z","2019-10-15T21:14Z",1,"TECR.20191015.05","TECR.20191015.05.1.e-fisher",5.4,11.6,31.3,"electrofisher","riffle","pool",30,40,200,30,40,200,2799,0,,,,,,,,,"Not compromised",,,,,,"Y","Potential barrier in low flow 82 m"
"0ce9a5c3-2090-40c0-b861-77691fce9b3d","D17","TECR","TECR.AOS.fish.point.05","2019-10-15T21:35Z","2019-10-15T22:27Z",2,"TECR.20191015.05","TECR.20191015.05.2.e-fisher",5.4,11.6,31.3,"electrofisher","riffle","pool",30,40,200,30,40,200,2174,0,,,,,,,,,"Not compromised",,,,,,"Y","Potential barrier in low flow 82 m"
"2c4e8b66-57da-4b13-b8dc-196c8b853ff2","D17","TECR","TECR.AOS.fish.point.05","2019-10-15T22:40Z","2019-10-15T23:50Z",3,"TECR.20191015.05","TECR.20191015.05.3.e-fisher",5.4,11.6,31.3,"electrofisher","riffle","pool",30,40,200,30,40,250,3299,1,,,,,,,,,"Not compromised",,,,,,"Y","Potential barrier in low flow 82 m"
"a72b1e48-ee04-44b4-99a9-b26a7b311f9a","D17","TECR","TECR.AOS.fish.point.06","2019-10-16T15:55Z","2019-10-16T17:05Z",1,"TECR.20191016.06","TECR.20191016.06.1.e-fisher",4.2,9.8,22.6,"electrofisher","riffle","pool",30,40,250,30,40,250,3401,0,,,,,,,,,"Not compromised",,,,,,"Y","Lots of dogwood and some temporary barriers"
"99539e6a-6219-46b4-ab0b-5ae515897b32","D17","TECR","TECR.AOS.fish.point.06","2019-10-16T17:35Z","2019-10-16T19:11Z",2,"TECR.20191016.06","TECR.20191016.06.2.e-fisher",4.2,9.8,22.6,"electrofisher","riffle","pool",30,40,250,30,40,250,3916,0,,,,,,,,,"Not compromised",,,,,,"Y",
"56c8f5e5-5209-4039-876f-7a2eed5b1b45","D17","TECR","TECR.AOS.fish.point.06","2019-10-16T19:43Z","2019-10-16T20:40Z",3,"TECR.20191016.06","TECR.20191016.06.3.e-fisher",4.2,9.8,22.6,"electrofisher","riffle","pool",30,40,250,30,40,200,2475,0,,,,,,,,,"Not compromised",,,,,,"Y",
"2daa03cf-8617-4316-8e00-bcae6cd22a6a","D17","TECR","TECR.AOS.fish.point.07","2019-10-16T20:45Z","2019-10-16T22:01Z",1,"TECR.20191016.07","TECR.20191016.07.1.e-fisher",6.1,10.0,31.2,"electrofisher","riffle","pool",30,40,250,30,40,250,4249,0,,,,,,,,,"Not compromised",,,,,,"Y","Downstream of waterfall. Upstream of wfall op time 2021. 49 50 and all bulk fish upstream of waterfall."
"72f10717-1953-4602-9549-925fba1321e9","D17","TECR","TECR.AOS.fish.point.09","2019-10-17T17:32Z","2019-10-17T19:20Z",1,"TECR.20191017.09","TECR.20191017.09.1.e-fisher",4.9,9.6,31.3,"electrofisher","riffle","pool",30,40,250,30,40,200,2267,,,,,,,,,,"Not compromised",,,,,,"Y","Shocked first 5-8m then skipped ~20-30m of dense dogwood"
