uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"2bddf50f-d9b4-40bf-9760-a3b898577795","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z",1,"TECR.20210601.01.1.e-fisher","SALFON","Salvelinus fontinalis",,5,"actual",,"0000-0002-5454-7533","US Life Stage information not added - this field was added in an update mid-bout"
"3a636dba-5b9c-4b0f-8edc-4cbc5898defd","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T23:20Z","2021-06-01T23:50Z",2,"TECR.20210601.01.2.e-fisher","SALFON","Salvelinus fontinalis",,12,"actual",,"0000-0002-5454-7533","All from upstream of barrier Life Stage information not collected - Field was added in an update mid-bout."
"e49a3d47-3c6f-4653-9524-3df74572a886","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T23:52Z","2021-06-02T00:16Z",3,"TECR.20210601.01.3.e-fisher","SALFON","Salvelinus fontinalis",,1,"actual",,"0000-0002-5454-7533","Adult"
"137fd7c1-f9ba-498f-9bff-c493ae7663a4","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T23:52Z","2021-06-02T00:16Z",3,"TECR.20210601.01.3.e-fisher","SALFON","Salvelinus fontinalis",,2,"actual",,"0000-0002-5454-7533","US"
"7654fa5a-2116-4c31-b559-0f0a8dddfb6a","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T23:52Z","2021-06-02T00:16Z",3,"TECR.20210601.01.3.e-fisher","SALFON","Salvelinus fontinalis",,6,"actual",,"0000-0002-5454-7533","US"
"b8b2fa7f-686d-4723-9515-cb1609f32e60","D17","TECR","TECR.AOS.fish.point.09","2021-06-02T23:58Z","2021-06-03T01:15Z",1,"TECR.20210602.09.1.e-fisher","SALFON","Salvelinus fontinalis",,13,"actual",,"0000-0002-5454-7533","Did not record/sort by life stage. App update to include life stage occurred mid-sampling."
"c749053f-24e6-4256-80e4-db02c172fa18","D17","TECR","TECR.AOS.fish.point.05","2021-06-03T17:46Z","2021-06-03T18:31Z",1,"TECR.20210603.05.1.e-fisher","SALFON","Salvelinus fontinalis",,7,"actual",,"0000-0002-5454-7533",
"55ed7b8f-e0d7-457c-898c-617fef1eb1a6","D17","TECR","TECR.AOS.fish.point.05","2021-06-03T17:46Z","2021-06-03T18:31Z",1,"TECR.20210603.05.1.e-fisher","SALFON","Salvelinus fontinalis",,16,"actual",,"0000-0002-5454-7533","16 juvenile 7 yoy"
"f1266bed-8379-4e67-ab52-332951eb0d5e","D17","TECR","TECR.AOS.fish.point.05","2021-06-03T18:41Z","2021-06-03T19:23Z",2,"TECR.20210603.05.2.e-fisher","SALFON","Salvelinus fontinalis",,2,"actual",,"0000-0002-5454-7533","Adult"
"88138d66-9107-45e1-9605-df79d04d774c","D17","TECR","TECR.AOS.fish.point.05","2021-06-03T18:41Z","2021-06-03T19:23Z",2,"TECR.20210603.05.2.e-fisher","SALFON","Salvelinus fontinalis",,1,"actual",,"0000-0002-5454-7533",
"9df309a0-100b-45d2-9914-881cf4396821","D17","TECR","TECR.AOS.fish.point.05","2021-06-03T18:41Z","2021-06-03T19:23Z",2,"TECR.20210603.05.2.e-fisher","SALFON","Salvelinus fontinalis",,21,"actual",,"0000-0002-5454-7533","21 juvenile 1 yoy 2 adults"
"a2e84a32-8d44-4f46-83db-2d5a5defea12","D17","TECR","TECR.AOS.fish.point.05","2021-06-03T19:44Z","2021-06-03T20:20Z",3,"TECR.20210603.05.3.e-fisher","SALFON","Salvelinus fontinalis",,18,"actual",,"0000-0002-5454-7533",
"671c9872-3f83-4686-bb34-82035d64ec6c","D17","TECR","TECR.AOS.fish.point.06","2021-06-04T16:42Z","2021-06-04T17:30Z",1,"TECR.20210604.06.1.e-fisher","SALFON","Salvelinus fontinalis",,17,"actual",,"0000-0002-5454-7533",
"668abdb2-e5d2-497e-ba28-58b0ab7bce95","D17","TECR","TECR.AOS.fish.point.06","2021-06-04T18:00Z","2021-06-04T18:40Z",2,"TECR.20210604.06.2.e-fisher","SALFON","Salvelinus fontinalis",,22,"actual",,"0000-0002-5454-7533",
"68df280f-84d7-4024-b4f3-2fb4d27679e2","D17","TECR","TECR.AOS.fish.point.06","2021-06-04T18:00Z","2021-06-04T18:40Z",2,"TECR.20210604.06.2.e-fisher","SALFON","Salvelinus fontinalis",,2,"actual",,"0000-0002-5454-7533","Adults"
"daa94968-7735-49f3-9bb6-52e1d4afb5df","D17","TECR","TECR.AOS.fish.point.06","2021-06-04T18:00Z","2021-06-04T18:40Z",2,"TECR.20210604.06.2.e-fisher","SALFON","Salvelinus fontinalis",,3,"actual",,"0000-0002-5454-7533",
"811554ff-8ed8-4c4c-9809-2f394dcaea2f","D17","TECR","TECR.AOS.fish.point.06","2021-06-04T18:47Z","2021-06-04T19:21Z",3,"TECR.20210604.06.3.e-fisher","SALFON","Salvelinus fontinalis",,11,"actual",,"0000-0002-5454-7533",
"811090b5-a380-47ad-b418-22440fa9b334","D17","TECR","TECR.AOS.fish.point.06","2021-06-04T18:47Z","2021-06-04T19:21Z",3,"TECR.20210604.06.3.e-fisher","SALFON","Salvelinus fontinalis",,2,"actual",,"0000-0002-5454-7533","Adult"
"78239fc3-5beb-47b2-ac29-fa27ad44ab64","D17","TECR","TECR.AOS.fish.point.06","2021-06-04T18:47Z","2021-06-04T19:21Z",3,"TECR.20210604.06.3.e-fisher","SALFON","Salvelinus fontinalis",,1,"actual",,"0000-0002-5454-7533",
