uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"7d441e8a-a6a8-49ad-b793-13de6d73f46f","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,36,"SALFON","Salvelinus fontinalis","species",,,,198,68.0,,,,"adult","no sample",,,"0000-0002-5454-7533","US"
"12a4cb37-0fc4-4740-91df-cf10b750f361","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,48,"SALFON","Salvelinus fontinalis","species",,,,103,10.0,"Eroded fins",,,"juvenile","no sample",,,"0000-0002-5454-7533","US"
"2389631d-a0b4-4c77-96a1-8f25ee315d4b","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,39,"SALFON","Salvelinus fontinalis","species",,,,103,9.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533","US"
"fdfc4dd8-206a-49f0-a603-a4b5499effa9","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,18,"SALFON","Salvelinus fontinalis","species",,,,255,150.0,,,,"adult","no sample",,,"0000-0002-5454-7533",
"5f57c90b-9e30-4650-aae5-b7a761d50673","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,1,"SALFON","Salvelinus fontinalis","species",,,,127,19.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533",
"fe18a110-33c6-4c12-a008-0949885f365f","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,33,"SALFON","Salvelinus fontinalis","species",,,,156,31.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533","US"
"4cf7516d-4a47-4aaf-87d1-aef216fcbe8a","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,20,"SALFON","Salvelinus fontinalis","species",,,,144,30.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533",
"afc2b49d-a21d-4cad-9345-da6547bf7001","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,28,"SALFON","Salvelinus fontinalis","species",,,,178,52.0,,,,"adult","no sample",,,"0000-0002-5454-7533","US"
"df3b9971-89af-461e-b805-bcf20dbd2148","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,12,"SALFON","Salvelinus fontinalis","species",,,,229,107.0,,,,"adult","no sample",,,"0000-0002-5454-7533",
"0814f44a-7080-48af-9866-bd874fc76204","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,37,"SALFON","Salvelinus fontinalis","species",,,,146,27.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533","US"
"3b69c85e-8f13-4504-8752-094f8026d910","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,5,"SALFON","Salvelinus fontinalis","species",,,,131,22.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533",
"7ee37377-139e-40eb-b734-63f6d6345a98","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,29,"SALFON","Salvelinus fontinalis","species",,,,134,22.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533","US"
"4df173eb-b51d-4dad-ac05-6e5e753671b5","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,6,"SALFON","Salvelinus fontinalis","species",,,,90,10.0,,,,"young of year","no sample",,,"0000-0002-5454-7533",
"fb56576a-f987-4a41-a963-1b67a273e09c","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,9,"SALFON","Salvelinus fontinalis","species",,,,118,16.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533",
"6ce7f317-2695-4cb7-8052-561b8084e6b9","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,16,"SALFON","Salvelinus fontinalis","species",,,,150,27.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533",
"b88eb2a4-0ff8-42e4-9f96-d139c205be02","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,41,"SALFON","Salvelinus fontinalis","species",,,,196,54.0,,,,"adult","no sample",,,"0000-0002-5454-7533","US"
"ba7bf854-7d8b-4adf-b3e5-d4b0c3ba3aba","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,25,"SALFON","Salvelinus fontinalis","species",,,,100,8.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533","Us"
"9ee843a1-326a-44b2-84ad-40419ce90204","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,13,"SALFON","Salvelinus fontinalis","species",,,,145,29.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533",
"7633f404-3087-4a6b-b851-3056e59a36ac","D17","TECR","TECR.AOS.fish.point.01","2021-06-01T22:44Z","2021-06-01T23:16Z","TECR.20210601.01.1.e-fisher",1,35,"SALFON","Salvelinus fontinalis","species",,,,155,31.0,,,,"juvenile","no sample",,,"0000-0002-5454-7533","US"
