uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"e8fdfe2f-4e31-4fee-a57a-e8f4d2a81b48","D18","TOOK","TOOK.AOS.riparian.point.07","2018-09-21T22:12Z","2018-09-22T22:16Z",4,"TOOK.20180921.07","TOOK.20180921.07.4.fyke",,,,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-21T04:20Z","2018-09-21T22:15Z",17.92,6.4,,"Y",
"e3250bc6-c9a2-4aca-a96c-13f64c904768","D18","TOOK","TOOK.AOS.riparian.point.05","2018-09-21T23:28Z","2018-09-22T00:10Z",5,"TOOK.20180920.05","TOOK.20180921.05.5.gill",5.0,11.0,84.5,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-21T23:31Z","2018-09-22T00:02Z",0.52,,9.9,"N",
"d1749a36-8ca9-418a-b1b5-89572fd4dd91","D18","TOOK","TOOK.AOS.riparian.point.07","2018-09-22T00:14Z","2018-09-22T00:47Z",5,"TOOK.20180921.07","TOOK.20180921.07.5.gill",4.6,11.4,84.9,"gill net","pelagic",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-22T00:14Z","2018-09-22T00:44Z",0.50,,4.1,"N",
"a0ebcbe7-a8d5-454a-82c6-0a3997d3ae5c","D18","TOOK","TOOK.AOS.riparian.point.03","2018-09-22T03:37Z","2018-09-22T21:37Z",4,"TOOK.20180921.03","TOOK.20180921.03.4.fyke",4.4,10.8,118.7,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-22T03:35Z","2018-09-22T21:36Z",18.02,7.2,,"Y",
"60e99013-b821-406c-884d-9c27132fc76c","D18","TOOK","TOOK.AOS.riparian.point.04","2018-09-22T03:54Z","2018-09-22T23:26Z",4,"TOOK.20180921.04","TOOK.20180921.04.4.fyke",4.9,10.5,85.9,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-22T03:58Z","2018-09-22T23:26Z",19.47,5.0,,"Y",
"5cda2675-c8c6-4a4a-9832-1f2a05227c3c","D18","TOOK","TOOK.AOS.riparian.point.05","2018-09-22T04:09Z","2018-09-22T04:15Z",1,"TOOK.20180920.05","TOOK.20180921.05.1.e-fisher",4.7,10.2,80.7,"electrofisher","littoral",,35,30,250,35,30,250,304,0,,,,,,,,,"NA",,,,,,"N",
"0da154fb-3975-4f7d-9eec-8b08b12f6bb5","D18","TOOK","TOOK.AOS.riparian.point.05","2018-09-22T04:19Z","2018-09-23T00:24Z",4,"TOOK.20180920.05","TOOK.20180921.05.4.fyke",4.4,10.7,83.5,"mini-fyke net","littoral",,,,,,,,,,,,,,,,,,"Not compromised","2018-09-22T04:20Z","2018-09-23T00:19Z",19.98,6.8,,"Y",
"1f0571fb-1a9d-4760-8a6c-6a8e5ea3117c","D18","TOOK","TOOK.AOS.riparian.point.07","2018-09-22T04:34Z","2018-09-22T04:56Z",1,"TOOK.20180921.07","TOOK.20180921.07.1.e-fisher",4.5,9.7,86.2,"electrofisher","littoral",,35,30,250,35,30,250,412,0,,,,,,,,,"Not compromised",,,,,,"Y",
"322f784f-5f10-444e-8523-bfd60f0b5f88","D18","TOOK","TOOK.AOS.riparian.point.07","2018-09-22T05:20Z","2018-09-22T05:27Z",2,"TOOK.20180921.07","TOOK.20180921.07.2.e-fisher",4.0,9.0,86.0,"electrofisher","littoral",,35,30,250,35,30,250,331,0,,,,,,,,,"Not compromised",,,,,,"N",
"96231134-3325-48d8-a468-1d8a5618c08d","D18","TOOK","TOOK.AOS.riparian.point.07","2018-09-22T05:57Z","2018-09-22T06:07Z",3,"TOOK.20180921.07","TOOK.20180921.07.3.e-fisher",4.0,9.0,86.0,"electrofisher","littoral",,35,30,250,35,30,250,412,0,,,,,,,,,"Not compromised",,,,,,"Y",
