uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"78df8df8-cbdc-4f9f-a108-d87d8446ed41","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-19T15:40Z","2019-09-20T17:42Z","TOOK.20190919.03.4.fyke",4,4,"COTCOG","Cottus cognatus","species",,,,302,150.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"6a4fbe33-67d8-4a7b-b036-6b8e06f9b008","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-19T15:40Z","2019-09-20T17:42Z","TOOK.20190919.03.4.fyke",4,3,"THYARC","Thymallus arcticus","species",,,,340,330.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"10919465-d71b-4d21-90c8-783898a32e05","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-19T15:40Z","2019-09-20T17:42Z","TOOK.20190919.03.4.fyke",4,2,"THYARC","Thymallus arcticus","species",,,,346,350.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"52928775-0014-4d8e-ac2c-865d815767b5","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-19T15:40Z","2019-09-20T17:42Z","TOOK.20190919.03.4.fyke",4,1,"THYARC","Thymallus arcticus","species",,,,333,320.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"09b7699b-e0f0-41d6-b709-f3e8e432da83","D18","TOOK","TOOK.AOS.riparian.point.10","2019-09-20T03:35Z","2019-09-20T17:44Z","TOOK.20190919.10.4.fyke",4,1,"THYARC","Thymallus arcticus","species",,,,125,13.3,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"26c384f3-905a-4855-afd5-a4bd010741f6","D18","TOOK","TOOK.AOS.riparian.point.02","2019-09-20T04:01Z","2019-09-20T04:06Z","TOOK.20190919.02.1.e-fisher",1,1,"LOTLOT","Lota lota","species",,,,66,1.7,,,,"young of year","no sample",,,"0000-0001-9124-8148",
"61da0d07-57f1-4042-8b68-ef14275c50c8","D18","TOOK","TOOK.AOS.riparian.point.02","2019-09-20T04:01Z","2019-09-20T04:06Z","TOOK.20190919.02.1.e-fisher",1,2,"COTCOG","Cottus cognatus","species",,,,69,2.8,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"1da77eca-0243-47c5-9b59-7e7444d9378e","D18","TOOK","TOOK.AOS.riparian.point.04","2019-09-20T04:23Z","2019-09-20T04:26Z","TOOK.20190919.04.1.e-fisher",1,1,"THYARC","Thymallus arcticus","species",,,,84,4.3,,"Y",,"young of year","voucher sample only","FSH.TOOK.04.20190919.1.0001",,"0000-0001-9124-8148",
"d0eafe0e-c962-470a-9a13-dc9bea149e00","D18","TOOK","TOOK.AOS.riparian.point.08","2019-09-20T04:48Z","2019-09-20T04:51Z","TOOK.20190919.08.1.e-fisher",1,1,"LOTLOT","Lota lota","species",,,,118,9.1,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"9680e74d-840c-4168-a9b3-2f58c582222a","D18","TOOK","TOOK.AOS.riparian.point.08","2019-09-20T04:48Z","2019-09-20T04:51Z","TOOK.20190919.08.1.e-fisher",1,2,"THYARC","Thymallus arcticus","species",,,,81,3.9,,,,"young of year","no sample",,,"0000-0001-9124-8148",
"45b14cdb-3494-4b05-9f77-fff4bd98bc8a","D18","TOOK","TOOK.AOS.riparian.point.08","2019-09-20T22:39Z","2019-09-20T23:29Z","TOOK.20190920.08.5.gill",5,1,"PROCYL","Prosopium cylindraceum","species",,,,373,430.0,,,,"adult","dna sample only","FSH.TOOK.08.20190920.5.0001","FSH.TOOK.08.20190920.5.0001.DNA","0000-0001-9124-8148",
"d990c42c-ff76-4376-9e5d-0f29c8cd9c6f","D18","TOOK","TOOK.AOS.riparian.point.08","2019-09-20T22:39Z","2019-09-20T23:29Z","TOOK.20190920.08.5.gill",5,2,"PROCYL","Prosopium cylindraceum","species",,,,381,480.0,,,,"adult","dna sample only","FSH.TOOK.08.20190920.5.0002","FSH.TOOK.08.20190920.5.0002.DNA","0000-0001-9124-8148",
"8dacb494-4c74-42e2-a382-45a154d77010","D18","TOOK","TOOK.AOS.riparian.point.02","2019-09-21T03:36Z","2019-09-21T17:18Z","TOOK.20190920.02.4.fyke",4,2,"LOTLOT","Lota lota","species",,,,322,180.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"e61ea2ec-96f3-4020-96bb-fd4b0c96c760","D18","TOOK","TOOK.AOS.riparian.point.02","2019-09-21T03:36Z","2019-09-21T17:18Z","TOOK.20190920.02.4.fyke",4,4,"THYARC","Thymallus arcticus","species",,,,71,2.2,,,,"young of year","no sample",,,"0000-0001-9124-8148",
"a04cd332-4a2a-4777-bdcf-6a79b6edee9d","D18","TOOK","TOOK.AOS.riparian.point.02","2019-09-21T03:36Z","2019-09-21T17:18Z","TOOK.20190920.02.4.fyke",4,3,"THYARC","Thymallus arcticus","species",,,,321,315.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"f5de9e6b-3606-4441-900c-8027be51a517","D18","TOOK","TOOK.AOS.riparian.point.02","2019-09-21T03:36Z","2019-09-21T17:18Z","TOOK.20190920.02.4.fyke",4,1,"THYARC","Thymallus arcticus","species",,,,391,485.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"a61c426e-787c-46ee-9478-728ebe568213","D18","TOOK","TOOK.AOS.riparian.point.04","2019-09-21T03:53Z","2019-09-21T17:38Z","TOOK.20190920.04.4.fyke",4,1,"LOTLOT","Lota lota","species",,,,430,430.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"637479c7-ec8f-4ecd-a63d-794321cb40f7","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-21T04:07Z","2019-09-21T04:14Z","TOOK.20190920.03.1.e-fisher",1,4,"THYARC","Thymallus arcticus","species",,,,85,4.1,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"124f03e6-c455-4b6a-9873-327dea93e63f","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-21T04:07Z","2019-09-21T04:14Z","TOOK.20190920.03.1.e-fisher",1,2,"THYARC","Thymallus arcticus","species",,,,129,14.1,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"ea1116c6-3ef4-4d5d-ab64-354fb4d5c59e","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-21T04:07Z","2019-09-21T04:14Z","TOOK.20190920.03.1.e-fisher",1,1,"THYARC","Thymallus arcticus","species",,,,115,10.6,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"0fd3a777-add1-432d-bdaa-eec897bdd7ba","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-21T04:07Z","2019-09-21T04:14Z","TOOK.20190920.03.1.e-fisher",1,3,"LOTLOT","Lota lota","species",,,,69,1.6,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"cd003441-cdf1-467e-a2bf-f0f3609f9a93","D18","TOOK","TOOK.AOS.riparian.point.03","2019-09-21T05:22Z","2019-09-21T05:28Z","TOOK.20190920.03.3.e-fisher",3,1,"LOTLOT","Lota lota","species",,,,75,1.7,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"2924331e-30ab-44ae-8421-18cdb807f2d9","D18","TOOK","TOOK.AOS.riparian.point.08","2019-09-22T03:24Z","2019-09-22T18:19Z","TOOK.20190921.08.4.fyke",4,1,"LOTLOT","Lota lota","species",,,,800,,,,,"adult","no sample",,,"0000-0001-9124-8148","Fish too large to obtain weight with given instrumentation"
"022581e9-1ac9-4fa2-b6cf-12bbad93ae8a","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,5,"THYARC","Thymallus arcticus","species",,,,180,41.0,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"03e4cb14-e939-4fc3-88f6-ea0631023ac2","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,6,"THYARC","Thymallus arcticus","species",,,,195,57.3,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"d8b10dcd-9a0e-4039-bf00-3ab56788e33a","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,12,"THYARC","Thymallus arcticus","species",,,,128,16.4,,"Y",,"juvenile","voucher sample only","FSH.TOOK.07.20190921.4.0012",,"0000-0001-9124-8148","Voucher regurgitated by specimen 1"
"20f1ff2e-0792-4b69-b746-4264127850c0","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,3,"LOTLOT","Lota lota","species",,,,364,295.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"e3cd3a95-72c6-4249-bada-d048e1c3d9d9","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,4,"THYARC","Thymallus arcticus","species",,,,129,12.5,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"1f16dda6-1db1-498f-89b6-0ab192436960","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,10,"THYARC","Thymallus arcticus","species",,,,93,5.5,,,,,"no sample",,,"0000-0001-9124-8148",
"3bff4198-f15b-45dc-890f-f794d8dca2e6","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,8,"THYARC","Thymallus arcticus","species",,,,86,4.2,,,,"young of year","no sample",,,"0000-0001-9124-8148",
"a67a6b1b-665f-4c68-b5cf-e96f70b62afe","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,11,"THYARC","Thymallus arcticus","species",,,,129,13.6,,,,"young of year","no sample",,,"0000-0001-9124-8148",
"adbbffa9-4136-44e1-82f0-315fb09ac555","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,13,"THYARC","Thymallus arcticus","species",,,,177,41.3,,,,"adult","voucher sample only","FSH.TOOK.07.20190921.4.0013",,"0000-0001-9124-8148","Voucher regurgitated by a specimen 1"
"57cea294-c867-44b2-9317-f809e1698d2f","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,1,"LOTLOT","Lota lota","species",,,,387,330.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"a530307c-23e2-44bf-a065-859a9392b63a","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,9,"THYARC","Thymallus arcticus","species",,,,169,31.9,,,,"juvenile","no sample",,,"0000-0001-9124-8148",
"09506487-40e5-479f-ba3a-009679118b7c","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,2,"LOTLOT","Lota lota","species",,,,489,620.0,,,,"adult","no sample",,,"0000-0001-9124-8148",
"f59da8a1-4a8e-4cfb-8331-00f9b7593b25","D18","TOOK","TOOK.AOS.riparian.point.07","2019-09-22T03:49Z","2019-09-22T17:48Z","TOOK.20190921.07.4.fyke",4,7,"THYARC","Thymallus arcticus","species",,,,182,44.0,,,,,"no sample",,,"0000-0001-9124-8148",
