uid,domainID,siteID,namedLocation,passStartTime,passEndTime,eventID,passNumber,specimenNumber,taxonID,scientificName,taxonRank,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,fishTotalLength,fishWeight,delt,efMortality,efInjury,fishLifeStage,sampleTypeCollected,voucherSampleID,dnaSampleID,identifiedBy,remarks
"8f5068d7-3ceb-4d4b-893b-784906646de0","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,25,"RHIATR","Rhinichthys atratulus","species",,,,88,9.1,,,,"adult","no sample",,,"abradner@battelleecology.org",
"9d60f89a-6abc-45c2-9f9c-34f15bb64b7b","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,34,"RHIATR","Rhinichthys atratulus","species",,,,25,0.3,,,,"young of year","no sample",,,"abradner@battelleecology.org",
"9ffa7cc6-ae2f-4f50-922e-aa0b039c85ca","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,29,"RHIATR","Rhinichthys atratulus","species",,,,59,2.2,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"e9ec0d9d-d7a4-46cf-bbc1-cc9d5e908752","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,38,"RHIATR","Rhinichthys atratulus","species",,,,25,0.3,,,,"young of year","no sample",,,"abradner@battelleecology.org",
"83f8e554-a8f1-4655-9c27-1374af3ae18c","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,18,"RHIATR","Rhinichthys atratulus","species",,,,85,9.3,,,,"gravid female","no sample",,,"abradner@battelleecology.org",
"4636c264-cc51-4540-ad1b-dafea1b6e031","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,7,"RHIATR","Rhinichthys atratulus","species",,,,30,0.3,,,,"young of year","no sample",,,"abradner@battelleecology.org",
"02688cd5-b282-4551-80bb-57cafe51c3c4","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,24,"RHIATR","Rhinichthys atratulus","species",,,,45,0.8,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"626f8d5d-a041-4c1d-ace8-318c3ec09ec9","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,11,"RHIATR","Rhinichthys atratulus","species",,,,84,7.9,,,,"adult","no sample",,,"abradner@battelleecology.org",
"e9f5b6e4-a70d-4c3e-a226-c761cee2a455","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,3,"RHIATR","Rhinichthys atratulus","species",,,,25,0.3,,,,"young of year","no sample",,,"abradner@battelleecology.org",
"1aa0cba3-08e0-4945-b7cb-fb65c565f512","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,4,"RHIATR","Rhinichthys atratulus","species",,,,25,0.3,,,,"young of year","no sample",,,"abradner@battelleecology.org",
"9400cebf-ffe5-4d36-baf4-886e2a18eeec","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,2,"RHIATR","Rhinichthys atratulus","species",,,,37,0.6,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"0927dc32-5715-485f-8049-674bc32346e5","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,5,"RHIATR","Rhinichthys atratulus","species",,,,85,9.5,,,,"adult","no sample",,,"abradner@battelleecology.org",
"5b78b490-c2e6-43a3-8a81-bc6ef31cdb05","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,35,"RHIATR","Rhinichthys atratulus","species",,,,40,0.7,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"c04dbfa9-df3b-484b-ab4a-5b87fc647641","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,30,"RHIATR","Rhinichthys atratulus","species",,,,50,1.2,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"383ac3be-ccdf-4bfc-9789-05ede9d729c6","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,9,"RHIATR","Rhinichthys atratulus","species",,,,26,0.3,,,"Y","young of year","no sample",,,"abradner@battelleecology.org",
"d5f28a02-c91c-42ac-8442-a415d215fa02","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,39,"RHIATR","Rhinichthys atratulus","species",,,,46,1.2,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"587d9cc3-afc0-4a03-ac10-846fb7a8263a","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,8,"RHIATR","Rhinichthys atratulus","species",,,,80,6.6,,,,"adult","no sample",,,"abradner@battelleecology.org",
"663471ff-3165-44d2-8b4a-6632197a5be7","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,31,"RHIATR","Rhinichthys atratulus","species",,,,70,4.4,,,,"adult","no sample",,,"abradner@battelleecology.org",
"b6129dda-78ad-4d52-ab74-afae6b262055","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,16,"RHIATR","Rhinichthys atratulus","species",,,,38,0.5,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"56cd8318-39b0-49bb-966a-9d66cc17551b","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,21,"RHIATR","Rhinichthys atratulus","species",,,,77,5.7,,,,"gravid female","no sample",,,"abradner@battelleecology.org",
"37227e4c-2516-445b-ac1b-a5caa0cad7db","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,13,"RHIATR","Rhinichthys atratulus","species",,,,47,1.0,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"56d5f676-221a-4b7a-b8d5-67a5112bf8d2","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,23,"RHIATR","Rhinichthys atratulus","species",,,,75,6.9,,,,"gravid female","no sample",,,"abradner@battelleecology.org",
"aa578a9a-6384-4925-9589-34061320d571","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,10,"RHIATR","Rhinichthys atratulus","species",,,,44,0.8,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"c8a9542d-4170-499b-ac02-37f37268bf37","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,27,"RHIATR","Rhinichthys atratulus","species",,,,43,0.8,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"77a9d92f-fc78-48e2-9eb1-f8732912143c","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,28,"RHIATR","Rhinichthys atratulus","species",,,,82,7.6,,,,"adult","no sample",,,"abradner@battelleecology.org",
"29ea3328-5987-458a-b1de-b7f67bc215a1","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,12,"RHIATR","Rhinichthys atratulus","species",,,,80,6.0,,,,"adult","no sample",,,"abradner@battelleecology.org",
"a790a0ae-e127-4ece-9941-a2d768c97f00","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,36,"RHIATR","Rhinichthys atratulus","species",,,,32,0.3,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"f79f956a-78d7-4d93-9048-269a7b65c831","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,17,"RHIATR","Rhinichthys atratulus","species",,,,97,8.5,,,,"gravid female","no sample",,,"abradner@battelleecology.org",
"b120341e-be9c-414f-91b6-c1662654c5dd","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,26,"RHIATR","Rhinichthys atratulus","species",,,,31,0.3,,,,"young of year","no sample",,,"abradner@battelleecology.org",
"39f82801-60fd-4213-a1bc-5d18aca97976","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,20,"RHIATR","Rhinichthys atratulus","species",,,,80,7.5,,,,"adult","no sample",,,"abradner@battelleecology.org",
"af5b258b-8a5d-4b2f-83fd-2132d21e9d19","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,33,"RHIATR","Rhinichthys atratulus","species",,,,47,1.4,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"56769a3e-2cad-4587-9cc3-66d34048cd6c","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,15,"RHIATR","Rhinichthys atratulus","species",,,,57,2.1,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"8df4a1df-1372-49c8-a7e8-a492766188ae","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,19,"RHIATR","Rhinichthys atratulus","species",,,,89,10.1,,,,"adult","no sample",,,"abradner@battelleecology.org",
"14d0b456-1028-48f1-8f58-ea5f42e5b397","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,22,"RHIATR","Rhinichthys atratulus","species",,,,77,6.4,,,,"gravid female","no sample",,,"abradner@battelleecology.org",
"d2b794ea-233f-4421-a7f4-1e56dfc80437","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,6,"RHIATR","Rhinichthys atratulus","species",,,,66,4.0,,,,"adult","no sample",,,"abradner@battelleecology.org",
"0cc16e0c-7497-4459-8371-ed535afe4df8","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,14,"RHIATR","Rhinichthys atratulus","species",,,,44,0.7,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"09fb83d4-990e-4a79-bdfb-454f9033f01f","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,32,"RHIATR","Rhinichthys atratulus","species",,,,56,2.5,,,,"juvenile","no sample",,,"abradner@battelleecology.org",
"0dd02c62-53fa-4117-a630-f098305b72c1","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,1,"RHIATR","Rhinichthys atratulus","species",,,,9,8.9,,,,"adult","no sample",,,"abradner@battelleecology.org",
"a6c242da-2289-42e0-8eb0-f668f8a6678b","D07","WALK","WALK.AOS.fish.point.01","2018-03-20T12:42Z","2018-03-20T13:19Z","WALK.20180320.01.1.e-fisher",1,37,"RHIATR","Rhinichthys atratulus","species",,,,95,10.2,,,,"adult","no sample",,,"abradner@battelleecology.org",
