uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"4f1ecc29-769c-4c85-ac96-59004b7400f4","D07","WALK","WALK.AOS.fish.point.01","2019-11-05T14:47Z","2019-11-05T16:15Z",1,"WALK.20191105.01","WALK.20191105.01.1.e-fisher",12.2,10.0,270.4,"electrofisher","riffle","run",30,20,100,30,20,100,3333,0,,,,,,,,,"Not compromised",,,,,,"Y",
"79acb799-0937-490c-95b0-046e6bc09653","D07","WALK","WALK.AOS.fish.point.01","2019-11-05T17:21Z","2019-11-05T18:04Z",2,"WALK.20191105.01","WALK.20191105.01.2.e-fisher",13.3,9.8,278.3,"electrofisher","riffle","run",30,20,100,30,20,100,1368,0,,,,,,,,,"Not compromised",,,,,,"Y",
"c5651086-4671-48fa-b9bc-3b2ecab9c296","D07","WALK","WALK.AOS.fish.point.01","2019-11-05T18:34Z","2019-11-05T18:53Z",3,"WALK.20191105.01","WALK.20191105.01.3.e-fisher",13.7,9.4,277.9,"electrofisher","riffle","run",30,20,100,30,20,100,792,0,,,,,,,,,"Not compromised",,,,,,"Y",
"6db0f8ad-b8d8-4522-8410-8e5f4fa1d9cf","D07","WALK","WALK.AOS.fish.point.03","2019-11-06T13:47Z","2019-11-06T14:36Z",1,"WALK.20191106.03","WALK.20191106.03.1.e-fisher",10.7,9.8,264.8,"electrofisher","riffle","pool",30,20,100,30,20,100,2665,0,,,,,,,,,"Not compromised",,,,,,"Y",
"1c1ed7f1-faf4-4d1f-9145-d5b69e0ff374","D07","WALK","WALK.AOS.fish.point.03","2019-11-06T15:15Z","2019-11-06T15:40Z",2,"WALK.20191106.03","WALK.20191106.03.2.e-fisher",11.2,9.6,264.5,"electrofisher","riffle","pool",30,20,100,30,20,100,1260,0,,,,,,,,,"Not compromised",,,,,,"Y",
"19de402b-e3b6-4377-b8bb-02f075d4344b","D07","WALK","WALK.AOS.fish.point.03","2019-11-06T16:09Z","2019-11-06T16:30Z",3,"WALK.20191106.03","WALK.20191106.03.3.e-fisher",11.9,9.3,263.3,"electrofisher","riffle","pool",30,20,100,30,20,100,906,0,,,,,,,,,"Not compromised",,,,,,"Y",
"46a17b4c-4ff3-4166-9bb1-283c182bbfd1","D07","WALK","WALK.AOS.fish.point.05","2019-11-06T17:02Z","2019-11-06T18:10Z",1,"WALK.20191106.05","WALK.20191106.05.1.e-fisher",13.3,9.4,254.4,"electrofisher","riffle","pool",30,20,100,30,20,100,3042,0,,,,,,,,,"Not compromised",,,,,,"Y",
"42f4a84d-ec4b-4e7c-9ec2-bc3ac84d5299","D07","WALK","WALK.AOS.fish.point.05","2019-11-06T18:44Z","2019-11-06T19:13Z",2,"WALK.20191106.05","WALK.20191106.05.2.e-fisher",13.4,8.9,257.1,"electrofisher","riffle","pool",30,20,100,30,20,100,1406,0,,,,,,,,,"Not compromised",,,,,,"Y",
"61138466-6255-4d45-98ee-5a03853e0c1d","D07","WALK","WALK.AOS.fish.point.05","2019-11-06T19:44Z","2019-11-06T19:57Z",3,"WALK.20191106.05","WALK.20191106.05.3.e-fisher",13.4,9.2,255.8,"electrofisher","riffle","pool",30,20,100,30,20,100,685,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d051bde9-584e-4dfb-893e-97ffe7be1a28","D07","WALK","WALK.AOS.fish.point.07","2019-11-07T13:25Z","2019-11-07T14:11Z",1,"WALK.20191107.07","WALK.20191107.07.1.e-fisher",12.1,8.8,267.5,"electrofisher","riffle","pool",30,20,100,30,20,100,1832,0,,,,,,,,,"Not compromised",,,,,,"Y",
"69618746-4541-40e4-8c74-35bba62bf7f5","D07","WALK","WALK.AOS.fish.point.09","2019-11-07T15:05Z","2019-11-07T15:38Z",1,"WALK.20191107.09","WALK.20191107.09.1.e-fisher",12.4,9.0,267.4,"electrofisher","riffle","pool",30,20,100,30,20,100,1070,0,,,,,,,,,"Not compromised",,,,,,"Y",
"b052df41-83e8-42fe-b3bc-9f236876fa4a","D07","WALK","WALK.AOS.fish.point.10","2019-11-07T16:20Z","2019-11-07T16:33Z",1,"WALK.20191107.10","WALK.20191107.10.1.e-fisher",12.5,8.8,262.3,"electrofisher","riffle","pool",30,20,100,30,20,100,315,0,,,,,,,,,"Not compromised",,,,,,"Y",
