uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,eventID,taxonID,scientificName,morphospeciesID,bulkFishCount,actualOrEstimated,identificationQualifier,identifiedBy,remarks
"8f308613-b686-4419-990f-5ebaec7cb6d9","D07","WALK","WALK.AOS.fish.point.01","2022-11-08T14:13Z","2022-11-08T15:44Z",1,"WALK.20221108.01.1.e-fisher","RHIATR","Rhinichthys atratulus",,118,"actual",,"0000-0001-8869-8172",
"4e50a758-b21a-41cd-a7fa-499303e24502","D07","WALK","WALK.AOS.fish.point.01","2022-11-08T16:40Z","2022-11-08T17:15Z",2,"WALK.20221108.01.2.e-fisher","RHIATR","Rhinichthys atratulus",,58,"actual",,"0000-0001-8869-8172",
"175673c0-5851-47ac-8044-a0c9742a266b","D07","WALK","WALK.AOS.fish.point.01","2022-11-08T17:50Z","2022-11-08T18:15Z",3,"WALK.20221108.01.3.e-fisher","RHIATR","Rhinichthys atratulus",,29,"actual",,"0000-0001-8869-8172",
"09aec7d4-d7d9-4a66-a316-06421dca0b38","D07","WALK","WALK.AOS.fish.point.03","2022-11-08T18:42Z","2022-11-08T19:39Z",1,"WALK.20221108.03.1.e-fisher","RHIATR","Rhinichthys atratulus",,7,"actual",,"0000-0001-8869-8172",
"2d25dbbd-fd8d-42e3-b332-4aef0f2951eb","D07","WALK","WALK.AOS.fish.point.03","2022-11-08T20:12Z","2022-11-08T20:46Z",2,"WALK.20221108.03.2.e-fisher","RHIATR","Rhinichthys atratulus",,28,"actual",,"0000-0001-8869-8172",
"777dcf79-7ee9-4df6-9a08-bf488024c446","D07","WALK","WALK.AOS.fish.point.03","2022-11-08T21:16Z","2022-11-08T21:36Z",3,"WALK.20221108.03.3.e-fisher","RHIATR","Rhinichthys atratulus",,9,"actual",,"0000-0001-8869-8172",
"2915193c-8b49-4b39-bed5-77521a8c5009","D07","WALK","WALK.AOS.fish.point.04","2022-11-09T13:45Z","2022-11-09T14:54Z",1,"WALK.20221109.04.1.e-fisher","RHIATR","Rhinichthys atratulus",,71,"actual",,"0000-0001-8869-8172",
"b15a4f82-cdd0-41f8-aaa3-362e59f64a46","D07","WALK","WALK.AOS.fish.point.05","2022-11-09T15:45Z","2022-11-09T16:58Z",1,"WALK.20221109.05.1.e-fisher","RHIATR","Rhinichthys atratulus",,61,"actual",,"0000-0001-8869-8172",
"c91dfb52-f448-4f87-bd50-4859c6cec998","D07","WALK","WALK.AOS.fish.point.05","2022-11-09T18:01Z","2022-11-09T18:45Z",2,"WALK.20221109.05.2.e-fisher","RHIATR","Rhinichthys atratulus",,37,"actual",,"0000-0001-8869-8172",
"6dfc95fc-19de-4df7-b989-8b0de621d4ed","D07","WALK","WALK.AOS.fish.point.05","2022-11-09T19:16Z","2022-11-09T19:51Z",3,"WALK.20221109.05.3.e-fisher","RHIATR","Rhinichthys atratulus",,19,"actual",,"0000-0001-8869-8172",
