uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks
"036cffb6-db63-47f5-b1c4-6e528e2ee031","D13","WLOU","WLOU.AOS.fish.point.01","2019-09-23T18:27Z","2019-09-23T19:02Z",1,"WLOU.20190923.01","WLOU.20190923.01.1.e-fisher",4.0,9.1,105.0,"electrofisher","run","pool",30,10,300,30,10,300,710,0,,,,,,,,,"Not compromised",,,,,,"Y",
"df61fcca-dba3-4a10-9496-16b4cdd5c7cb","D13","WLOU","WLOU.AOS.fish.point.01","2019-09-23T19:36Z","2019-09-23T20:06Z",2,"WLOU.20190923.01","WLOU.20190923.01.2.e-fisher",4.0,9.1,105.0,"electrofisher","run","pool",30,10,300,35,10,300,946,1,,,,,,,,,"Not compromised",,,,,,"Y",
"f3c15d92-1c57-4af8-9160-6d65f18548cb","D13","WLOU","WLOU.AOS.fish.point.01","2019-09-23T20:41Z","2019-09-23T21:10Z",3,"WLOU.20190923.01","WLOU.20190923.01.3.e-fisher",4.0,9.1,105.0,"electrofisher","run","pool",35,10,300,35,10,300,763,0,,,,,,,,,"Not compromised",,,,,,"Y",
"8eda4544-8f71-48d8-9962-fb5d11fc689b","D13","WLOU","WLOU.AOS.fish.point.02","2019-09-23T22:02Z","2019-09-23T22:31Z",1,"WLOU.20190923.02","WLOU.20190923.02.1.e-fisher",5.3,9.7,105.6,"electrofisher","run","pool",35,10,300,40,10,300,1107,1,,,,,,,,,"Not compromised",,,,,,"Y",
"1ad43d4e-a299-4519-a57b-1c81227a8612","D13","WLOU","WLOU.AOS.fish.point.04","2019-09-24T06:24Z","2019-09-24T18:57Z",3,"WLOU.20190924.04","WLOU.20190924.04.3.e-fisher",2.8,8.8,107.6,"electrofisher","run","pool",40,10,300,40,10,300,1057,0,,,,,,,,,"Not compromised",,,,,,"Y",
"d8efca5a-e04f-4c68-83d5-f8240558a8cc","D13","WLOU","WLOU.AOS.fish.point.04","2019-09-24T15:13Z","2019-09-24T15:51Z",1,"WLOU.20190924.04","WLOU.20190924.04.1.e-fisher",2.8,8.8,107.6,"electrofisher","run","pool",40,10,300,40,10,300,1073,0,,,,,,,,,"Not compromised",,,,,,"Y",
"293addbc-0f09-4426-a90e-bf1e8ce47dea","D13","WLOU","WLOU.AOS.fish.point.04","2019-09-24T17:04Z","2019-09-24T17:35Z",2,"WLOU.20190924.04","WLOU.20190924.04.2.e-fisher",2.8,8.8,107.6,"electrofisher","run","pool",40,10,300,40,10,300,1106,0,,,,,,,,,"Not compromised",,,,,,"Y",
"6bbbbd67-b9d4-48cb-93a1-46203276439b","D13","WLOU","WLOU.AOS.fish.point.06","2019-09-24T19:55Z","2019-09-24T20:36Z",1,"WLOU.20190924.06","WLOU.20190924.06.1.e-fisher",4.8,8.7,103.0,"electrofisher","run","pool",40,10,300,50,10,300,1534,1,,,,,,,,,"Not compromised",,,,,,"Y",
"bf6aa038-eea5-4e4f-992d-0c86ffdddb22","D13","WLOU","WLOU.AOS.fish.point.07","2019-09-25T14:54Z","2019-09-25T15:48Z",1,"WLOU.20190925.07","WLOU.20190925.07.1.e-fisher",3.0,8.9,106.4,"electrofisher","run","pool",50,10,300,50,10,300,1895,0,,,,,,,,,"Not compromised",,,,,,"Y",
"5c7a2db7-dcba-4f11-b4dd-4b36e8800a92","D13","WLOU","WLOU.AOS.fish.point.07","2019-09-25T16:16Z","2019-09-25T16:45Z",2,"WLOU.20190925.07","WLOU.20190925.07.2.e-fisher",3.0,8.9,106.4,"electrofisher","run","pool",50,10,300,50,10,300,1170,0,,,,,,,,,"Not compromised",,,,,,"Y",
"0948564f-2bbe-4d51-9082-1ff2e6f6eb99","D13","WLOU","WLOU.AOS.fish.point.07","2019-09-25T17:17Z","2019-09-25T17:54Z",3,"WLOU.20190925.07","WLOU.20190925.07.3.e-fisher",3.0,8.9,106.4,"electrofisher","run","pool",50,10,300,50,10,300,1443,0,,,,,,,,,"Not compromised",,,,,,"Y",
"019caea5-a4af-40a8-a669-38c9fb17f586","D13","WLOU","WLOU.AOS.fish.point.09","2019-09-25T18:24Z","2019-09-25T19:08Z",1,"WLOU.20190925.09","WLOU.20190925.09.1.e-fisher",4.6,9.0,106.7,"electrofisher","run","pool",50,10,300,50,10,300,1036,0,,,,,,,,,"Not compromised",,,,,,"Y",
