uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"bc460930-71f5-4160-af3a-6827975f953b","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",8,4.40,
"1ea723be-dd98-4d49-8e3b-6039bff370ab","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",18,3.90,
"2fa842e7-bae1-4f40-88a7-e7962a8bfb8c","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",20,9.70,
"ff44e4ae-8ee1-4062-81f4-cfcb39132e55","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",2,2.40,
"8d7caa06-c77d-4d4a-938a-fea3a1a2c589","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",16,3.40,
"3b525fcf-c3be-48b9-aed4-efa811968778","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",7,4.80,
"fdca8863-dc35-4ac3-ae32-4cf3e8e0d0d0","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",26,6.10,
"9803e3f4-8ba1-4992-8dab-4fbc933a5bac","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",19,5.80,
"4c3d46bb-71ea-4e9e-9ea1-cd3e3efbf972","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",29,6.80,
"56d08ca8-1470-46db-819a-f935a281c423","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",10,3.00,
"3f9797a8-6993-49fe-a9fe-ffe3affd9f90","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",27,5.00,
"0f12e878-0190-4703-8fcf-733420817619","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",30,7.80,
"26eea5e8-1783-46b8-9061-4d02aaab3b9a","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",25,5.40,
"1a89545f-cf11-413a-886c-ba56e1d5706c","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",12,3.20,
"e5f08e8d-f4d8-4971-ae92-3832a4d11e03","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",14,3.00,
"b9abf698-bbf0-43c6-850c-949cb0251ef7","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",9,3.10,
"25af78f8-d49f-4a0f-8581-8db4dd77c604","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",13,3.70,
"fe9d1446-f7a5-4c90-972f-24df340b8571","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",15,2.60,
"74cdc289-c262-42e6-8cd6-c9a0707a210b","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",23,8.30,
"2d0a5739-7598-4120-8d84-c6da82e59634","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",11,3.10,
"8e9bf112-7b6d-4af0-be22-c1f05d053fcf","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",22,15.80,
"57f57869-641e-4f4b-9b54-e17bdb01bfd2","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",28,3.80,
"f10be8be-a5ad-4da0-b4b7-dc6b4fd5fcd9","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",21,13.30,
"b7a66c6f-0afb-45fb-9315-1a17e53799eb","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",24,5.50,
"32e40929-1ce9-4e77-ab67-f5113197b420","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",5,6.40,
"ac20c486-55c5-4190-9499-9b6babb6a381","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",4,8.10,
"94cd1c92-1279-40cc-8d45-e0ae261d1136","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",17,3.30,
"644ed411-04a0-4cfb-829b-6889383faa42","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",1,1.90,
"fd5bc4fd-8927-47a1-b1de-40c721b496ae","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",6,6.00,
"c57bf9d2-3979-4e4f-b45e-624fe2a97b7f","D10","ARIK","ARIK","2020-12-15T23:48Z","Tape",3,3.20,
