uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"61da9e19-396f-48f6-8a4a-5effa4ee396e","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",4267,"2022-05-25T08:36:00Z",387.80,388.40,11.03,529.75,528.93,533.26,532.44
"2d186e24-e56a-4116-a29c-2c0bafb3002e","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",3571,"2022-05-25T06:40:00Z",387.90,388.30,11.24,526.73,526.19,530.30,529.75
"623cd1f5-3a21-47af-863a-ed620ce97c42","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",3790,"2022-05-25T07:16:30Z",387.70,388.00,11.15,527.56,527.15,531.09,530.68
"2f085e31-2f5e-4552-bbc2-041a6d6dadf7","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",502,"2022-05-24T22:08:30Z",409.50,409.60,13.59,523.74,523.61,527.74,527.61
"5f673c8d-3271-451f-a645-17950300bd2f","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",5924,"2022-05-25T13:12:10Z",377.00,377.00,9.90,529.80,529.80,532.81,532.81
"ebc5acce-2bca-4d5d-8020-e112da2a3deb","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",4475,"2022-05-25T09:10:40Z",388.30,388.40,10.96,530.72,530.58,534.21,534.07
"e79894de-8d96-489c-8e26-eb8a82af5430","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",187,"2022-05-24T21:16:00Z",408.10,408.50,13.60,522.20,521.69,526.19,525.68
"2b9dabbb-39a3-4692-95f9-1e4248be3b30","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",4739,"2022-05-25T09:54:40Z",387.90,388.10,10.79,532.67,532.40,536.11,535.83
"cd79fc21-b3c4-4fab-88e5-16279068622a","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",3908,"2022-05-25T07:36:10Z",387.50,388.00,11.11,528.11,527.43,531.63,530.95
"37fb5386-d5b2-4813-8929-8ee6377a0589","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",1506,"2022-05-25T00:55:50Z",404.50,405.20,13.17,523.48,522.58,527.44,526.53
"ba5c961f-bde0-453f-8d16-ae3a1f1374a3","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",6057,"2022-05-25T13:34:20Z",60.80,63.30,10.41,87.75,84.29,88.29,84.81
"a72a7f0b-f9cd-4777-917a-9a0f97d2d7e7","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",4291,"2022-05-25T08:40:00Z",388.00,388.40,11.03,529.75,529.21,533.26,532.71
"b1c57415-19fa-4d6d-bccb-e843bf4bf7ee","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",3433,"2022-05-25T06:17:00Z",388.20,388.30,11.32,525.64,525.51,529.23,529.09
"d8d4cb07-72ea-47f4-a3f6-f5e8566596d6","49461ab0-572e-4934-822a-abe9f0c5830d","D10","ARIK","ARIK.AOS.reaeration.station.01","ARIK_S1_20220524","2022-05-24T21:46Z",3744,"2022-05-25T07:08:50Z",387.80,388.00,11.18,527.15,526.87,530.69,530.42
