uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"67fa1d8e-1ec2-4a70-a98e-a1a974ff0762","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.19.20180813.GAS","A00000025669",0.503,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"907f6484-6f8d-47b9-a104-6666dd4b5ddf","D17","BIGC","BIGC.AOS.reaeration.station.03","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.14.20180813.GAS","A00000025634",0.539,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"810c90c3-376a-4625-b462-c742cfb86f92","D17","BIGC","BIGC.AOS.reaeration.station.02","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.06.20180813.GAS","A00000025649",0.996,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"581bac75-1cd9-409f-af49-646131d79f3c","D17","BIGC","BIGC.AOS.reaeration.station.03","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.13.20180813.GAS","A00000025685",0.540,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"4308fe50-482d-423d-a4f7-e204563daa19","D17","BIGC","BIGC.AOS.reaeration.station.02","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.10.20180813.GAS","A00000025683",0.850,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"0f8fd289-f21a-4afa-855b-164f209670e6","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.17.20180813.GAS","A00000025635",0.503,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"23b88489-9a5e-4724-b647-29ac7b50beff","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.20.20180813.GAS","A00000025686",0.501,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"0b4ae3d8-d644-4bcc-a5f9-8b7a9e7f7d8d","D17","BIGC","BIGC.AOS.reaeration.station.01","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.02.20180813.GAS","A00000025681",2.055,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"5baffad4-b0b0-4f4c-9ca1-2a069d4e6454","D17","BIGC","BIGC.AOS.reaeration.station.03","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.11.20180813.GAS","A00000025667",0.584,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"afcc8f58-2806-424d-980f-2fc3cc8a2dfb","D17","BIGC","BIGC.AOS.reaeration.station.03","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.12.20180813.GAS","A00000025684",0.534,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"ec3e32bf-dfa0-4e4d-962b-343218bee399","D17","BIGC","BIGC.AOS.reaeration.station.01","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.05.20180813.GAS","A00000025648",1.860,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"1ac83c6e-3456-4e56-9144-e1437004a1a2","D17","BIGC","BIGC.AOS.reaeration.station.02","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.09.20180813.GAS","A00000025666",1.028,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"1433959a-e458-498c-ac60-f08ae3c7b0d5","D17","BIGC","BIGC.AOS.reaeration.station.01","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.01.20180813.GAS","A00000030425",1.418,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"f1962754-00f7-4b32-82fd-8a57f69170ff","D17","BIGC","BIGC.AOS.reaeration.station.03","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.15.20180813.GAS","A00000025668",0.550,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"0ef91082-d766-4990-b74f-6b078df45d0e","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.16.20180813.GAS","A00000025651",0.504,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"39199bae-6a7a-4490-bd86-72f3c4fd7d04","D17","BIGC","BIGC.AOS.reaeration.station.04","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.18.20180813.GAS","A00000025652",0.501,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"087898a3-8a62-4fec-80e3-4e6159929c79","D17","BIGC","BIGC.AOS.reaeration.station.01","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.04.20180813.GAS","A00000025665",2.020,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"56ccfc05-7e03-49a0-a2b3-8b493cdd7f24","D17","BIGC","BIGC.AOS.reaeration.station.02","2018-08-13T19:04Z","2018-10-24T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BIGC.08.20180813.GAS","A00000030444",1.006,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
