uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"7410a4c5-6f70-4bae-93df-5c1cc585ffb8","D17","BIGC","BIGC.AOS.reaeration.station.01","2019-05-08T17:30Z","2019-05-08T20:10Z",1,"BIGC.01.20190508","BIGC.01.20190508.GAS","BIGC.01.20190508.TCR",,
"789d782c-0534-4749-b815-bedce35b4b1a","D17","BIGC","BIGC.AOS.reaeration.station.02","2019-05-08T17:30Z","2019-05-08T20:14Z",4,"BIGC.09.20190508","BIGC.09.20190508.GAS","BIGC.09.20190508.TCR",,
"1f312e6c-96d2-4fc4-882a-a62acb4b00b0","D17","BIGC","BIGC.AOS.reaeration.station.04","2019-05-08T17:30Z","2019-05-08T20:22Z",5,"BIGC.20.20190508","BIGC.20.20190508.GAS","BIGC.20.20190508.TCR",,
"b574b908-dfec-4820-8bf3-d8f50c6dbb44","D17","BIGC","BIGC.AOS.reaeration.station.04","2019-05-08T17:30Z","2019-05-08T20:22Z",4,"BIGC.19.20190508","BIGC.19.20190508.GAS","BIGC.19.20190508.TCR",,
"dae77b5b-58f2-4dba-9100-0877a57beb2d","D17","BIGC","BIGC.AOS.reaeration.station.03","2019-05-08T17:30Z","2019-05-08T20:18Z",2,"BIGC.12.20190508","BIGC.12.20190508.GAS","BIGC.12.20190508.TCR",,
"49f29674-2c2c-4eda-ac11-44c9ab7c8baf","D17","BIGC","BIGC.AOS.reaeration.station.02","2019-05-08T17:30Z","2019-05-08T20:14Z",3,"BIGC.08.20190508","BIGC.08.20190508.GAS","BIGC.08.20190508.TCR",,
"6bb50089-1ccc-41a4-9a0e-55eceeb0caf0","D17","BIGC","BIGC.AOS.reaeration.station.02","2019-05-08T17:30Z","2019-05-08T20:14Z",1,"BIGC.06.20190508","BIGC.06.20190508.GAS","BIGC.06.20190508.TCR",,
"bce6e766-fb22-4227-8600-ff4b41ff4c5b","D17","BIGC","BIGC.AOS.reaeration.station.03","2019-05-08T17:30Z","2019-05-08T20:18Z",4,"BIGC.14.20190508","BIGC.14.20190508.GAS","BIGC.14.20190508.TCR",,
"72c39a0d-8fc7-4966-b8fa-190cc955d187","D17","BIGC","BIGC.AOS.reaeration.station.04","2019-05-08T17:30Z","2019-05-08T20:22Z",1,"BIGC.16.20190508","BIGC.16.20190508.GAS","BIGC.16.20190508.TCR",,
"ad53e7ec-5a5f-49fb-80f4-3979a309941f","D17","BIGC","BIGC.AOS.reaeration.station.01","2019-05-08T17:30Z","2019-05-08T20:10Z",2,"BIGC.02.20190508","BIGC.02.20190508.GAS","BIGC.02.20190508.TCR",,
"26e6245f-21c9-49b1-b480-3f7995ca0daf","D17","BIGC","BIGC.AOS.reaeration.station.01","2019-05-08T17:30Z","2019-05-08T20:10Z",3,"BIGC.03.20190508","BIGC.03.20190508.GAS","BIGC.03.20190508.TCR",,
"c9fba61a-2d47-4a93-b131-c82665fe7d5b","D17","BIGC","BIGC.AOS.reaeration.station.01","2019-05-08T17:30Z","2019-05-08T20:10Z",4,"BIGC.04.20190508","BIGC.04.20190508.GAS","BIGC.04.20190508.TCR",,
"6b09aab0-1a22-430e-85e5-24858200f0db","D17","BIGC","BIGC.AOS.reaeration.station.03","2019-05-08T17:30Z","2019-05-08T20:18Z",1,"BIGC.11.20190508","BIGC.11.20190508.GAS","BIGC.11.20190508.TCR",,
"e840f9e2-37ef-4429-98fd-ddf538528d9d","D17","BIGC","BIGC.AOS.reaeration.station.04","2019-05-08T17:30Z","2019-05-08T20:22Z",3,"BIGC.18.20190508","BIGC.18.20190508.GAS","BIGC.18.20190508.TCR",,
"53dbcc80-3f27-4767-a4a8-1372579a3af8","D17","BIGC","BIGC.AOS.reaeration.station.03","2019-05-08T17:30Z","2019-05-08T20:18Z",5,"BIGC.15.20190508","BIGC.15.20190508.GAS","BIGC.15.20190508.TCR",,
"731ea866-e8f4-4f12-b06c-cf0764d9cbfe","D17","BIGC","BIGC.AOS.reaeration.station.02","2019-05-08T17:30Z","2019-05-08T20:14Z",5,"BIGC.10.20190508","BIGC.10.20190508.GAS","BIGC.10.20190508.TCR",,
"076cc7ed-4459-4eb9-ba20-aa4dc9c2ee10","D17","BIGC","BIGC.AOS.reaeration.station.01","2019-05-08T17:30Z","2019-05-08T20:10Z",5,"BIGC.05.20190508","BIGC.05.20190508.GAS","BIGC.05.20190508.TCR",,
"afae297d-f874-4f0a-a608-c6336ab31afa","D17","BIGC","BIGC.AOS.reaeration.station.04","2019-05-08T17:30Z","2019-05-08T20:22Z",2,"BIGC.17.20190508","BIGC.17.20190508.GAS","BIGC.17.20190508.TCR",,
"db09c292-9c56-4a1c-b1d9-5042ba7f7cab","D17","BIGC","BIGC.AOS.reaeration.station.03","2019-05-08T17:30Z","2019-05-08T20:18Z",3,"BIGC.13.20190508","BIGC.13.20190508.GAS","BIGC.13.20190508.TCR",,
"db9b46ce-b71d-458f-8c7c-224e12083715","D17","BIGC","BIGC.AOS.reaeration.station.02","2019-05-08T17:30Z","2019-05-08T20:14Z",2,"BIGC.07.20190508","BIGC.07.20190508.GAS","BIGC.07.20190508.TCR",,
