uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"cfb9aa26-9517-450d-b893-7307c14e8727","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",17,3.90,
"62015953-67f5-4802-a4c9-5d52f03bc8e2","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",27,4.00,
"cb569140-5267-4086-b6e8-adf84a9caa5e","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",29,4.65,
"6dbe4fac-45a5-4b6b-b1fc-a5b6b058d263","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",16,4.45,
"c3a46be6-2ae2-45e9-9175-46673ac150fa","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",10,4.60,
"03546d49-b7fd-4ec7-af34-4de2b610b606","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",30,3.55,
"39e3f7c7-4357-4283-a32b-42ad1906b5cf","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",18,4.20,
"a66bf28e-c716-416a-af3a-28840fbe2c79","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",6,4.50,
"2772aad4-3a24-4016-bac5-c310a3f0ae29","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",15,4.45,
"7b17ff5a-96a2-4fb2-93bc-858e8cee2846","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",12,3.30,
"b26e2648-8bdc-4731-8046-1d13c70af4a5","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",19,5.75,
"83539076-39c7-43da-83f2-3ddcdef13b3c","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",25,3.50,
"ea302e6d-d769-4450-88e7-32273ff3d34a","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",3,3.35,
"4561ea48-312a-4be3-9b01-f480156dac29","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",28,4.75,
"d3ebc5b4-47b5-4752-a65d-06dd4a1e38b7","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",2,3.60,
"4935e92f-1bc0-4244-bf38-2626674b5f21","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",9,3.55,
"27f30510-f6ff-4d09-bbf4-ce1bf913e646","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",7,3.10,
"a78a9311-bb6a-47df-81a0-bc2f0cad2f10","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",4,3.95,
"33f52b86-fff5-403e-b239-9afdc6dc4ff4","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",21,4.95,
"e11814bf-9b67-417f-8d63-0323e94a8e7a","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",23,4.35,
"bbbaa583-d07a-4b42-b7d3-5aa0f314f15d","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",26,3.90,
"e4e67065-03f3-4523-854a-4cc1970195ad","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",14,2.60,
"7545963a-526e-493c-8090-aa554081be91","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",1,4.87,
"6993ba8a-558c-41fd-9e89-22babf5d94d2","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",5,4.35,
"a3e1411b-7aad-4cde-875b-995f44685d9f","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",20,6.05,
"5e694440-8aa0-49e4-8154-550e897cd163","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",8,1.50,
"2e9a9273-d364-4f42-8101-07302f4a2714","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",24,4.60,
"200fa17d-27b0-428d-b989-87b79a8cfc1b","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",22,5.55,
"b7ed529c-2608-486a-80a9-92c9337199a9","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",11,4.85,
"7c91dc9b-8f36-4fbc-b4b5-4222e1d69b91","D17","BIGC","BIGC","2019-05-08T17:30Z","Tape",13,2.45,
