uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"968caa4f-28ec-43b8-8af7-550b33853422","D17","BIGC","BIGC.AOS.reaeration.station.01","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.02.20210408.TCR","A00000149141","chloride",24.900,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"5b041d51-784d-4132-a6bc-009d49cb5010","D17","BIGC","BIGC.AOS.reaeration.station.01","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.03.20210408.TCR","A00000149124","chloride",24.900,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"2a8a2efe-5d2c-4721-a88a-cb85377d29ae","D17","BIGC","BIGC.AOS.reaeration.station.03","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.12.20210408.TCR","A00000149118","chloride",24.500,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"ec63ba96-20b7-4386-8191-dcfe4bac1eaf","D17","BIGC","BIGC.AOS.reaeration.station.04","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.19.20210408.TCR","A00000149121","chloride",24.800,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"712b6353-1018-4ead-9ec6-a8b41bceff71","D17","BIGC","BIGC.AOS.reaeration.station.02","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.09.20210408.TCR","A00000149136","chloride",24.800,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"49d93f78-8807-407a-9732-6c4b37581609","D17","BIGC","BIGC.AOS.reaeration.station.02","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.B2.20210408.TCR","A00000149109","chloride",21.800,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"cef17574-4603-4ce1-897a-80f0ea7640d8","D17","BIGC","BIGC.AOS.reaeration.station.02","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.06.20210408.TCR","A00000149139","chloride",24.700,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"813e8e8d-25aa-46dd-bac4-ff6e9b4d5831","D17","BIGC","BIGC.AOS.reaeration.station.04","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.18.20210408.TCR","A00000149122","chloride",24.900,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"ce72f33b-8b68-4a61-a185-c3b9976c9dfe","D17","BIGC","BIGC.AOS.reaeration.station.04","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.17.20210408.TCR","A00000149133","chloride",24.500,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
"0f04125e-1157-42e4-aa21-9e36ab0f10e6","D17","BIGC","BIGC.AOS.reaeration.station.04","2021-04-08T18:13Z","Aquatic Biogeochemistry Lab at Utah State University","BIGC.B4.20210408.TCR","A00000149107","chloride",21.900,0,"2021-09-20T18:00Z","LIkHXDtHFXY=","OK",,,1
