uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"f0f5219b-b729-4dc5-bee0-a17c82c89cfc","D12","BLDE","BLDE.AOS.reaeration.station.01","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.02.20180815.GAS","A00000031099",0.940,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"26292017-dbc9-41d5-bf87-78d5e798605b","D12","BLDE","BLDE.AOS.reaeration.station.03","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.15.20180815.GAS","A00000031684",0.723,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"6a06f476-dbcb-47ce-907d-3316583c90a5","D12","BLDE","BLDE.AOS.reaeration.station.01","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.04.20180815.GAS","A00000031700",0.800,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"0850bc67-a755-43e2-8191-ba63f0668455","D12","BLDE","BLDE.AOS.reaeration.station.04","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.16.20180815.GAS","A00000031683",0.691,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"dd33e24e-0790-453d-88c7-4cf4181486e9","D12","BLDE","BLDE.AOS.reaeration.station.03","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.14.20180815.GAS","A00000031685",0.724,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"60fe8acc-32c5-41b5-bc63-233c158703a0","D12","BLDE","BLDE.AOS.reaeration.station.02","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.10.20180815.GAS","A00000031703",0.759,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"4f253a1e-46e0-44ed-ad5a-8e20d10edd62","D12","BLDE","BLDE.AOS.reaeration.station.03","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.12.20180815.GAS","A00000031101",0.759,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"488adc9c-9258-4808-b4af-9dba7f61f53f","D12","BLDE","BLDE.AOS.reaeration.station.01","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.03.20180815.GAS","A00000031701",0.771,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"20a62213-1212-49b6-8845-9e421c8915a2","D12","BLDE","BLDE.AOS.reaeration.station.04","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.18.20180815.GAS","A00000031705",0.693,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"fae9df11-abf1-4c00-84bb-aa95128f7e27","D12","BLDE","BLDE.AOS.reaeration.station.02","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.08.20180815.GAS","A00000031704",0.782,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"c9eb2e12-c57e-47b8-b12d-76f871933fc4","D12","BLDE","BLDE.AOS.reaeration.station.01","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.01.20180815.GAS","A00000031098",0.898,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"5ac611db-4dbf-42df-bee1-1f711077f439","D12","BLDE","BLDE.AOS.reaeration.station.03","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.11.20180815.GAS","A00000031689",0.736,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"59b3732f-adbf-4f8e-b8d4-2f5fcd2a1d04","D12","BLDE","BLDE.AOS.reaeration.station.04","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.19.20180815.GAS","A00000031706",0.727,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"acc74af6-0e05-4ebf-b448-59960789b998","D12","BLDE","BLDE.AOS.reaeration.station.01","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.05.20180815.GAS","A00000031702",0.839,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"4d52def0-38cb-4e24-9d0c-a9199e274118","D12","BLDE","BLDE.AOS.reaeration.station.02","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.06.20180815.GAS","A00000031686",0.771,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"27817a2e-bb5e-4026-991f-12066ed9ea7e","D12","BLDE","BLDE.AOS.reaeration.station.03","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.13.20180815.GAS","A00000031087",0.727,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"4cce9f8e-15c0-431c-9133-cf602e11f8a7","D12","BLDE","BLDE.AOS.reaeration.station.02","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.07.20180815.GAS","A00000031688",0.742,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"4a75a6a4-1453-4306-b5c6-cfc15fd74ce9","D12","BLDE","BLDE.AOS.reaeration.station.04","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.17.20180815.GAS","A00000031682",0.671,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"ffb9e409-f3a3-4650-9fa6-b23c52c33496","D12","BLDE","BLDE.AOS.reaeration.station.04","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.20.20180815.GAS","A00000031699",0.697,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
"138f4341-3ee0-41af-8ae9-ccf515ce6bf8","D12","BLDE","BLDE.AOS.reaeration.station.02","2018-08-15T15:03Z","2018-10-29T12:00Z","Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","BLDE.09.20180815.GAS","A00000031687",0.761,0.050,2.060,2.000,"OK",,"/eOrPuXuUuE=",,0.02,0
