uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"2591deb3-82f6-4c90-8512-a78fbf90cf03","D12","BLDE","BLDE","2018-09-25T15:02Z",,5,3.40,
"172b9f33-03ff-491d-b3fb-a46137ea57c1","D12","BLDE","BLDE","2018-09-25T15:02Z",,1,4.45,
"e05ce5d9-af9a-412d-9ae0-93e793fdf6ad","D12","BLDE","BLDE","2018-09-25T15:02Z",,21,2.90,
"33572658-1f3f-44ef-b19e-5a3065587ab0","D12","BLDE","BLDE","2018-09-25T15:02Z",,12,3.25,
"2fcbfbac-d902-4e95-b823-ade4ae5355d9","D12","BLDE","BLDE","2018-09-25T15:02Z",,2,3.60,
"303888b2-df50-4cb9-a9b6-0b7dab680f4e","D12","BLDE","BLDE","2018-09-25T15:02Z",,25,2.90,
"d1c09247-9043-4411-9ef8-5239eb7ce4c7","D12","BLDE","BLDE","2018-09-25T15:02Z",,29,2.70,
"c8c302b5-9709-4b70-9cb2-99a4c54ea2cb","D12","BLDE","BLDE","2018-09-25T15:02Z",,28,3.30,
"2d213813-1b21-4505-ae4c-127f394eeead","D12","BLDE","BLDE","2018-09-25T15:02Z",,6,4.70,
"a7d82838-f245-49f1-90bd-5047b8344bba","D12","BLDE","BLDE","2018-09-25T15:02Z",,26,2.50,
"5f714dff-0071-48d7-9d97-eaad0c022628","D12","BLDE","BLDE","2018-09-25T15:02Z",,18,1.40,
"8a3812c6-ec6b-4b4f-a262-6d095415ce5b","D12","BLDE","BLDE","2018-09-25T15:02Z",,17,4.50,
"b18db2b9-8767-4843-b493-4a171b72db58","D12","BLDE","BLDE","2018-09-25T15:02Z",,24,3.10,
"3c3ff120-979e-4914-9536-068724405676","D12","BLDE","BLDE","2018-09-25T15:02Z",,13,1.90,
"6c8212e3-afc9-4070-a86e-a4ae0cb2f066","D12","BLDE","BLDE","2018-09-25T15:02Z",,7,4.00,
"6d8739f2-a893-491a-9e32-05f71f6d6d94","D12","BLDE","BLDE","2018-09-25T15:02Z",,27,2.40,
"4094132c-e4bd-4bdd-b6da-21a43b1e56eb","D12","BLDE","BLDE","2018-09-25T15:02Z",,10,1.90,
"194b94e0-30da-4884-ac1c-3253480c6322","D12","BLDE","BLDE","2018-09-25T15:02Z",,22,3.90,
"16d00a6a-2f20-4894-8b60-df64de9c0c80","D12","BLDE","BLDE","2018-09-25T15:02Z",,19,5.40,
"8a7063f9-48bc-4f95-acd2-b0c48d7073dc","D12","BLDE","BLDE","2018-09-25T15:02Z",,11,3.65,
"8567a761-f4b7-4847-9f4a-5a964d0fbba2","D12","BLDE","BLDE","2018-09-25T15:02Z",,8,1.55,
"db6353f8-fcb5-4c8f-8e60-386c12dad842","D12","BLDE","BLDE","2018-09-25T15:02Z",,16,3.20,
"c26b385f-a07f-491d-90a2-353b424fea86","D12","BLDE","BLDE","2018-09-25T15:02Z",,9,3.30,
"d823d326-7dca-442c-bdb4-22f7bb99d800","D12","BLDE","BLDE","2018-09-25T15:02Z",,30,3.00,
"e96ef78e-01ca-4135-9c87-b0172739ddec","D12","BLDE","BLDE","2018-09-25T15:02Z",,3,2.40,
"1462e722-f5b4-4ccd-b735-4e3f594e40c2","D12","BLDE","BLDE","2018-09-25T15:02Z",,4,2.95,
"5a8e2615-fc72-46ed-b134-02af74371b25","D12","BLDE","BLDE","2018-09-25T15:02Z",,20,2.95,
"77fcf2c7-3cf9-4fae-b014-67e855affda6","D12","BLDE","BLDE","2018-09-25T15:02Z",,23,2.90,
"f1d42682-b2c7-46b1-bd6d-e9bbba445830","D12","BLDE","BLDE","2018-09-25T15:02Z",,14,2.80,
"7a48a005-f3b6-454c-83af-b67074201488","D12","BLDE","BLDE","2018-09-25T15:02Z",,15,2.75,
