uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"0b659c5c-2d29-4fd9-b6cc-0f463c7fd674","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",965,"2021-09-07T23:40:40Z",536.60,450.30,23.48,463.76,552.64,464.59,553.63
"1579a140-a390-4d1d-9869-ef9fd6a13f23","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",93,"2021-09-07T21:15:20Z",1.90,1.40,28.07,1.32,1.79,1.32,1.79
"f41de015-8b9d-4db5-9412-e9110f58e82e","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",597,"2021-09-07T22:39:20Z",537.30,444.20,32.40,389.19,470.76,385.18,465.90
"2c51a36a-9cc1-4c6a-b32d-48cc87e877fb","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",293,"2021-09-07T21:48:40Z",532.80,435.40,32.10,383.41,469.18,379.62,464.55
"c7dd15fd-2347-45d1-b528-dd3719f4e6f2","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",911,"2021-09-07T23:31:40Z",539.50,451.90,23.38,466.33,556.73,467.21,557.78
"5fe22fe3-383f-436a-9ec6-8aacbf0124e9","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",4,"2021-09-07T21:00:30Z",1.90,1.40,27.87,1.33,1.80,1.32,1.79
"45b12b71-8b31-44e7-bd95-028ae9489150","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",835,"2021-09-07T23:19:00Z",541.90,452.30,23.24,468.03,560.75,468.99,561.90
"de1c4016-6811-47d1-a10d-6069487e3e65","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",1063,"2021-09-07T23:57:00Z",528.30,444.60,23.65,456.37,542.28,457.09,543.14
"242aa1f8-3d2f-4fc2-97e0-7e9b365e4f66","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",733,"2021-09-07T23:02:00Z",543.30,451.60,23.04,469.16,564.43,470.23,565.71
"b1896ac5-326b-415d-b54a-e243af30e913","7102f2b0-a5ae-46c1-8e51-5fcf6bdb7c12","D11","BLUE","BLUE.AOS.reaeration.station.01","BLUE_S1_20210907","2021-09-07T18:25Z",1079,"2021-09-07T23:59:40Z",526.60,443.10,23.67,454.65,540.33,455.36,541.17
