uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"942a8470-45d7-4cb5-bc09-e986e4975179","D19","CARI","CARI.AOS.reaeration.station.02","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.09.20170915.GAS",,1.197,0.050,2.700,2.000,"OK",,,,0.02,-1
"f4a5e209-fd3f-4a83-94da-d935cc9b231e","D19","CARI","CARI.AOS.reaeration.station.02","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.08.20170915.GAS",,1.162,0.050,2.700,2.000,"OK",,,,0.02,-1
"ee046636-9aa1-4e45-a828-456a3bcf1e12","D19","CARI","CARI.AOS.reaeration.station.04","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.19.20170915.GAS",,1.102,0.050,2.700,2.000,"OK",,,,0.02,-1
"6073530f-2390-4d64-9e74-11c7bfeebb55","D19","CARI","CARI.AOS.reaeration.station.01","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.02.20170915.GAS",,1.168,0.050,2.700,2.000,"OK",,,,0.02,-1
"e6702f7d-7c45-4614-b4dd-95e5c367525f","D19","CARI","CARI.AOS.reaeration.station.03","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.15.20170915.GAS",,1.262,0.050,2.700,2.000,"OK",,,,0.02,-1
"65243ea7-bd69-44f2-b304-0068e2e927ed","D19","CARI","CARI.AOS.reaeration.station.01","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.01.20170915.GAS",,1.229,0.050,2.700,2.000,"OK",,,,0.02,-1
"bf0e6654-905a-4fe3-ae50-361d659c0510","D19","CARI","CARI.AOS.reaeration.station.04","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.20.20170915.GAS",,1.024,0.050,2.700,2.000,"OK",,,,0.02,-1
"e0a6e648-da5b-41c4-84be-3bcbdb0c371c","D19","CARI","CARI.AOS.reaeration.station.01","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.04.20170915.GAS",,1.177,0.050,2.700,2.000,"OK",,,,0.02,-1
"52e9da20-1ca9-4bf3-9c31-2570c6ff85b1","D19","CARI","CARI.AOS.reaeration.station.02","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.07.20170915.GAS",,1.149,0.050,2.700,2.000,"OK",,,,0.02,-1
"25a89c97-ea84-49fb-9fc7-8203e978f5c6","D19","CARI","CARI.AOS.reaeration.station.01","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.05.20170915.GAS",,0.624,0.050,2.700,2.000,"OK",,,,0.02,-1
"50117d6a-b327-4e64-92b2-7655b35c4ea2","D19","CARI","CARI.AOS.reaeration.station.03","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.14.20170915.GAS",,1.047,0.050,2.700,2.000,"OK",,,,0.02,-1
"aefc5d78-0ffd-4cd3-91fb-9fbaf6153fcb","D19","CARI","CARI.AOS.reaeration.station.03","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.12.20170915.GAS",,1.016,0.050,2.700,2.000,"OK",,,,0.02,-1
"1389be54-570c-438b-bbb5-a94864c92ba7","D19","CARI","CARI.AOS.reaeration.station.01","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.03.20170915.GAS",,1.288,0.050,2.700,2.000,"OK",,,,0.02,-1
"43a880b3-db47-4678-9a68-24c07a878724","D19","CARI","CARI.AOS.reaeration.station.04","2017-09-15T18:31Z",,"Aquatic Biogeochemistry Lab at Utah State University","Sulfur Hexafluoride (SF6)","CARI.16.20170915.GAS",,1.157,0.050,2.700,2.000,"OK",,,,0.02,-1
