uid,recorduid,domainID,siteID,namedLocation,hoboSampleID,startDate,measurementNumber,dateTimeLogger,lowRangeHobo,fullRangeHobo,waterTemp,fullRangeSpCondLinear,lowRangeSpCondLinear,fullRangeSpCondNonlinear,lowRangeSpCondNonlinear
"d182f87c-d555-4a13-9c9e-e01ca63a4e47","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",118,"2018-06-20T19:36:13Z",48.90,,4.01,,81.62,,81.15
"5f75d491-984f-457d-9fd4-b1ee3f0a878e","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",1315,"2018-06-20T22:55:43Z",50.90,,5.89,,80.16,,80.10
"c1249230-5228-431d-b5e4-c301ceb8a47e","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",395,"2018-06-20T20:22:23Z",48.80,,4.41,,80.43,,80.06
"c0e7341f-feff-4bdc-957b-5de209952168","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",1385,"2018-06-20T23:07:23Z",51.00,,5.97,,80.12,,80.08
"43aeb269-f0f7-4a79-b96e-8f3f66f9b324","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",602,"2018-06-20T20:56:53Z",49.30,,4.76,,80.37,,80.08
"1f2806a7-d35c-474f-8c04-58527ed4bd66","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",1198,"2018-06-20T22:36:13Z",50.70,,5.73,,80.23,,80.14
"329804ca-cf9c-4687-b518-72a59c9826cb","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",1023,"2018-06-20T22:07:03Z",50.30,,5.46,,80.25,,80.11
"7c81c37c-ab6c-4f26-9287-5727cee21c02","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",1665,"2018-06-20T23:54:03Z",54.50,,31.25,,48.69,,48.27
"71fe0b2b-4544-4c45-b125-c6bee1dbc2a6","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",1651,"2018-06-20T23:51:43Z",54.00,,31.00,,48.45,,48.05
"3e461c7c-19c2-4f80-a3cf-b05365702708","f5c5df95-5143-4496-bf7d-d00d38309403","D19","CARI","CARI.AOS.reaeration.station.01","CARI_S1_20180620","2018-06-20T20:41Z",1726,"2018-06-21T00:04:13Z",57.30,,32.19,,50.38,,49.88
