uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"6babbd49-3c69-4f06-ba13-d0a47cfd8cce","D19","CARI","CARI","2018-10-05T19:46Z",,27,2.40,
"ff55a5bd-4879-4cfe-b20b-80557abdca62","D19","CARI","CARI","2018-10-05T19:46Z",,23,2.80,
"36129c02-f92c-42b2-ad1a-7b928bbd38ff","D19","CARI","CARI","2018-10-05T19:46Z",,7,4.30,
"d512bfbe-0529-49ae-8abc-f229a81ccb91","D19","CARI","CARI","2018-10-05T19:46Z",,18,3.70,
"23015293-a8be-4e9d-bfb2-ed7d76d8c46b","D19","CARI","CARI","2018-10-05T19:46Z",,25,3.10,
"319d69d8-62e1-4780-bac9-9c6e13d8551d","D19","CARI","CARI","2018-10-05T19:46Z",,21,3.40,
"ad499e6e-9b94-44a5-82fd-e0934b83bbb3","D19","CARI","CARI","2018-10-05T19:46Z",,30,3.00,
"8241fdb6-3a54-4247-ac39-0547d3bf3b87","D19","CARI","CARI","2018-10-05T19:46Z",,20,2.40,
"ce56ab6a-cfce-4b18-9cba-774c898d6f18","D19","CARI","CARI","2018-10-05T19:46Z",,10,2.10,
"8d2a1591-f841-49bc-b5c9-469c9af901be","D19","CARI","CARI","2018-10-05T19:46Z",,3,2.50,
"eddd1147-fbf7-4a31-be38-0072ad27321a","D19","CARI","CARI","2018-10-05T19:46Z",,12,2.70,
"3db26789-9a6b-4355-9955-60b3de875541","D19","CARI","CARI","2018-10-05T19:46Z",,26,5.80,
"7ac574c2-1cf9-4052-8dea-5e602344b74d","D19","CARI","CARI","2018-10-05T19:46Z",,16,2.10,
"b7a9855d-52df-47d5-ac0f-3699552307c6","D19","CARI","CARI","2018-10-05T19:46Z",,24,2.50,
"2e6ab1bd-aa21-4d46-baeb-8cf5da4438a1","D19","CARI","CARI","2018-10-05T19:46Z",,22,4.00,
"52c49cbc-45e1-4b11-8413-2d24cf69eab8","D19","CARI","CARI","2018-10-05T19:46Z",,1,4.40,
"54f743c7-145a-4810-8242-759ce26cc39c","D19","CARI","CARI","2018-10-05T19:46Z",,9,2.10,
"d902af40-343c-4862-935f-6d43b16fe313","D19","CARI","CARI","2018-10-05T19:46Z",,19,3.00,
"78ff50a1-92c2-48b4-8004-50709f2076cb","D19","CARI","CARI","2018-10-05T19:46Z",,13,2.20,
"f7255ead-f6ae-4fb7-b6d1-6616647f7300","D19","CARI","CARI","2018-10-05T19:46Z",,29,3.70,
"6a92889e-4120-4848-927f-e16a18d70377","D19","CARI","CARI","2018-10-05T19:46Z",,2,3.20,
"dccd10e5-ba53-42c0-9815-74c50233556f","D19","CARI","CARI","2018-10-05T19:46Z",,14,2.70,
"6a046138-c076-4578-9ff0-b6d8617ee033","D19","CARI","CARI","2018-10-05T19:46Z",,5,2.80,
"004475e5-9ea3-442d-820d-1eb79b86a659","D19","CARI","CARI","2018-10-05T19:46Z",,6,2.00,
"023e6217-d9e7-4843-8068-593c91d7c2c1","D19","CARI","CARI","2018-10-05T19:46Z",,4,3.00,
"2ad6825e-22c8-4eb5-8018-ab2b146502df","D19","CARI","CARI","2018-10-05T19:46Z",,8,2.30,
"b6ccbbdf-964f-4b08-bdfd-7c29eae185e2","D19","CARI","CARI","2018-10-05T19:46Z",,28,1.60,
"64fad803-26e6-41a6-9917-6ce6a66bcc9b","D19","CARI","CARI","2018-10-05T19:46Z",,11,2.90,
"04127835-5ec2-4879-b2cb-0ec64c3d43d3","D19","CARI","CARI","2018-10-05T19:46Z",,17,3.50,
"5ccaf1cf-fc2b-4c5f-bc08-12c1733b1fdb","D19","CARI","CARI","2018-10-05T19:46Z",,15,3.80,
