uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"9a596f65-e7d8-4d27-88f7-50e1fc18f0be","D19","CARI","CARI.AOS.reaeration.station.01","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.03.20190613.TCR","A00000065552","bromide",0.0245,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"d22fada9-d513-499f-aa1d-68c091dc242b","D19","CARI","CARI.AOS.reaeration.station.01","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.02.20190613.TCR","A00000065536","bromide",0.0235,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"e8b413f3-54a5-4e94-8678-3f3cb8f3cdd3","D19","CARI","CARI.AOS.reaeration.station.04","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.B4.20190613.TCR","A00000065553","bromide",,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"f609bd5b-f65f-4741-892c-9bbd3b44be4d","D19","CARI","CARI.AOS.reaeration.station.03","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.13.20190613.TCR","A00000065527","bromide",0.0249,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"8a96c17e-4e51-4984-bd00-adad08deafb7","D19","CARI","CARI","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.00.20190613.TCR","A00000065539","bromide",2185.000,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"682fd07f-397a-4a92-bef2-ab2a9f825314","D19","CARI","CARI.AOS.reaeration.station.02","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.09.20190613.TCR","A00000065522","bromide",0.0277,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"ba5e2d6f-b253-4b1f-a528-6ab8d2a35524","D19","CARI","CARI.AOS.reaeration.station.02","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.B2.20190613.TCR","A00000065555","bromide",,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"98b231f0-6b46-4c13-96ed-6fa736aa3f2a","D19","CARI","CARI.AOS.reaeration.station.03","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.12.20190613.TCR","A00000065526","bromide",0.0252,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"767422b4-5331-4c13-b715-c26bef14b29e","D19","CARI","CARI.AOS.reaeration.station.02","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.06.20190613.TCR","A00000065521","bromide",0.0201,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
"24e80093-9f2d-48dd-9dbd-c7691638604e","D19","CARI","CARI.AOS.reaeration.station.02","2019-06-13T20:39Z","Aquatic Biogeochemistry Lab at Utah State University","CARI.08.20190613.TCR","A00000065520","bromide",0.0275,1,"2019-08-02T18:00Z","LIkHXDtHFXY=","OK",,,1
