uid,domainID,siteID,namedLocation,startDate,analysisDate,laboratoryName,gasTracerType,gasSampleID,sampleCode,gasTracerConcentration,runDetectionLimit,labStandardPrecision,certifiedStandardAccuracy,sampleCondition,analyticalReplicateGAS,analyzedBy,remarks,gasVolumeAnalyzed,gasCheckStandardQF
"f57dea06-feda-47f8-865f-0eedceb28f70","D13","COMO","COMO.AOS.reaeration.station.03","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.12.20151012.GAS",,1.9741,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"7700fe0c-a01d-4b24-b969-65f6284aced3","D13","COMO","COMO.AOS.reaeration.station.03","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.15.20151012.GAS",,1.8778,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"ec42d6e8-399d-423d-a4c6-0c2042562b45","D13","COMO","COMO.AOS.reaeration.station.04","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.17.20151012.GAS",,0.84629,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"75344398-9306-40dc-8c7d-0fae2e1960f0","D13","COMO","COMO.AOS.reaeration.station.04","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.20.20151012.GAS",,0.79533,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"ecba2791-a94b-4dfa-9785-d79e887c488e","D13","COMO","COMO.AOS.reaeration.station.03","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.14.20151012.GAS",,2.0529,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"487be785-f414-439e-a92e-aacab45b0ebb","D13","COMO","COMO.AOS.reaeration.station.04","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.19.20151012.GAS",,0.86966,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"842c8326-a8bb-43b3-8aa8-b86fd80dfc79","D13","COMO","COMO.AOS.reaeration.station.04","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.16.20151012.GAS",,0.84935,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"a3696da0-1df0-463b-bb1e-3ee5050ac2b5","D13","COMO","COMO.AOS.reaeration.station.03","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.11.20151012.GAS",,2.0227,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"e7517c33-7b9e-4be6-950c-f68ece25f042","D13","COMO","COMO.AOS.reaeration.station.04","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.18.20151012.GAS",,0.82628,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
"03ba74d1-6f43-4187-8ddb-ef32be8eb38c","D13","COMO","COMO.AOS.reaeration.station.03","2015-10-12T16:50Z","2015-11-10T12:00Z","Loecke Lab at University of Nebraska","Sulfur Hexafluoride (SF6)","COMO.13.20151012.GAS",,1.8188,0.033,1.100,2.000,"OK",,"oBt8NTeZH2zUfw91zTCseA==","None",0.25,-1
