uid,domainID,siteID,namedLocation,startDate,laboratoryName,saltSampleID,sampleCode,analyte,finalConcentration,saltBelowDetectionQF,analysisDate,analyzedBy,sampleCondition,analyticalReplicateTCR,remarks,saltCheckStandardQF
"d010f881-45a0-4387-b323-065769cdfd18","D13","COMO","COMO.AOS.reaeration.station.01","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.B1.20180806.TCR","A00000031503","chloride",0.8035,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"62f70639-ecc2-4fbd-b0e6-1f77a4dab0e0","D13","COMO","COMO","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.00.20180806.TCR","A00000031504","chloride",25136.000,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"b434d275-69f7-4279-ad0b-7e79743598a1","D13","COMO","COMO.AOS.reaeration.station.04","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.17.20180806.TCR","A00000031522","chloride",10.233,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"9b830c6a-f66c-4598-b55a-eb2f938c62b5","D13","COMO","COMO.AOS.reaeration.station.02","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.10.20180806.TCR","A00000031513","chloride",11.204,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"74a33116-321f-4660-9d4a-375e67d614f3","D13","COMO","COMO.AOS.reaeration.station.04","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.B4.20180806.TCR","A00000031505","chloride",0.3916,1,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"6b3f63e9-7e9f-492f-8175-fb0c027d39d3","D13","COMO","COMO.AOS.reaeration.station.01","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.01.20180806.TCR","A00000031507","chloride",11.450,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"7509d1d9-b9a5-4f57-9a8b-06cc7427e1fa","D13","COMO","COMO.AOS.reaeration.station.01","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.02.20180806.TCR","A00000031509","chloride",11.476,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"81fb8536-c923-440c-a66f-c9e14d76134b","D13","COMO","COMO.AOS.reaeration.station.03","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.12.20180806.TCR","A00000031517","chloride",11.014,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"f7856de2-f253-4252-ab55-13440fe508b8","D13","COMO","COMO.AOS.reaeration.station.03","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.13.20180806.TCR","A00000031518","chloride",11.029,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
"11f219ce-35a1-43f6-9037-2fd7c486833a","D13","COMO","COMO.AOS.reaeration.station.03","2018-08-06T15:31Z","Loecke Lab at University of Kansas","COMO.15.20180806.TCR","A00000031520","chloride",11.038,0,"2018-09-11T12:00Z","EBIxItammYfX90jhDTogDw==","OK",,,-1
