uid,domainID,siteID,namedLocation,startDate,plateauCollectTime,replicateNumber,syringeID,gasSampleID,saltTracerSampleID,remarks,incompleteExperimentQF
"5992d2a6-4ad1-41ba-a82f-8237c75d79c4","D13","COMO","COMO.AOS.reaeration.station.03","2020-08-12T16:09Z","2020-08-12T18:38Z",3,"COMO.13.20200812","COMO.13.20200812.GAS","COMO.13.20200812.TCR",,
"07d4d377-2773-4dc8-ad48-466c6ba727b5","D13","COMO","COMO.AOS.reaeration.station.02","2020-08-12T16:09Z","2020-08-12T18:32Z",2,"COMO.07.20200812","COMO.07.20200812.GAS","COMO.07.20200812.TCR",,
"2a8ad1e5-c4b5-4075-a795-1a4fa98b15fc","D13","COMO","COMO.AOS.reaeration.station.01","2020-08-12T16:09Z","2020-08-12T18:25Z",3,"COMO.03.20200812","COMO.03.20200812.GAS","COMO.03.20200812.TCR",,
"648ef61d-b9d2-4c85-ba43-f386ba84c58c","D13","COMO","COMO.AOS.reaeration.station.03","2020-08-12T16:09Z","2020-08-12T18:38Z",2,"COMO.12.20200812","COMO.12.20200812.GAS","COMO.12.20200812.TCR",,
"93852b22-2b55-4d79-9dd4-58db9c1f8b7d","D13","COMO","COMO.AOS.reaeration.station.03","2020-08-12T16:09Z","2020-08-12T18:38Z",1,"COMO.11.20200812","COMO.11.20200812.GAS","COMO.11.20200812.TCR",,
"d1750562-4419-4697-8019-fe8adeda81fb","D13","COMO","COMO.AOS.reaeration.station.01","2020-08-12T16:09Z","2020-08-12T18:25Z",5,"COMO.05.20200812","COMO.05.20200812.GAS","COMO.05.20200812.TCR",,
"04b5901a-b584-4cf5-a0b4-187d1aec0018","D13","COMO","COMO.AOS.reaeration.station.03","2020-08-12T16:09Z","2020-08-12T18:38Z",5,"COMO.15.20200812","COMO.15.20200812.GAS","COMO.15.20200812.TCR",,
"ebd6b385-aafe-4a26-af69-fa158738800c","D13","COMO","COMO.AOS.reaeration.station.04","2020-08-12T16:09Z","2020-08-12T18:42Z",2,"COMO.17.20200812","COMO.17.20200812.GAS","COMO.17.20200812.TCR",,
"c4887ec5-9b87-4a71-a3f7-f6cfe0aa85a1","D13","COMO","COMO.AOS.reaeration.station.01","2020-08-12T16:09Z","2020-08-12T18:25Z",4,"COMO.04.20200812","COMO.04.20200812.GAS","COMO.04.20200812.TCR",,
"c44e88b0-b2f2-4ec5-9627-5fea79878500","D13","COMO","COMO.AOS.reaeration.station.04","2020-08-12T16:09Z","2020-08-12T18:42Z",5,"COMO.20.20200812","COMO.20.20200812.GAS","COMO.20.20200812.TCR",,
"91d7c0b7-d1be-4d21-850c-68a7f807e298","D13","COMO","COMO.AOS.reaeration.station.02","2020-08-12T16:09Z","2020-08-12T18:32Z",5,"COMO.10.20200812","COMO.10.20200812.GAS","COMO.10.20200812.TCR",,
"14978adc-69a7-4543-ae14-6b5cdee0e760","D13","COMO","COMO.AOS.reaeration.station.02","2020-08-12T16:09Z","2020-08-12T18:32Z",3,"COMO.08.20200812","COMO.08.20200812.GAS","COMO.08.20200812.TCR",,
