uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"195335d6-3997-4133-b8f2-b196c3e663fb","D13","COMO","COMO","2021-08-09T15:44Z","Tape",8,2.82,
"0aea5b3a-b6c6-4436-8ab4-fc22fb899d7a","D13","COMO","COMO","2021-08-09T15:44Z","Tape",30,1.58,
"8472425a-f601-4455-9963-3a6a08b68582","D13","COMO","COMO","2021-08-09T15:44Z","Tape",11,1.46,
"4d5aa9f5-2ca7-4ae1-a660-b1277edd699c","D13","COMO","COMO","2021-08-09T15:44Z","Tape",2,1.96,
"929dbbe7-14cd-43da-8562-356bad1294cf","D13","COMO","COMO","2021-08-09T15:44Z","Tape",4,1.40,
"96fd1753-b6cd-4884-b443-7edfc10d19f8","D13","COMO","COMO","2021-08-09T15:44Z","Tape",12,1.15,
"a25fe982-942d-4a2d-92f3-794114f90882","D13","COMO","COMO","2021-08-09T15:44Z","Tape",6,2.62,
"792780f8-91d5-41ff-909d-ff0bd861b5ba","D13","COMO","COMO","2021-08-09T15:44Z","Tape",5,2.22,
"f0e48f69-af39-4cb0-b86a-49d5e984b0bb","D13","COMO","COMO","2021-08-09T15:44Z","Tape",24,1.09,
"99b1368f-902b-4974-834f-ac301c698590","D13","COMO","COMO","2021-08-09T15:44Z","Tape",10,1.60,
"517fd31f-a9a4-442a-98ad-442a8b0b5b63","D13","COMO","COMO","2021-08-09T15:44Z","Tape",13,1.71,
"225d5f95-a1c1-426b-9a5d-07c5d6d9ffaf","D13","COMO","COMO","2021-08-09T15:44Z","Tape",22,1.63,
"f14780b5-cc0c-4cdd-a3f9-cb471024d3ce","D13","COMO","COMO","2021-08-09T15:44Z","Tape",7,2.34,
"7458bccc-bc24-42ee-8a65-aa91b355aaaf","D13","COMO","COMO","2021-08-09T15:44Z","Tape",26,1.84,
"a8497ea6-27f3-4508-bd1b-0906e40f6861","D13","COMO","COMO","2021-08-09T15:44Z","Tape",1,1.85,
"6efe3236-0438-48cf-87e8-3d1d82e5a03b","D13","COMO","COMO","2021-08-09T15:44Z","Tape",18,1.45,
"94d3cab1-5ab1-4dcc-a2ff-82cfdb503c56","D13","COMO","COMO","2021-08-09T15:44Z","Tape",17,1.44,
"ca82ac66-928e-4199-b232-5edd46a86473","D13","COMO","COMO","2021-08-09T15:44Z","Tape",28,2.29,
"b284b236-781e-463a-9bc2-6a1a50415387","D13","COMO","COMO","2021-08-09T15:44Z","Tape",14,1.03,
"2f313a96-d13c-462c-b5ff-ab3d537c55df","D13","COMO","COMO","2021-08-09T15:44Z","Tape",9,2.43,
"1da55319-3f97-4f4a-9cc3-2f058acdaea9","D13","COMO","COMO","2021-08-09T15:44Z","Tape",29,2.32,
"0f5258b0-288e-480c-b258-390c54bd3d9e","D13","COMO","COMO","2021-08-09T15:44Z","Tape",20,2.19,
"891adf25-d8c3-43fe-89fd-64c7711f5ed3","D13","COMO","COMO","2021-08-09T15:44Z","Tape",3,0.72,
"585b1b9b-5b3a-4e0c-963b-95a01d0e871c","D13","COMO","COMO","2021-08-09T15:44Z","Tape",19,2.29,
"aff5a66c-5e83-420f-8c23-c4124339ab78","D13","COMO","COMO","2021-08-09T15:44Z","Tape",27,1.64,
"1117e4ae-5d17-436e-841f-9ff2398c07bd","D13","COMO","COMO","2021-08-09T15:44Z","Tape",25,1.52,
"801c5779-45ea-466c-9ea4-8b8ecb2bada3","D13","COMO","COMO","2021-08-09T15:44Z","Tape",15,2.15,
"1adc90c5-b855-4970-8900-795d03af71ee","D13","COMO","COMO","2021-08-09T15:44Z","Tape",21,1.57,
"6488654b-4a1e-45d1-b154-9f9d509d0d5a","D13","COMO","COMO","2021-08-09T15:44Z","Tape",23,0.65,
"4707f2ef-4d99-43f6-8944-3a34f0bb6500","D13","COMO","COMO","2021-08-09T15:44Z","Tape",16,1.57,
"7ea5eda0-a498-4180-b99a-acee79ce0433","D13","COMO","COMO","2021-08-23T15:26Z","Tape",12,1.45,
"557c8e79-ab99-44c2-94f9-acd16c151990","D13","COMO","COMO","2021-08-23T15:26Z","Tape",13,1.70,
"ee6e8525-55a4-434b-a853-f73460e50c6c","D13","COMO","COMO","2021-08-23T15:26Z","Tape",16,1.05,
"175acfad-30cb-4940-a180-370d1743b831","D13","COMO","COMO","2021-08-23T15:26Z","Tape",24,2.15,
"a9534e76-cee2-4968-892c-3933a77cadba","D13","COMO","COMO","2021-08-23T15:26Z","Tape",15,1.55,
"81dec728-8044-410c-bd9f-f4fb0fb98bef","D13","COMO","COMO","2021-08-23T15:26Z","Tape",2,2.05,
"b15ed94d-7d52-4782-875a-a411081ef7c5","D13","COMO","COMO","2021-08-23T15:26Z","Tape",29,2.55,
"30e18c61-7cc1-4d74-934d-029c1cdf92eb","D13","COMO","COMO","2021-08-23T15:26Z","Tape",22,1.35,
"d7fa4f73-3e0c-4d40-9950-fa9582ffe14f","D13","COMO","COMO","2021-08-23T15:26Z","Tape",21,1.05,
"41c407cf-3294-4348-8f5d-1d402fe11267","D13","COMO","COMO","2021-08-23T15:26Z","Tape",1,1.25,
"fbdf3b54-8904-4915-890f-3b8c6ec692ec","D13","COMO","COMO","2021-08-23T15:26Z","Tape",10,1.85,
"a185faff-23b4-45bf-b671-d68e09ec3008","D13","COMO","COMO","2021-08-23T15:26Z","Tape",14,1.60,
